Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1	(1, 0.0007509869735861094)	(2, 0.05213027615469695)	(3, 0.0013635567402759557)	(4, 0.03359267809494101)	(5, 0.0004932953650026406)	(6, 0.00023265870946393195)	(7, 0.0)	(8, 1.767028173143787e-05)	(9, 0.00019584562252343638)	(10, 0.0004523592123248095)	(15, 0.00017405227505466303)	(20, 0.014958724836916047)	(25, 0.00041475893634729065)	(30, 0.0007690196956492294)	(35, 0.008699081700038282)	(40, 0.01759785992759725)	(45, 0.026035355023000105)	(50, 0.00046321836412859175)	(55, 0.00883503499398031)	(60, 0.0012447453715274948)	(65, 0.0006382671256941077)	(70, 0.008577090205827566)	(75, 0.001703731891609153)	(80, 0.0005209906787418361)	(85, 0.0007369096444181353)	(90, 0.0009476534218866608)	(95, 0.00019559557521516463)	(100, 0.008329788545541174)	(105, 0.016330525959094948)	(110, 0.0008482994557017229)	(115, 0.0005631020413551133)	(120, 0.00484876196312605)	(125, 0.01830499040831749)	(130, 0.003850463289092668)	(135, 0.00038665377336703923)	(140, 0.0007316193303772421)	(145, 0.0008425103201735687)	(150, 0.02872036695522986)
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2	(1, 0.07481155528047508)	(2, 0.0403441982398279)	(3, 0.0)	(4, 0.0006037346258241272)	(5, 0.0003121749772554024)	(6, 0.001036656528244355)	(7, 0.0005153832171669379)	(8, 0.0003372078763749393)	(9, 0.0011073376551701064)	(10, 0.001119706852382113)	(15, 0.0010814212419639976)	(20, 0.043281509331707484)	(25, 0.001752676818183372)	(30, 0.0012294962410702823)	(35, 0.0008514989188824673)	(40, 0.002059715522631054)	(45, 0.0035535327623500714)	(50, 0.010202445254461954)	(55, 0.0011158626027502302)	(60, 0.00196566681630993)	(65, 0.0052650273714799885)	(70, 0.0008964797337485439)	(75, 0.0010109302689986493)	(80, 0.0007791731817636992)	(85, 0.009128328754979301)	(90, 0.01837302388768047)	(95, 0.0017054386863042087)	(100, 0.0023096582821243994)	(105, 0.0022480932559978163)	(110, 0.0008276337383223174)	(115, 0.004412379201715948)	(120, 0.0015276024498195471)	(125, 0.002341352822506803)	(130, 0.001369543521884019)	(135, 0.001559558174942613)	(140, 0.0021449930469505047)	(145, 0.0027222380784312386)	(150, 0.006859062186041083)
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1	(1, 0.0006748653908071927)	(2, 0.050435542380669086)	(3, 0.0011755303461287812)	(4, 0.03308388863270671)	(5, 0.00047098636260922623)	(6, 0.00020387902819796644)	(7, 0.0)	(8, 1.419410955808627e-05)	(9, 0.0001651678203122766)	(10, 0.0004593730002435193)	(15, 0.00017058738941627317)	(20, 0.014306312805694561)	(25, 0.0004008748508957866)	(30, 0.0007546808115590104)	(35, 0.008606264304192453)	(40, 0.017307342947247804)	(45, 0.025209884705719054)	(50, 0.0004324333612759037)	(55, 0.008629028464977265)	(60, 0.0012175356857807912)	(65, 0.0006394524572094596)	(70, 0.008374343286025664)	(75, 0.001634841098541942)	(80, 0.0005309007054358707)	(85, 0.0007338106251016552)	(90, 0.0009351593260420208)	(95, 0.00016723010037961912)	(100, 0.008266916549571072)	(105, 0.01625994276071942)	(110, 0.0008310286223857996)	(115, 0.0005289549069409068)	(120, 0.004595587597886825)	(125, 0.018133341640734005)	(130, 0.003645459618115755)	(135, 0.00037582076678696695)	(140, 0.0006487134598002875)	(145, 0.0007840365504920534)	(150, 0.027961387622621778)
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2	(1, 0.07428164643825402)	(2, 0.039823509925605315)	(3, 0.0)	(4, 0.0005432472839958472)	(5, 0.0002942051799312427)	(6, 0.000905842264525142)	(7, 0.00046840561541684696)	(8, 0.00034582012377882914)	(9, 0.001005201031431746)	(10, 0.001042621865721246)	(15, 0.0010372022966172495)	(20, 0.04216639656074589)	(25, 0.0016825336867520092)	(30, 0.0011347312798985997)	(35, 0.000814362694912807)	(40, 0.0019702485488838936)	(45, 0.003411217056685285)	(50, 0.009845413502360694)	(55, 0.0010755566761018226)	(60, 0.0018537721621544267)	(65, 0.00510852203293007)	(70, 0.0008414163202090212)	(75, 0.0009596011924460579)	(80, 0.0007329210430014377)	(85, 0.008906446906422196)	(90, 0.018143553119090258)	(95, 0.0015976243800218727)	(100, 0.002225569226809006)	(105, 0.002114594562230639)	(110, 0.0007767646198983906)	(115, 0.0041605137472359496)	(120, 0.0014522695911201946)	(125, 0.0022131280407110994)	(130, 0.0012917312263227901)	(135, 0.001448883153049891)	(140, 0.0019710240004302522)	(145, 0.002433283371083889)	(150, 0.006461419402425725)
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1	(1, 0.0007330594922879347)	(2, 0.05152862335417583)	(3, 0.001225665073098444)	(4, 0.03345948671980196)	(5, 0.0004952050825562112)	(6, 0.00022485690100321402)	(7, 0.0)	(8, 1.9496263092764223e-05)	(9, 0.0001897636274362384)	(10, 0.00045673245671982315)	(15, 0.00016844771312148285)	(20, 0.014896397161656125)	(25, 0.0004048260096421131)	(30, 0.0007406541307487556)	(35, 0.008651275804493475)	(40, 0.017670872441156293)	(45, 0.02592439378150075)	(50, 0.0004600317036042445)	(55, 0.008751631629619781)	(60, 0.0012056807005103368)	(65, 0.0006421798308617219)	(70, 0.00872222685162533)	(75, 0.0016843421208448794)	(80, 0.000553878932761072)	(85, 0.000743164655327895)	(90, 0.00095544278775111)	(95, 0.00017251087917472606)	(100, 0.008230232662869296)	(105, 0.016223925862409557)	(110, 0.0008219954159296268)	(115, 0.0005421993981029053)	(120, 0.004710157169044295)	(125, 0.01834845839318276)	(130, 0.0037465972676319656)	(135, 0.0003858884617715304)	(140, 0.0006671880649063432)	(145, 0.0008052015681207643)	(150, 0.02827451782972913)
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2	(1, 0.07461869761037292)	(2, 0.04027018129354092)	(3, 0.0)	(4, 0.0005679911314358643)	(5, 0.0002898444446457614)	(6, 0.000976112905511062)	(7, 0.00045361305462498087)	(8, 0.00034963298479690505)	(9, 0.0010268031895522489)	(10, 0.001054357908056689)	(15, 0.0010494188547398554)	(20, 0.043150722464576845)	(25, 0.001708240658286184)	(30, 0.0011817073933493138)	(35, 0.0008306560705946559)	(40, 0.0019724915058656873)	(45, 0.003415250833202942)	(50, 0.009903865170423918)	(55, 0.0010465262878969258)	(60, 0.0019053917434163584)	(65, 0.005160528662746501)	(70, 0.0008753011836253724)	(75, 0.0009510930033512844)	(80, 0.0007732829443445946)	(85, 0.009118061959040557)	(90, 0.018276414003980005)	(95, 0.0016386918760934283)	(100, 0.0022941321003047154)	(105, 0.002180164116940952)	(110, 0.0007791361497393144)	(115, 0.004235586186992445)	(120, 0.0014530982344163322)	(125, 0.002275081149711518)	(130, 0.001317722815078518)	(135, 0.0014757092068161453)	(140, 0.0019806047705931123)	(145, 0.0025680459407188567)	(150, 0.006620130211318736)
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1	(1, 0.0006049399042908143)	(2, 0.04807349019763072)	(3, 0.001008815967560115)	(4, 0.03012810529115408)	(5, 0.000528011130334757)	(6, 0.0001888251724375952)	(7, 0.0)	(8, 1.7483812262740296e-05)	(9, 0.00018008326630622505)	(10, 0.00043324886787070457)	(15, 0.00014861240423329252)	(20, 0.01365117085042294)	(25, 0.0003591780612613262)	(30, 0.0007072990053165238)	(35, 0.008037928554647775)	(40, 0.016823774120869616)	(45, 0.0245110703217896)	(50, 0.0004219205447143393)	(55, 0.008425573662652178)	(60, 0.001198741703155112)	(65, 0.000558475217795431)	(70, 0.008321472376247687)	(75, 0.0014582713221357264)	(80, 0.0004979041678050471)	(85, 0.0006666504536338224)	(90, 0.0008843201971514017)	(95, 0.0001521370334335321)	(100, 0.007680582889544404)	(105, 0.014828959482923865)	(110, 0.0007067602821482516)	(115, 0.0004792010651047112)	(120, 0.0039946704186914475)	(125, 0.01702402777997874)	(130, 0.0030746996864679066)	(135, 0.000343877153576285)	(140, 0.0005675127980656958)	(145, 0.0007342673015575469)	(150, 0.025237207245275815)
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2	(1, 0.06987230732681532)	(2, 0.03672125089543345)	(3, 0.0)	(4, 0.0004895467433567284)	(5, 0.00019057355366386923)	(6, 0.000767539358334299)	(7, 0.00042660501921086325)	(8, 0.0002552636590360083)	(9, 0.0008811841380421109)	(10, 0.000872092555665486)	(15, 0.0009133543526055531)	(20, 0.0409908558870705)	(25, 0.0015977154062660236)	(30, 0.0009514221532334748)	(35, 0.0007657444896154293)	(40, 0.0017842796886024066)	(45, 0.0029388168271575893)	(50, 0.008389819001279327)	(55, 0.0009913758718477247)	(60, 0.0016446689272850488)	(65, 0.004416064525294327)	(70, 0.0007400887332654947)	(75, 0.0008571270591541158)	(80, 0.0006439459577456113)	(85, 0.008582266476000399)	(90, 0.01682158043700299)	(95, 0.0013922051055292356)	(100, 0.002006105235109309)	(105, 0.0017522907251906578)	(110, 0.0006661331600829923)	(115, 0.0037624494631244084)	(120, 0.001288531030014457)	(125, 0.0019547926276647755)	(130, 0.001216290214465303)	(135, 0.0012597100445576753)	(140, 0.0017554146209100958)	(145, 0.0021372246272347933)	(150, 0.00534207465176446)
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1	(1, 0.0006470628141634314)	(2, 0.051130793592846335)	(3, 0.0012299692586506018)	(4, 0.03320550390529904)	(5, 0.0004875884095395829)	(6, 0.00023462900910175416)	(7, 0.0)	(8, 1.0998234801644728e-05)	(9, 0.0001851369524943529)	(10, 0.00046192586166907856)	(15, 0.0001811042664004165)	(20, 0.013613776843009583)	(25, 0.0003663075023439555)	(30, 0.0007111199808159707)	(35, 0.008335936823392917)	(40, 0.016820086482409673)	(45, 0.024160695211481224)	(50, 0.00045005202909811757)	(55, 0.008412333680471997)	(60, 0.001227656536245988)	(65, 0.0005769806880631417)	(70, 0.00800626045885337)	(75, 0.0015766107466689415)	(80, 0.0005390997405516216)	(85, 0.0007143830980881095)	(90, 0.0009681664830293907)	(95, 0.00016897328261748768)	(100, 0.008108522319323764)	(105, 0.015511223648944434)	(110, 0.0007471560816776108)	(115, 0.0004980739006300368)	(120, 0.004410228101189353)	(125, 0.017547170194621473)	(130, 0.0034399899141640926)	(135, 0.0003476632471069763)	(140, 0.0006085787837703583)	(145, 0.0007567791107072619)	(150, 0.026752231239311114)
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2	(1, 0.07320791691801452)	(2, 0.04043134416997963)	(3, 0.0)	(4, 0.0005187500748109096)	(5, 0.0003042844961788374)	(6, 0.0009531803494758764)	(7, 0.00043259723553135934)	(8, 0.0003152827309804822)	(9, 0.0008615283927955037)	(10, 0.0009480478399017754)	(15, 0.0009480478399017754)	(20, 0.04088037769736428)	(25, 0.0015862316589074876)	(30, 0.0010110290122594572)	(35, 0.0007656898723629136)	(40, 0.0018474136060737376)	(45, 0.003213893509508985)	(50, 0.009311615919395305)	(55, 0.0010252596847085233)	(60, 0.00176519338052188)	(65, 0.00479476306746031)	(70, 0.0008128689133926367)	(75, 0.0009203545720354925)	(80, 0.0006891372356339244)	(85, 0.00864017192944941)	(90, 0.01776168997462985)	(95, 0.0014725002809848455)	(100, 0.0020772481300152168)	(105, 0.001974303192318256)	(110, 0.0006857806933021444)	(115, 0.003968781667852184)	(120, 0.0013217790617005294)	(125, 0.0020291399653798795)	(130, 0.0012190383516265603)	(135, 0.0012625374218460791)	(140, 0.0018059168350982478)	(145, 0.0022260945901671635)	(150, 0.005771494657391019)
