Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1	(1, 38.715576671411334)	(2, 39.016333407116576)	(3, 39.17447247435424)	(4, 39.04739944107721)	(5, 39.052456145600296)	(6, 38.99904857313064)	(7, 39.07022016817632)	(8, 39.05270850667389)	(9, 39.064236215619374)	(10, 39.05284335448387)	(15, 39.285025749723545)	(20, 39.34058359868022)	(25, 39.1233259546503)	(30, 39.05694547185235)	(35, 39.05157031086257)	(40, 39.01586836963184)	(45, 38.99357607236903)	(50, 38.976335230537416)	(55, 38.93707435969319)	(60, 38.90147847193306)	(65, 38.86243334350494)	(70, 38.82794878800576)	(75, 38.790697782797466)	(80, 38.726757213082685)	(85, 38.70124638271907)	(90, 38.637462038054316)	(95, 38.59307167590942)	(100, 38.553480273921295)	(105, 38.496576987322456)	(110, 38.45908474930445)	(115, 38.40483154466999)	(120, 38.33385647452207)	(125, 38.28295284613186)	(130, 38.244694274217096)	(135, 38.187947558550654)	(140, 38.129802365244714)	(145, 38.11521526989621)	(150, 38.456895882974834)
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2	(1, 38.45789534104174)	(2, 38.99809979680354)	(3, 39.157769581646654)	(4, 39.15213765055227)	(5, 39.20811050617229)	(6, 39.20686763745624)	(7, 39.233391260443575)	(8, 39.24926903934571)	(9, 39.25575918657332)	(10, 39.26853181987763)	(15, 39.294837332687464)	(20, 39.278492076018594)	(25, 39.11235967631329)	(30, 39.05565334763512)	(35, 39.03142181518185)	(40, 39.011954791579)	(45, 38.99472102990924)	(50, 38.96235451643956)	(55, 38.93237735450107)	(60, 38.901441401511825)	(65, 38.85567093553168)	(70, 38.81569541781444)	(75, 38.76052499184831)	(80, 38.70317926778151)	(85, 38.642968638330636)	(90, 38.57499150835595)	(95, 38.5405417649216)	(100, 38.491711436668204)	(105, 38.43423369340244)	(110, 38.373251429535806)	(115, 38.33143755923258)	(120, 38.264600072882956)	(125, 38.2128629486473)	(130, 38.14987070889231)	(135, 38.09494004676922)	(140, 38.06339386434303)	(145, 38.06245115573861)	(150, 38.41089718114626)
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1	(1, 38.742072873694)	(2, 39.0127564785271)	(3, 39.15454977471625)	(4, 39.01589536391477)	(5, 39.01152796544111)	(6, 38.94619544700451)	(7, 39.014582408780655)	(8, 38.991042974911934)	(9, 38.99909271251705)	(10, 38.979542881540496)	(15, 39.238938649135754)	(20, 39.30216016433572)	(25, 39.0734681935758)	(30, 39.005163810812526)	(35, 38.999580920341494)	(40, 38.9649022793994)	(45, 38.9402900773769)	(50, 38.922029191228006)	(55, 38.87825035023526)	(60, 38.83970086831211)	(65, 38.796226524632154)	(70, 38.75802991129198)	(75, 38.715101390930826)	(80, 38.642638011368604)	(85, 38.61099689701522)	(90, 38.53822697629482)	(95, 38.48606794813178)	(100, 38.43950767810264)	(105, 38.37385481044362)	(110, 38.327717427332544)	(115, 38.264360768775006)	(120, 38.18032950485158)	(125, 38.12080436819805)	(130, 38.07432444590531)	(135, 38.0052897160778)	(140, 37.93938904513947)	(145, 37.914959543608994)	(150, 38.30804386468006)
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2	(1, 38.16492502361642)	(2, 38.79722124756003)	(3, 39.03457323783743)	(4, 39.066902283723834)	(5, 39.1301159054856)	(6, 39.13616306069184)	(7, 39.139269841584444)	(8, 39.16810027173204)	(9, 39.176959383271615)	(10, 39.21631200490301)	(15, 39.254416793974926)	(20, 39.239819047804495)	(25, 39.05838183089135)	(30, 38.99602278768388)	(35, 38.969521321684894)	(40, 38.94711793596692)	(45, 38.92758976332298)	(50, 38.89401067426296)	(55, 38.85983885043733)	(60, 38.825199859671095)	(65, 38.773803055841064)	(70, 38.72923152236444)	(75, 38.66789605379745)	(80, 38.60611575933261)	(85, 38.538227837563895)	(90, 38.46411987090734)	(95, 38.4238099516498)	(100, 38.37354442409074)	(105, 38.31171226592501)	(110, 38.24647235677178)	(115, 38.205710181194206)	(120, 38.13780521833081)	(125, 38.08735628384561)	(130, 38.02762834190901)	(135, 37.975095720412746)	(140, 37.95344860555204)	(145, 37.95807484089833)	(150, 38.33509258038409)
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1	(1, 38.751760073891354)	(2, 39.03125551216222)	(3, 39.171984790159314)	(4, 39.03330225585671)	(5, 39.03398722456671)	(6, 38.97423960057304)	(7, 39.04224914298002)	(8, 39.02371633321926)	(9, 39.034010750057504)	(10, 39.017623943365905)	(15, 39.26385607411471)	(20, 39.32376583971712)	(25, 39.10373583486162)	(30, 39.0369770385406)	(35, 39.03002636090711)	(40, 38.99263807421469)	(45, 38.96680200097026)	(50, 38.947574962271624)	(55, 38.90360349743991)	(60, 38.86369841370765)	(65, 38.82004662214474)	(70, 38.7818574916707)	(75, 38.740330523733675)	(80, 38.67081621204386)	(85, 38.641392029782466)	(90, 38.57358464263085)	(95, 38.5258492904087)	(100, 38.48528041438003)	(105, 38.42752939565569)	(110, 38.38969293967798)	(115, 38.33595729496327)	(120, 38.265271890019946)	(125, 38.21683462062645)	(130, 38.18256118878692)	(135, 38.125643596004664)	(140, 38.07401305459816)	(145, 38.0614661254988)	(150, 38.4131360072024)
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2	(1, 38.16806873176198)	(2, 38.90137317509941)	(3, 39.115809947359956)	(4, 39.10120768821878)	(5, 39.18182400824687)	(6, 39.19309633164682)	(7, 39.235664888403846)	(8, 39.25808403125948)	(9, 39.26381720636461)	(10, 39.28566332545342)	(15, 39.317295378043)	(20, 39.29776920299297)	(25, 39.13037230603967)	(30, 39.071008172278205)	(35, 39.04215286962595)	(40, 39.01753007034286)	(45, 38.99371517261146)	(50, 38.95724386323501)	(55, 38.920413119557686)	(60, 38.88315052319306)	(65, 38.830321291433265)	(70, 38.786119034607204)	(75, 38.72378372645966)	(80, 38.662279552252656)	(85, 38.59584682628719)	(90, 38.52286868937357)	(95, 38.483424955970484)	(100, 38.43363030702632)	(105, 38.374028408242744)	(110, 38.31056662898955)	(115, 38.269719575823615)	(120, 38.20322730228161)	(125, 38.153589216276735)	(130, 38.093515321398236)	(135, 38.040051261436204)	(140, 38.01628990939098)	(145, 38.01821848525798)	(150, 38.37564600070519)
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1	(1, 38.621260833232334)	(2, 38.920782874759745)	(3, 39.10218795224066)	(4, 38.99796089794342)	(5, 38.97263629523333)	(6, 38.90352768082615)	(7, 38.96444338080701)	(8, 38.936368434557494)	(9, 38.939622556663466)	(10, 38.922680085189526)	(15, 39.20657060547351)	(20, 39.27460823226288)	(25, 39.032297267479734)	(30, 38.960965466737115)	(35, 38.95885871203904)	(40, 38.92469449333173)	(45, 38.905883445308554)	(50, 38.88990416394004)	(55, 38.850703805187045)	(60, 38.81703071072387)	(65, 38.77763966795381)	(70, 38.74621426256922)	(75, 38.70684002772197)	(80, 38.641151682301846)	(85, 38.617683135405635)	(90, 38.54949712051537)	(95, 38.50527617785964)	(100, 38.46566379942102)	(105, 38.40753507752983)	(110, 38.37084940688591)	(115, 38.31593498123821)	(120, 38.24405015847981)	(125, 38.19895673925361)	(130, 38.16504912227102)	(135, 38.11677128706279)	(140, 38.0618065273201)	(145, 38.05582500640598)	(150, 38.41617236415448)
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2	(1, 37.43108038560338)	(2, 38.315390734180944)	(3, 38.64199537574146)	(4, 38.72077463638741)	(5, 38.81065545343533)	(6, 38.84544809996768)	(7, 38.86609378974289)	(8, 38.905215078515255)	(9, 38.938637553648206)	(10, 38.990567763025254)	(15, 39.04772198164885)	(20, 39.054862818703945)	(25, 38.78032779679152)	(30, 38.71028517962764)	(35, 38.70179053031142)	(40, 38.69716841776508)	(45, 38.69440094769254)	(50, 38.676922315163196)	(55, 38.654632650319044)	(60, 38.63448809615606)	(65, 38.59183678952046)	(70, 38.56023217667429)	(75, 38.50334256200462)	(80, 38.45040063454448)	(85, 38.38893165237655)	(90, 38.319719363513684)	(95, 38.284416263807586)	(100, 38.24075171875567)	(105, 38.18184601687079)	(110, 38.120817938001515)	(115, 38.085607463195416)	(120, 38.02178845757224)	(125, 37.97758528639507)	(130, 37.920462920054106)	(135, 37.878498693611526)	(140, 37.85876215625974)	(145, 37.879221443278446)	(150, 38.28800180326398)
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1	(1, 38.698369432869974)	(2, 38.95836268105363)	(3, 39.14081016187037)	(4, 39.044360555204825)	(5, 39.02020267583753)	(6, 38.95855573673518)	(7, 39.01691779638854)	(8, 38.987025767342715)	(9, 38.99222071022971)	(10, 38.97694305493459)	(15, 39.23873192625706)	(20, 39.302373004815976)	(25, 39.07046374779097)	(30, 39.00113027160161)	(35, 38.997563166878706)	(40, 38.96259727975779)	(45, 38.9439702361522)	(50, 38.927771862419206)	(55, 38.888442119484296)	(60, 38.85520671819848)	(65, 38.81711245620307)	(70, 38.78525183072182)	(75, 38.747700278101505)	(80, 38.684144909892574)	(85, 38.66044983822155)	(90, 38.5956181300658)	(95, 38.55299419410433)	(100, 38.51468684483096)	(105, 38.45767273816561)	(110, 38.42321741542851)	(115, 38.37017663329584)	(120, 38.301224364158514)	(125, 38.256119323204345)	(130, 38.22286074905388)	(135, 38.17573106512685)	(140, 38.12275395050007)	(145, 38.11725739408995)	(150, 38.46168784457659)
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2	(1, 37.699011124879476)	(2, 38.53728957925134)	(3, 38.81544575231583)	(4, 38.89306465794417)	(5, 38.958536673128194)	(6, 38.976725187235324)	(7, 38.99929598465995)	(8, 39.02897560113098)	(9, 39.04369343894254)	(10, 39.08554145840517)	(15, 39.12258512629154)	(20, 39.11855891617131)	(25, 38.86899155269141)	(30, 38.80477909554162)	(35, 38.78965035163266)	(40, 38.78262707568014)	(45, 38.777840160756945)	(50, 38.75563518108184)	(55, 38.732209906667194)	(60, 38.710078276303214)	(65, 38.66815685291408)	(70, 38.63469602171465)	(75, 38.58034143258026)	(80, 38.52846358251764)	(85, 38.46898944259247)	(90, 38.40340217980376)	(95, 38.37071942881365)	(100, 38.32908479584694)	(105, 38.272700136490776)	(110, 38.215569512514335)	(115, 38.181628001268145)	(120, 38.12045032187694)	(125, 38.07918292454325)	(130, 38.023701730503035)	(135, 37.983539670935485)	(140, 37.96321506476218)	(145, 37.98398103476245)	(150, 38.36395954060488)
