taxonomy_id,name,taxonomy_lvl
33925,Entomoplasmataceae,F
213483,Pseudobdellovibrionaceae,F
34365,Saccharomycodaceae,F
2897348,Candidatus Uabimicrobiaceae,F
213422,Geobacteraceae,F
35082,Cryptosporidiidae,F
2897177,Chitinibacteraceae,F
1643949,Petrotogaceae,F
1903412,Hafniaceae,F
2762302,Reichenbachiellaceae,F
2762301,Marivirgaceae,F
85016,Cellulomonadaceae,F
41295,Rhodospirillaceae,F
27994,Theileriidae,F
118968,Coxiellaceae,F
543313,Eubacteriales Family XII. Incertae Sedis,F
2992718,Sporanaerobacteraceae,F
1892254,Oscillatoriaceae,F
3079746,Cymatolegaceae,F
2810280,Coprobacillaceae,F
186821,Sporolactobacillaceae,F
40562,Strophariaceae,F
206379,Nitrosomonadaceae,F
224467,Nautiliaceae,F
3423714,Rhizorhabdaceae,F
1499392,Chromobacteriaceae,F
186807,Peptococcaceae,F
3423719,Sphingorhabdaceae,F
474942,Ophiocordycipitaceae,F
2762286,Fulvivirgaceae,F
1892263,Hapalosiphonaceae,F
1843491,Selenomonadaceae,F
90142,Ferroplasmaceae,F
539738,Gemellaceae,F
3366644,Promethearchaeaceae,F
2831100,Boseaceae,F
972,Halanaerobiaceae,F
485255,Natranaerobiaceae,F
474943,Cordycipitaceae,F
3088888,Aurantibacillaceae,F
39,Archangiaceae,F
2934961,Sirenicapillariaceae,F
27974,Nosematidae,F
2267,Thermoproteaceae,F
224379,Hahellaceae,F
995019,Sutterellaceae,F
809,Chlamydiaceae,F
1737406,Tissierellaceae,F
36734,Unikaryonidae,F
2823145,Pleioneaceae,F
2790998,Mycoplasmoidaceae,F
171550,Rikenellaceae,F
186824,Thermoactinomycetaceae,F
2162846,Candidatus Nanopelagicaceae,F
28556,Pleosporaceae,F
29202,Thalassiosiraceae,F
31,Myxococcaceae,F
1643826,Eggerthellaceae,F
118882,Brucellaceae,F
5739,Hexamitidae,F
3082771,Acutalibacteraceae,F
3018741,Cellulosilyticaceae,F
5250,Ceratobasidiaceae,F
45401,Hyphomicrobiaceae,F
137,Spirochaetaceae,F
171551,Porphyromonadaceae,F
213119,Desulfobacteraceae,F
3031624,Desulfosarcinaceae,F
188786,Thermaceae,F
263369,Bacteriovoracaceae,F
683158,Didymellaceae,F
2820280,Sphingosinicellaceae,F
2813951,Terasakiellaceae,F
134623,Opitutaceae,F
3031144,Dongiaceae,F
2008795,Azonexaceae,F
203557,Verrucomicrobiaceae,F
2844866,Thalassospiraceae,F
1890429,Acaryochloridaceae,F
38749,Phaeodactylaceae,F
3064797,Haladaptataceae,F
2008790,Thiobacillaceae,F
2932623,Sulfurospirillaceae,F
2731690,Demerecviridae,F
85020,Dermabacteraceae,F
3385906,Roseomonadaceae,F
2975520,Candidatus Izemoplasmataceae,F
2005473,Muribaculaceae,F
2945019,Geovibrionaceae,F
53434,Halobacteroidaceae,F
1185,Rivulariaceae,F
654128,Marasmiaceae,F
196117,Methanocaldococcaceae,F
267892,Ferrimonadaceae,F
2483367,Sedimentisphaeraceae,F
2770092,Tepidanaerobacteraceae,F
1501348,Amoebophilaceae,F
2005520,Dysgonomonadaceae,F
717964,Methylacidiphilaceae,F
85029,Dietziaceae,F
2211325,Vicinamibacteraceae,F
27319,Metschnikowiaceae,F
3466454,Aestuariispiraceae,F
135617,Thiotrichaceae,F
1706375,Spongiibacteraceae,F
1853234,Persicobacteraceae,F
1970190,Salinivirgaceae,F
1813606,Balneolaceae,F
1763524,Isosphaeraceae,F
213121,Desulfobulbaceae,F
3118655,Filifactoraceae,F
3139177,Candidatus Chloroheliaceae,F
410830,Trichomonascaceae,F
2272,Desulfurococcaceae,F
2731691,Drexlerviridae,F
72276,Ectothiorhodospiraceae,F
1914233,Gemmataceae,F
2726069,Kribbellaceae,F
3079743,Thalassoporaceae,F
3457296,Candidatus Njordibacteraceae,F
1969992,Desertifilaceae,F
33184,Onygenaceae,F
1853231,Odoribacteraceae,F
2842329,Schitoviridae,F
2844403,Rhodovibrionaceae,F
3024551,Owenweeksiaceae,F
2931039,Desulfococcaceae,F
2024974,Silvanigrellaceae,F
1892251,Coleofasciculaceae,F
5268,Ustilaginaceae,F
2842327,Rountreeviridae,F
3424631,Andersonviridae,F
224372,Alcanivoracaceae,F
1334117,Melioribacteraceae,F
3118654,Caminicellaceae,F
1892255,Gomontiellaceae,F
196137,Methanospirillaceae,F
10442,Baculoviridae,F
2685818,Amorphaceae,F
335928,Xanthobacteraceae,F
2800062,Robiginitomaculaceae,F
2942965,Steigviridae,F
69657,Hyphomonadaceae,F
1663426,Fimbriimonadaceae,F
183710,Deinococcaceae,F
1549128,Temperatibacteraceae,F
2008794,Zoogloeaceae,F
188711,Thermodesulfobacteriaceae,F
2762306,Roseivirgaceae,F
2005519,Barnesiellaceae,F
2008793,Sterolibacteriaceae,F
75787,Rhodocyclaceae,F
3078917,Rhodocytophagaceae,F
1647988,Akkermansiaceae,F
1652132,Halobacteriovoraceae,F
1890428,Merismopediaceae,F
1328881,Candidatus Midichloriaceae,F
412447,Candidatus Criblamydiaceae,F
2992719,Tepidimicrobiaceae,F
84107,Coriobacteriaceae,F
3018589,Ignatzschineriaceae,F
3152113,Chimalliviridae,F
10501,Phycodnaviridae,F
267891,Moritellaceae,F
225058,Acidithiobacillaceae,F
1522127,Catalimonadaceae,F
2904715,Desulfosudaceae,F
85019,Brevibacteriaceae,F
2829814,Ahrensiaceae,F
2066434,Geminicoccaceae,F
3056649,Candidatus Palauibacteraceae,F
2691359,Lacipirellulaceae,F
1202464,Dehalococcoidaceae,F
46659,Thermoplasmataceae,F
1706372,Halieaceae,F
2897176,Aquaspirillaceae,F
2886822,Desulfocapsaceae,F
224027,Hydrogenothermaceae,F
1182,Scytonemataceae,F
2232,Archaeoglobaceae,F
2066491,Emcibacteraceae,F
1783343,Endomicrobiaceae,F
1491775,Proteinivoracaceae,F
119859,Tolypothrichaceae,F
1643948,Kosmotogaceae,F
742845,Malasseziaceae,F
533207,Acanthopleuribacteraceae,F
191394,Deferribacteraceae,F
1331736,Ruaniaceae,F
2303507,Oculatellaceae,F
188709,Thermotogaceae,F
3044476,Schizomimiviridae,F
3033994,Candidatus Poriferihabitaceae,F
45404,Beijerinckiaceae,F
1755828,Ichthyobacteriaceae,F
189779,Nitrospiraceae,F
2805590,Ornithinimicrobiaceae,F
1777752,Candidatus Paracaedibacteraceae,F
689704,Candidatus Rhabdochlamydiaceae,F
92713,Parachlamydiaceae,F
3039168,Neomoorellaceae,F
2042895,Gottschalkiaceae,F
2992717,Acidilutibacteraceae,F
1890464,Chroococcaceae,F
11270,Rhabdoviridae,F
1903416,Budviciaceae,F
90627,Gallionellaceae,F
1853230,Crocinitomicaceae,F
2791015,Sphaerochaetaceae,F
3024225,Thermospiraceae,F
2811505,Dissulfurispiraceae,F
2867375,Desulfallaceae,F
3118652,Anaerotignaceae,F
83676,Nocardiopsidaceae,F
2600303,Baekduiaceae,F
3085097,Candidatus Promineifilaceae,F
2560065,Herelleviridae,F
2844375,Reyranellaceae,F
3141701,Flectobacillaceae,F
213421,Desulfuromonadaceae,F
2848916,Thermohalobacteraceae,F
1890436,Pseudanabaenaceae,F
3085096,Ketobacteraceae,F
3067276,Sedimenticolaceae,F
2772226,Sulfuricellaceae,F
3375061,Pendulisporaceae,F
64898,Aquificaceae,F
203488,Dictyoglomaceae,F
2937911,Thermincolaceae,F
909930,Acidaminococcaceae,F
85021,Intrasporangiaceae,F
2194,Methanomicrobiaceae,F
183713,Methanopyraceae,F
568386,Nevskiaceae,F
2844864,Thalassobaculaceae,F
292630,Hydrogenimonadaceae,F
548685,Malacoherpesviridae,F
566277,Lentisphaeraceae,F
2562244,Thermotomaculaceae,F
3044472,Orthoherpesviridae,F
1331809,Kordiimonadaceae,F
3031627,Desulfatibacillaceae,F
2945020,Mucispirillaceae,F
31984,Heliobacteriaceae,F
2983189,Candidatus Poriferisodalaceae,F
570265,Methanocellaceae,F
2898533,Zooshikellaceae,F
1920240,Kangiellaceae,F
255475,Aurantimonadaceae,F
1980419,Tospoviridae,F
2792775,Alsobacteraceae,F
2813035,Parvibaculaceae,F
2975259,Parvicellaceae,F
2945022,Flexistipitaceae,F
83778,Kineosporiaceae,F
2900569,Candidatus Absconditicoccaceae,F
1033997,Nitrososphaeraceae,F
3120710,Marinicellaceae,F
868,Cardiobacteriaceae,F
2843305,Phreatobacteraceae,F
206349,Hydrogenophilaceae,F
2812024,Syntrophotaleaceae,F
3118657,Thermotaleaceae,F
414877,Catenulisporaceae,F
3424635,Autoscriptoviridae,F
10486,Iridoviridae,F
1853227,Rubricoccaceae,F
1127830,Candidatus Brocadiaceae,F
2951104,Breznakiellaceae,F
213116,Desulfomicrobiaceae,F
3132029,Candidatus Hepatoplasmataceae,F
742031,Salinisphaeraceae,F
44746,Holosporaceae,F
1937961,Haliscomenobacteraceae,F
213465,Syntrophobacteraceae,F
1643824,Atopobiaceae,F
2236,Halobacteriaceae,F
46630,Picrophilaceae,F
10477,Lipothrixviridae,F
3421337,Guptibacillaceae,F
2937910,Desulfotomaculaceae,F
2805416,Jatrophihabitantaceae,F
2303527,Trichocoleusaceae,F
3039986,Nodosilineaceae,F
1890500,Hyellaceae,F
2842332,Steitzviridae,F
3056371,Coraliomargaritaceae,F
543349,Symbiobacteriaceae,F
3085642,Butyricicoccaceae,F
1890431,Chamaesiphonaceae,F
1077264,Chthonomonadaceae,F
3029088,Dethiosulfovibrionaceae,F
1779135,Bradymonadaceae,F
685949,Fervidicoccaceae,F
3085095,Pseudohongiellaceae,F
255527,Saccharospirillaceae,F
219687,Gemmatimonadaceae,F
2811504,Thermodesulfovibrionaceae,F
649777,Synergistaceae,F
114378,Thermofilaceae,F
11118,Coronaviridae,F
1511852,Nudiviridae,F
151341,Polyomaviridae,F
633392,Iamiaceae,F
2448023,Ilumatobacteraceae,F
2983183,Candidatus Hopanoidivoransaceae,F
85028,Tsukamurellaceae,F
1524215,Anaeromyxobacteraceae,F
574976,Holophagaceae,F
3085110,Thiohalobacteraceae,F
320583,Conexibacteraceae,F
563843,Rhodothermaceae,F
255474,Parvularculaceae,F
3423713,Sphingomicrobiaceae,F
224463,Nannocystaceae,F
145358,Allobogoriellaceae,F
2946156,Assiduviridae,F
224464,Kofleriaceae,F
255472,Caldisphaeraceae,F
1055686,Sandaracinaceae,F
145357,Dermacoccaceae,F
1771355,Tepidisphaeraceae,F
3423720,Blastomonadaceae,F
3142785,Terrirubraceae,F
145360,Sanguibacteraceae,F
84997,Rubrobacteraceae,F
3120698,Gallaecimonadaceae,F
85031,Nakamurellaceae,F
1890498,Dermocarpellaceae,F
2843308,Pleomorphomonadaceae,F
3423716,Parasphingopyxidaceae,F
666507,Phycisphaeraceae,F
92712,Simkaniaceae,F
1692041,Acidiferrobacteraceae,F
412032,Celerinatantimonadaceae,F
558415,Marinilabiliaceae,F
1217100,Jiangellaceae,F
3385905,Acidocellaceae,F
1937960,Lewinellaceae,F
85033,Sporichthyaceae,F
539000,Clostridiales Family XVII. Incertae Sedis,F
2844601,Stellaceae,F
2953756,Candidatus Chromulinivoraceae,F
3119833,Candidatus Puniceispirillaceae,F
2493628,Minwuiaceae,F
1738654,Woeseiaceae,F
1524216,Labilitrichaceae,F
558314,Desulfurobacteriaceae,F
2803844,Usitatibacteraceae,F
3381668,Gaopeijiaceae,F
2844881,Zymomonadaceae,F
2831111,Kaistiaceae,F
449719,Granulosicoccaceae,F
2036754,Chelatococcaceae,F
453228,Desulfarculaceae,F
2758916,Paraconexibacteraceae,F
2881378,Thermosynechococcaceae,F
1676141,Wenzhouxiangellaceae,F
2035710,Thioalkalibacteraceae,F
3056374,Cerasicoccaceae,F
1890422,Gloeobacteraceae,F
3044479,Stanwilliamsviridae,F
2723775,Lichenihabitantaceae,F
1266054,Algiphilaceae,F
3436874,Salinilacustritrichaceae,F
2843199,Miltoncostaeaceae,F
2137278,Salinarimonadaceae,F
2682227,Tepidiformaceae,F
589343,Geminigeraceae,F
2690195,Elioraeaceae,F
407032,Nitrospinaceae,F
125316,Beutenbergiaceae,F
85034,Glycomycetaceae,F
3079756,Halothecacae,F
2831090,Blastochloridaceae,F
2829802,Afifellaceae,F
3031145,Novispirillaceae,F
3084969,Thiohalomonadaceae,F
2858885,Mangrovivirgaceae,F
2494208,Capsulimonadaceae,F
2844877,Zavarziniaceae,F
2976758,Capillimicrobiaceae,F
3153719,Kribbibacteriaceae,F
2748673,Zhaonellaceae,F
332247,Trueperaceae,F
2650922,Aestuariivirgaceae,F
2005523,Paludibacteraceae,F
85018,Dermatophilaceae,F
908622,Euzebyaceae,F
1508635,Roseiflexaceae,F
1963270,Halococcaceae,F
1577788,Methanomassiliicoccaceae,F
2172021,Ancalomicrobiaceae,F
3149309,Methylopilaceae,F
1042322,Demequinaceae,F
2805426,Kytococcaceae,F
3366852,Geochordaceae,F
1980416,Peribunyaviridae,F
11632,Retroviridae,F
2978122,Candidatus Rariloculaceae,F
1191479,Magnetococcaceae,F
3228945,Sanyastnellaceae,F
1524213,Vulgatibacteraceae,F
693073,Caldisericaceae,F
2805586,Lawsonellaceae,F
3462473,Radicibacteraceae,F
255526,Halothiobacillaceae,F
3031665,Geoalkalibacteraceae,F
3031622,Desulfolunaceae,F
3031656,Desulfobaccaceae,F
3373482,Nitrosotaleaceae,F
3149307,Salaquimonadaceae,F
3228937,Coralliovaceae,F
1962910,Bryobacteraceae,F
2983162,Candidatus Spongiisociaceae,F
1747769,Egibacteraceae,F
1755824,Egicoccaceae,F
1892261,Chlorogloeopsidaceae,F
1106,Chloroflexaceae,F
3029087,Aminobacteriaceae,F
12058,Picornaviridae,F
191033,Oleiphilaceae,F
1486721,Methylothermaceae,F
3076164,Abyssicoccaceae,F
1185407,Defluviitaleaceae,F
543372,Thermoanaerobacterales Family IV. Incertae Sedis,F
2808923,Fluviibacteraceae,F
3457285,Candidatus Levibacteraceae,F
3423715,Aquisediminimonadaceae,F
2093822,Candidatus Nanosynbacteraceae,F
2946505,Microvenatoraceae,F
3149308,Rhodoligotrophaceae,F
2171986,Candidatus Saccharimonadaceae,F
292628,Anaerolineaceae,F
1934946,Immundisolibacteraceae,F
227387,Thermodesulfobiaceae,F
2692416,Ktedonosporobacteraceae,F
2689614,Steroidobacteraceae,F
2301193,Balneatrichaceae,F
580372,Mariprofundaceae,F
510685,Sneathiellaceae,F
83763,Succinivibrionaceae,F
1883067,Mymonaviridae,F
543347,Clostridiales Family XVI. Incertae Sedis,F
3342182,Candidatus Korarchaeaceae,F
2942964,Intestiviridae,F
232795,Dicistroviridae,F
2056687,Fastidiosibacteraceae,F
1962854,Calditrichaceae,F
3079741,Anthocerotibacteraceae,F
143067,Methanotrichaceae,F
3031143,Magnetovibrionaceae,F
449732,Litorivicinaceae,F
3399796,Candidatus Johnevansiaceae,F
1198451,Methanoregulaceae,F
1747776,Cuniculiplasmataceae,F
68298,Syntrophomonadaceae,F
85002,Sphaerobacteraceae,F
3039865,Candidatus Cloacimonadaceae,F
340080,Parameciidae,F
3078170,Hujiaoplasmataceae,F
990719,Christensenellaceae,F
213117,Desulfohalobiaceae,F
3085657,Monoglobaceae,F
189770,Chrysiogenaceae,F
213468,Syntrophaceae,F
84994,Acidimicrobiaceae,F
2896,Cryptomonadaceae,F
3121609,Candidatus Bipolaricaulaceae,F
2847776,Atribacteraceae,F
3399799,Candidatus Desulforudaceae,F
1980418,Phenuiviridae,F
2807496,Natranaerofabaceae,F
2885735,Candidatus Micrarchaeaceae,F
92714,Waddliaceae,F
475964,Caldilineaceae,F
2497645,Candidatus Babeliaceae,F
2517203,Methanomethylophilaceae,F
3040680,Hoyosellaceae,F
189777,Thermomicrobiaceae,F
2942966,Suoliviridae,F
944644,Marseilleviridae,F
3152140,Orpheoviridae,F
3424642,Connertonviridae,F
1955043,Gloeomargaritaceae,F
2786988,Koleobacteraceae,F
3079752,Geitlerinemataceae,F
225059,Thermithiobacillaceae,F
2760872,Tenuifilaceae,F
3056375,Alterococcaceae,F
3036766,Magnetospirillaceae,F
1921783,Kiritimatiellaceae,F
2842328,Salasmaviridae,F
1853225,Salinibacteraceae,F
3399800,Candidatus Nucleicultricaceae,F
2922432,Phototrophicaceae,F
3046368,Aristaeellaceae,F
69973,Closteroviridae,F
2946196,Polydnaviriformidae,F
2202724,Methanonatronarchaeaceae,F
2691358,Thermoguttaceae,F
3120161,Peptoclostridiaceae,F
3024158,Cyclonatronaceae,F
204431,Fibrobacteraceae,F
2864377,Carbonactinosporaceae,F
151340,Papillomaviridae,F
2705999,Casimicrobiaceae,F
2907186,Tichowtungiaceae,F
2805400,Actinopolymorphaceae,F
3039170,Desulfitibacteraceae,F
2829291,Vulcanimicrobiaceae,F
2169529,Ackermannviridae,F
675068,Betaflexiviridae,F
2690158,Anaerohalosphaeraceae,F
3409819,Winmispiraceae,F
641876,Elusimicrobiaceae,F
3120748,Thermosulfidibacteraceae,F
2603433,Candidatus Deianiraeaceae,F
3031658,Desulfomonilaceae,F
3121618,Candidatus Korobacteraceae,F
1676650,Limnochordaceae,F
3386556,Halalkalicoccaceae,F
548682,Alloherpesviridae,F
10508,Adenoviridae,F
585893,Picobirnaviridae,F
3399778,Candidatus Thermobaculaceae,F
2974823,Nanobdellaceae,F
423358,Bicaudaviridae,F
568247,Aspiviridae,F
3044455,Aliceevansviridae,F
3424680,Vandenendeviridae,F
2946155,Aggregaviridae,F
10811,Geminiviridae,F
1980412,Fimoviridae,F
3050006,Fontisphaeraceae,F
622451,Actinopolysporaceae,F
539003,Bacillales Family X. Incertae Sedis,F
3424640,Casidaviridae,F
3046412,Halothermotrichaceae,F
1495648,Thermoflexaceae,F
1442156,Ferrovaceae,F
316606,Segniliparaceae,F
85032,Acidothermaceae,F
3072461,Haliovirgaceae,F
320796,Thermoleophilaceae,F
589351,Hemiselmidaceae,F
3424674,Stackebrandtviridae,F
3031464,Thermodesulfatatoraceae,F
137992,Asfarviridae,F
1914302,Lavidaviridae,F
3424654,Jeanschmidtviridae,F
3044456,Allomimiviridae,F
2856054,Candidatus Nanohalobiaceae,F
2946174,Winoviridae,F
3048035,Hippeaceae,F
2968741,Chloroherpetonaceae,F
675071,Virgaviridae,F
3119552,Candidatus Azoamicaceae,F
1902584,Candidatus Desulfofervidaceae,F
3064798,Halorubellaceae,F
2545690,Candidatus Methanoliparaceae,F
3424659,Lindbergviridae,F
2946187,Spinareoviridae,F
1769717,Mesoaciditogaceae,F
39748,Hypoviridae,F
10780,Parvoviridae,F
1980417,Phasmaviridae,F
3378215,Candidatus Caldatribacteriaceae,F
3044481,Verdandiviridae,F
3044473,Pootjesviridae,F
11006,Totiviridae,F
43682,Ascoviridae,F
2169568,Deltaflexiviridae,F
39729,Potyviridae,F
3377527,Fidelibacteraceae,F
3240449,Thermatribacteraceae,F
2307,Pyrodictiaceae,F
3152152,Sputniviroviridae,F
85022,Jonesiaceae,F
2946175,Zierdtviridae,F
2942963,Crevaviridae,F
