MAG,RNA processing and modification,Chromatin structure and dynamics,Energy production and conversion,"Cell cycle control, cell division, chromosome partitioning",Amino acid transport and metabolism,Nucleotide transport and metabolism,Carbohydrate transport and metabolism,Coenzyme transport and metabolism,Lipid transport and metabolism,"Translation, ribosomal structure and biogenesis",Transcription,"Replication, recombination and repair",Cell wall/membrane/envelope biogenesis,Cell motility,"Posttranslational modification, protein turnover, chaperones",Inorganic ion transport and metabolism,"Secondary metabolites biosynthesis, transport and catabolism",General function prediction only,Function unknown,Signal transduction mechanisms,"Intracellular trafficking, secretion, and vesicular transport",Defense mechanisms,Extracellular structures,"Mobilome: prophages, transposons",Total
mcav_metabat2.3,5,4,105,36,145,62,50,91,78,181,49,95,172,15,128,107,18,101,43,59,24,46,0,72,1686
mcav_metabat2.24,8,8,321,46,206,78,151,237,84,239,84,106,222,27,193,145,101,307,125,327,101,104,1,324,3545
mcav_metabat2.9,9,4,215,37,355,68,131,174,175,179,171,100,200,35,122,200,73,196,118,144,50,56,21,11,2844
mcav_metabat2.19,2,0,17,7,33,12,1,3,4,131,23,78,21,1,40,14,1,31,4,20,11,3,0,48,505
