"","x"
"1","1.14.13.33-RXN: (expasy) 4-hydroxybenzoate 3-monooxygenase (NAD(P)H) [1.14.13.33]"
"2","1.14.13.84-RXN: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84]"
"3","1.14.99.15-RXN: (expasy) 4-methoxybenzoate monooxygenase (O-demethylating) [1.14.99.15]"
"4","1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3]"
"5","1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4]"
"6","1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54]"
"7","1.4.99.5-RXN: (expasy) Glycine dehydrogenase (cyanide-forming) [1.4.99.5]"
"8","1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]"
"9","2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]"
"10","2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133]"
"11","2.3.1.154-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176]"
"12","2.3.1.176-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176]"
"13","2.4.1.244-RXN: (expasy) acetylgalactosaminyltransferase [2.4.1.244]"
"14","2.4.1.37-RXN: (expasy) Fucosylgalactoside 3-alpha-galactosyltransferase [2.4.1.37]"
"15","2.7.11.24-RXN: (expasy) Mitogen-activated protein kinase [2.7.11.24]"
"16","2.7.12.1-RXN: (expasy) cAMP-dependent protein kinase [2.7.11.11]"
"17","2.7.7.39-RXN: (expasy) Glycerol-3-phosphate cytidylyltransferase [2.7.7.39]"
"18","24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN: (expasy) 2,4-dichlorophenol 6-monooxygenase [1.14.13.20]"
"19","3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]"
"20","3.1.1.64-RXN: (metacyc) all-trans-retinyl-palmitate hydrolase [3.1.1.1]"
"21","3.1.1.75-RXN: (expasy) Poly(3-hydroxybutyrate) depolymerase [3.1.1.75]"
"22","3.1.1.81-RXN: (expasy) Quorum-quenching N-acyl-homoserine lactonase [3.1.1.81]"
"23","3.1.2.23-RXN: (expasy) 4-hydroxybenzoyl-CoA thioesterase [3.1.2.23]"
"24","3.1.21.5-RXN: (expasy) Type III site-specific deoxyribonuclease [3.1.21.5]"
"25","3.1.3.57-RXN: (expasy) Inositol-1,4-bisphosphate 1-phosphatase [3.1.3.57]"
"26","3.2.1.141-RXN: (expasy) 4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase [3.2.1.141]"
"27","3.2.1.40-RXN: (expasy) Alpha-L-rhamnosidase [3.2.1.40]"
"28","3.4.13.18-RXN: (expasy) Cytosol nonspecific dipeptidase [3.4.13.18]"
"29","3.4.17.11-RXN: (expasy) Glutamate carboxypeptidase [3.4.17.11]"
"30","3.4.17.13-RXN: (expasy) Muramoyltetrapeptide carboxypeptidase [3.4.17.13]"
"31","3.5.1.26-RXN: (expasy) N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase [3.5.1.26]"
"32","3.5.1.82-RXN: (expasy) N-acyl-D-glutamate deacylase [3.5.1.82]"
"33","3.5.1.83-RXN: (expasy) N-acyl-D-aspartate deacylase [3.5.1.83]"
"34","3.5.1.86-RXN: (expasy) Mandelamide amidase [3.5.1.86]"
"35","3.5.2.18-RXN: (expasy) Enamidase [3.5.2.18]"
"36","3.5.5.1-RXN: (expasy) Nitrilase [3.5.5.1]"
"37","3.6.1.17-RXN: (expasy) Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) [3.6.1.17]"
"38","3.6.3.1-RXN: (expasy) P-type phospholipid transporter [7.6.2.1]"
"39","3.6.3.21-RXN: (expasy) ABC-type polar-amino-acid transporter [7.4.2.1]"
"40","3.6.3.30-RXN: (expasy) ABC-type Fe(3+) transporter [7.2.2.7]"
"41","4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN: (expasy) 4-carboxymuconolactone decarboxylase [4.1.1.44]"
"42","4-NITROPHENOL-2-MONOOXYGENASE-RXN: (expasy) 4-nitrophenol 2-monooxygenase [1.14.13.29]"
"43","4.1.3.26-RXN: (expasy) 3-hydroxy-3-isohexenylglutaryl-CoA lyase [4.1.3.26]"
"44","4.2.1.41-RXN: (expasy) 5-dehydro-4-deoxyglucarate dehydratase [4.2.1.41]"
"45","4.2.99.19-RXN: (expasy) 2-hydroxypropyl-CoM lyase [4.4.1.23]"
