"","x"
"46","5-METHYLTHIORIBOSE-KINASE-RXN: (expasy) S-methyl-5-thioribose kinase [2.7.1.100]"
"47","5.4.99.15-RXN: (expasy) (1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [5.4.99.15]"
"48","5.5.1.2-RXN: (expasy) 3-carboxy-cis,cis-muconate cycloisomerase [5.5.1.2]"
"49","6.2.1.33-RXN: (expasy) 4-chlorobenzoate--CoA ligase [6.2.1.33]"
"50","6.4.1.6-RXN: (expasy) Acetone carboxylase [6.4.1.6]"
"51","ABC-12-RXN: (expasy) ABC-type polar-amino-acid transporter [7.4.2.1]"
"52","ABC-13-RXN: (expasy) ABC-type polar-amino-acid transporter [7.4.2.1]"
"53","ABC-14-RXN: (expasy) ABC-type polar-amino-acid transporter [7.4.2.1]"
"54","ABC-16-RXN: (expasy) ABC-type maltose transporter [7.5.2.1]"
"55","ABC-3-RXN: (expasy) ABC-type polar-amino-acid transporter [7.4.2.1]"
"56","ABC-37-RXN: (expasy) ABC-type polar-amino-acid transporter [7.4.2.1]"
"57","ABC-4-RXN: (expasy) ABC-type polar-amino-acid transporter [7.4.2.1]"
"58","ACETOLACTATE-DECARBOXYLASE-RXN: (expasy) Acetolactate decarboxylase [4.1.1.5]"
"59","ADENOSINE-KINASE-RXN: (expasy) Adenosine kinase [2.7.1.20]"
"60","ADENPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"61","ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]"
"62","ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]"
"63","ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]"
"64","ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN: (expasy) Alkylglycerone-phosphate synthase [2.5.1.26]"
"65","ALLANTOICASE-RXN: (expasy) Allantoicase [3.5.3.4]"
"66","ALPHA-AMINO-ACID-ESTERASE-RXN: (expasy) Alpha-amino-acid esterase [3.1.1.43]"
"67","ALTRODEHYDRAT-RXN: (expasy) Altronate dehydratase [4.2.1.7]"
"68","AMIDASE-RXN: (expasy) Amidase [3.5.1.4]"
"69","AMINOBENZCOALIG-RXN: (expasy) Anthranilate--CoA ligase [6.2.1.32]"
"70","APYRASE-RXN: (expasy) Apyrase [3.6.1.5]"
"71","ARGININE-N-SUCCINYLTRANSFERASE-RXN: (expasy) Arginine N-succinyltransferase [2.3.1.109]"
"72","ARYL-ACYLAMIDASE-RXN: (expasy) Aryl-acylamidase [3.5.1.13]"
"73","ARYL-ALCOHOL-DEHYDROGENASE-RXN: (expasy) Aryl-alcohol dehydrogenase [1.1.1.90]"
"74","ASPARTOACYLASE-RXN: (expasy) Aspartoacylase [3.5.1.15]"
"75","BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN: (expasy) Benzaldehyde dehydrogenase (NAD(+)) [1.2.1.28]"
"76","BENZYL-ALC-DEHYDROGENASE-RXN: (expasy) Aryl-alcohol dehydrogenase [1.1.1.90]"
"77","BENZYL-ALCOHOL-DEHYDROGENASE-RXN: (expasy) Aryl-alcohol dehydrogenase [1.1.1.90]"
"78","BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN: (expasy) Biphenyl-2,3-diol 1,2-dioxygenase [1.13.11.39]"
"79","BUTYRATE-KINASE-RXN: (expasy) AMBIGUOUS [2.7.2.14; 2.7.2.7]"
"80","CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN: (expasy) Arogenate dehydratase [4.2.1.91]"
"81","CARBOXYLESTERASE-RXN: (expasy) Carboxylesterase [3.1.1.1]"
"82","CATECHOL-12-DIOXYGENASE-RXN: (expasy) Catechol 1,2-dioxygenase [1.13.11.1]"
"83","CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN: (expasy) Chloramphenicol O-acetyltransferase [2.3.1.28]"
"84","CHOLESTEROL-OXIDASE-RXN: (expasy) Cholesterol oxidase [1.1.3.6]"
"85","CHOLOYLGLYCINE-HYDROLASE-RXN: (expasy) Choloylglycine hydrolase [3.5.1.24]"
"86","CITRAMALYL-COA-LYASE-RXN: (expasy) (S)-citramalyl-CoA lyase [4.1.3.25]"
"87","CITRYLY-RXN: (expasy) Citryl-CoA lyase [4.1.3.34]"
"88","CPM-KDOSYNTH-RXN: (expasy) 3-deoxy-manno-octulosonate cytidylyltransferase [2.7.7.38]"
"89","CYCLOPENTANONE-MONOOXYGENASE-RXN: (expasy) Cyclopentanone monooxygenase [1.14.13.16]"
"90","CYTIDEAM-RXN: (expasy) Cytidine deaminase [3.5.4.5]"
"91","CYTIDEAM2-RXN: (expasy) Cytidine deaminase [3.5.4.5]"
"92","D-ASPARTATE-OXIDASE-RXN: (expasy) AMBIGUOUS [1.4.3.1; 1.4.3.15]"
"93","D-SORBITOL-DEHYDROGENASE-RXN: (expasy) D-sorbitol dehydrogenase (acceptor) [1.1.99.21]"
"94","D-XYLOSE-1-DEHYDROGENASE-RXN: (expasy) D-xylose 1-dehydrogenase [1.1.1.175]"
"95","DEHYDDEOXGALACTKIN-RXN: (expasy) AMBIGUOUS [2.7.1.178; 2.7.1.58]"
"96","DEHYDDEOXPHOSGALACT-ALDOL-RXN: (expasy) AMBIGUOUS [4.1.2.21; 4.1.2.55]"
"97","DEOXYADENPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"98","DEOXYCYTIDINE-KINASE-RXN: (expasy) Deoxycytidine kinase [2.7.1.74]"
"99","DEOXYGUANPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"100","DEOXYINOPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"101","DIMESULFREDUCT-RXN: (expasy) Respiratory dimethylsulfoxide reductase [1.8.5.3]"
"102","ENZRXN-201-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]"
"103","ERYTH4PDEHYDROG-RXN: (expasy) Erythrose-4-phosphate dehydrogenase [1.2.1.72]"
"104","ERYTHRITOL-KINASE-RXN: (expasy) Erythritol kinase (D-erythritol 4-phosphate-forming) [2.7.1.27]"
"105","ERYTHRONOLIDE-SYNTHASE-RXN: (expasy) 6-deoxyerythronolide-B synthase [2.3.1.94]"
"106","FORMAMIDASE-RXN: (expasy) Formamidase [3.5.1.49]"
"107","FORMATE-DEHYDROGENASE-CYTOCHROME-RXN: (expasy) Formate dehydrogenase (cytochrome) [1.2.2.1]"
"108","GALACTARDEHYDRA-RXN: (expasy) Galactarate dehydratase [4.2.1.42]"
"109","GALACTONDEHYDRAT-RXN: (expasy) AMBIGUOUS [4.2.1.140; 4.2.1.6]"
"110","GENTISATE-12-DIOXYGENASE-RXN: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]"
"111","GLUCARDEHYDRA-RXN: (expasy) Glucarate dehydratase [4.2.1.40]"
"112","GLUCONATE-5-DEHYDROGENASE-RXN: (expasy) Gluconate 5-dehydrogenase [1.1.1.69]"
"113","GLUCONOLACT-RXN: (expasy) Gluconolactonase [3.1.1.17]"
"114","GLUCOSAMINE-KINASE-RXN: (expasy) Glucosamine kinase [2.7.1.8]"
"115","GLUTAMATE--METHYLAMINE-LIGASE-RXN: (expasy) Glutamate--methylamine ligase [6.3.4.12]"
"116","GUANIDINOBUTANAMIDE-NH3-RXN: (expasy) Amidase [3.5.1.4]"
"117","H2SOXIREDPYRO-RXN: (expasy) Sulfhydrogenase [1.12.98.4]"
"118","HCAMULTI-RXN: (expasy) 3-phenylpropanoate dioxygenase [1.14.12.19]"
"119","HIPPURATE-HYDROLASE-RXN: (expasy) Hippurate hydrolase [3.5.1.32]"
"120","HISTONE-ACETYLTRANSFERASE-RXN: (expasy) Histone acetyltransferase [2.3.1.48]"
"121","HYDROG-RXN: (expasy) Ferredoxin hydrogenase [1.12.7.2]"
"122","INOPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"123","L-3-CYANOALANINE-SYNTHASE-RXN: (expasy) L-3-cyanoalanine synthase [4.4.1.9]"
"124","L-ARABINONOLACTONASE-RXN: (expasy) L-arabinonolactonase [3.1.1.15]"
"125","L-ARABINOSE-1-DEHYDROGENASE-RXN: (expasy) L-arabinose 1-dehydrogenase [1.1.1.46]"
"126","L-IDITOL-2-DEHYDROGENASE-RXN: (expasy) L-iditol 2-dehydrogenase [1.1.1.14]"
"127","LACCASE-RXN: (expasy) Laccase [1.10.3.2]"
"128","LTARTDEHYDRA-RXN: (expasy) L(+)-tartrate dehydratase [4.2.1.32]"
"129","LYSINE-23-AMINOMUTASE-RXN: (expasy) Lysine 2,3-aminomutase [5.4.3.2]"
"130","MALEYLPYRUVATE-ISOMERASE-RXN: (expasy) Maleylpyruvate isomerase [5.2.1.4]"
"131","MALTACETYLTRAN-RXN: (expasy) Maltose O-acetyltransferase [2.3.1.79]"
"132","MANNONOXIDOREDUCT-RXN: (expasy) Fructuronate reductase [1.1.1.57]"
"133","METHYLMALONYL-COA-EPIM-RXN: (expasy) Methylmalonyl-CoA epimerase [5.1.99.1]"
"134","MHPCHYDROL-RXN: (expasy) 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [3.7.1.14]"
"135","N-ACETYLNEURAMINATE-SYNTHASE-RXN: (expasy) N-acetylneuraminate synthase [2.5.1.56]"
"136","NADH-PEROXIDASE-RXN: (expasy) NADH peroxidase [1.11.1.1]"
"137","NARINGENIN-CHALCONE-SYNTHASE-RXN: (expasy) Chalcone synthase [2.3.1.74]"
"138","NMNAMIDOHYDRO-RXN: (expasy) Nicotinamide-nucleotide amidase [3.5.1.42]"
"139","OHMETPYRKIN-RXN: (expasy) Hydroxymethylpyrimidine kinase [2.7.1.49]"
"140","OLEATE-HYDRATASE-RXN: (expasy) Oleate hydratase [4.2.1.53]"
"141","OXALATE-DECARBOXYLASE-RXN: (expasy) Oxalate decarboxylase [4.1.1.2]"
"142","PHOSCHOL-RXN: (expasy) Phospholipase D [3.1.4.4]"
"143","PNP-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"144","PRODISULFREDUCT-RXN: (expasy) Protein-disulfide reductase (glutathione) [1.8.4.2]"
"145","PROTEIN-KINASE-RXN: (expasy) AMBIGUOUS [2.7.11.1; 2.7.11.12; 2.7.11.13; 2.7.11.17; 2.7.11.21; 2.7.11.22; 2.7.12.1]"
"146","PROTOCATECHUATE-34-DIOXYGENASE-RXN: (expasy) Protocatechuate 3,4-dioxygenase [1.13.11.3]"
"147","PSEUDOURIDINE-KINASE-RXN: (expasy) Pseudouridine kinase [2.7.1.83]"
"148","PUTRESCINE-OXIDASE-RXN: (expasy) Putrescine oxidase [1.4.3.10]"
"149","PYRAZIN-RXN: (expasy) Amidase [3.5.1.4]"
"150","QUERCITRINASE-RXN: (expasy) AMBIGUOUS [3.2.1.40; 3.2.1.66]"
"151","QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN: NO_NAME"
"152","R101-RXN: (expasy) Diaminobutyrate--2-oxoglutarate transaminase [2.6.1.76]"
"153","R146-RXN: (expasy) Acireductone dioxygenase (Ni(2+)-requiring) [1.13.11.53]"
"154","R147-RXN: (expasy) Acireductone dioxygenase (Fe(2+)-requiring) [1.13.11.54]"
"155","R311-RXN: (metacyc) Acrylamidase [3.5.1.4]"
"156","RETINYL-PALMITATE-ESTERASE-RXN: (metacyc) retinyl-palmitate esterase [3.1.1.1]"
"157","RIBULOKIN-RXN: (expasy) Ribulokinase [2.7.1.16]"
"158","RNA-POLYMERASE-SUBUNIT-KINASE-RXN: (expasy) [RNA-polymerase]-subunit kinase [2.7.11.23]"
"159","RXN-1: (expasy) Monoamine oxidase [1.4.3.4]"
"160","RXN-10002: (expasy) Pseudaminic acid synthase [2.5.1.97]"
"161","RXN-10047: (expasy) Quorum-quenching N-acyl-homoserine lactonase [3.1.1.81]"
"162","RXN-10048: (expasy) Quorum-quenching N-acyl-homoserine lactonase [3.1.1.81]"
"163","RXN-10049: (expasy) Quorum-quenching N-acyl-homoserine lactonase [3.1.1.81]"
"164","RXN-10050: (expasy) Quorum-quenching N-acyl-homoserine lactonase [3.1.1.81]"
"165","RXN-10051: (expasy) Quorum-quenching N-acyl-homoserine lactonase [3.1.1.81]"
"166","RXN-10052: (expasy) Quorum-quenching N-acyl-homoserine lactonase [3.1.1.81]"
"167","RXN-10078: (metacyc) 4-methylsalicylate hydroxylase [1.14.13.1]"
"168","RXN-10079: (metacyc) 5-methylsalicylate hydroxylase [1.14.13.1]"
"169","RXN-10137: (expasy) Hydroxyquinol 1,2-dioxygenase [1.13.11.37]"
"170","RXN-10445: (expasy) 3-fumarylpyruvate hydrolase [3.7.1.20]"
"171","RXN-10620: (expasy) Cyclic dehypoxanthinyl futalosine synthase [1.21.98.1]"
"172","RXN-10711: (expasy) Carboxylesterase [3.1.1.1]"
"173","RXN-10717: (metacyc) indole acetaldehyde reductase [1.1.1.2]"
"174","RXN-10745: (expasy) NAD(P)H oxidase (H(2)O(2)-forming) [1.6.3.1]"
"175","RXN-10767: (expasy) Carboxylesterase [3.1.1.1]"
"176","RXN-10778: (expasy) Monoamine oxidase [1.4.3.4]"
"177","RXN-10817: (metacyc) phenylethylamine oxidase [1.4.3.4]"
"178","RXN-10856: (expasy) 7,8-dihydroneopterin epimerase [5.1.99.8]"
"179","RXN-10907: (expasy) Monoamine oxidase [1.4.3.4]"
"180","RXN-10908: (expasy) Monoamine oxidase [1.4.3.4]"
"181","RXN-10910: (expasy) Monoamine oxidase [1.4.3.4]"
"182","RXN-10913: (expasy) Monoamine oxidase [1.4.3.4]"
"183","RXN-10939: (expasy) Inositol-1,4-bisphosphate 1-phosphatase [3.1.3.57]"
"184","RXN-11054: (expasy) 2,3-epoxybenzoyl-CoA dihydrolase [4.1.2.44]"
"185","RXN-11067: (expasy) Monoamine oxidase [1.4.3.4]"
"186","RXN-11283: (expasy) Glucose-6-phosphate dehydrogenase (coenzyme-F420) [1.1.98.2]"
"187","RXN-11335: (expasy) Alcohol dehydrogenase (azurin) [1.1.9.1]"
"188","RXN-11468: (expasy) Chalcone synthase [2.3.1.74]"
"189","RXN-11542: (expasy) Biphenyl-2,3-diol 1,2-dioxygenase [1.13.11.39]"
"190","RXN-11573: (expasy) 23S rRNA (guanine(745)-N(1))-methyltransferase [2.1.1.187]"
"191","RXN-11593: (expasy) 16S rRNA (cytosine(1407)-C(5))-methyltransferase [2.1.1.178]"
"192","RXN-11715: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"193","RXN-11743: (metacyc) 5'-deoxy-5'-fluoroadenosine phosphorylase [2.4.2.1]"
"194","RXN-11750: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"195","RXN-11767: (expasy) Threo-3-hydroxy-D-aspartate ammonia-lyase [4.3.1.27]"
"196","RXN-11835: (expasy) 23S rRNA pseudouridine(2604) synthase [5.4.99.21]"
"197","RXN-11841: (expasy) tRNA pseudouridine(13) synthase [5.4.99.27]"
"198","RXN-11951: (metacyc) SoxXA [2.8.5.2]"
"199","RXN-12070: (expasy) 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [3.7.1.14]"
"200","RXN-12072: (expasy) 3-phenylpropanoate dioxygenase [1.14.12.19]"
"201","RXN-12095: (expasy) 2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+)) [1.1.1.401]"
"202","RXN-12252: (expasy) Carboxylesterase [3.1.1.1]"
"203","RXN-12263: (expasy) Presqualene diphosphate synthase [2.5.1.103]"
"204","RXN-12299: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]"
"205","RXN-12353: (expasy) DNA oxidative demethylase [1.14.11.33]"
"206","RXN-12366: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]"
"207","RXN-12367: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]"
"208","RXN-12402: (expasy) Alpha-D-xyloside xylohydrolase [3.2.1.177]"
"209","RXN-12484: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]"
"210","RXN-12571: (expasy) 3-(methylthio)propionyl--CoA ligase [6.2.1.44]"
"211","RXN-12575: (metacyc) all-trans retinyl-ester hydrolase [3.1.1.1]"
"212","RXN-12651: (expasy) 1-deoxypentalenic acid 11-beta-hydroxylase [1.14.11.35]"
"213","RXN-12658: (expasy) 1-deoxy-11-beta-hydroxypentalenate dehydrogenase [1.1.1.340]"
"214","RXN-12706: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176]"
"215","RXN-12767: (expasy) N,N-dimethyltransferase [2.1.1.234]"
"216","RXN-12778: (expasy) Cholesterol oxidase [1.1.3.6]"
"217","RXN-12839: (expasy) deoxy-alpha-D-galactopyranose-forming) [5.3.2.3]"
"218","RXN-12886: (expasy) Pyrimidine monooxygenase [1.14.99.46]"
"219","RXN-12969: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"220","RXN-13001: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"221","RXN-1302: (expasy) (S)-1-phenylethanol dehydrogenase [1.1.1.311]"
"222","RXN-13028: (expasy) Starch synthase (maltosyl-transferring) [2.4.99.16]"
"223","RXN-13069: (expasy) Nicotine blue oxidoreductase [1.1.1.328]"
"224","RXN-13088: (expasy) Pseudooxynicotine oxidase [1.4.3.24]"
"225","RXN-13129: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84]"
"226","RXN-13194: (expasy) Epi-isozizaene 5-monooxygenase [1.14.13.106]"
"227","RXN-13274: (expasy) acetylgalactosaminyltransferase [2.4.1.290]"
"228","RXN-13275: (expasy) 4-alpha-N-acetylgalactosaminyltransferase [2.4.1.291]"
"229","RXN-13302: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"230","RXN-13303: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"231","RXN-13304: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"232","RXN-13305: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"233","RXN-13444: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"234","RXN-13613: (expasy) Beta-ketodecanoyl-[acyl-carrier-protein] synthase [2.3.1.207]"
"235","RXN-13680: (expasy) Aspartoacylase [3.5.1.15]"
"236","RXN-13758: (expasy) [Pyruvate, water dikinase] kinase [2.7.11.33]"
"237","RXN-13759: (expasy) ([Pyruvate, water dikinase] phosphate) phosphotransferase [2.7.4.28]"
"238","RXN-13788: (metacyc) rutin rhamnosidase [3.2.1.40]"
"239","RXN-13944: (expasy) Hydroperoxy fatty acid reductase [1.11.1.22]"
"240","RXN-1401: (expasy) Monoamine oxidase [1.4.3.4]"
"241","RXN-14023: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]"
"242","RXN-14029: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]"
"243","RXN-1404: (expasy) Nitrilase [3.5.5.1]"
"244","RXN-14098: (expasy) Deoxycytidine kinase [2.7.1.74]"
"245","RXN-14099: (expasy) Deoxycytidine kinase [2.7.1.74]"
"246","RXN-14100: (expasy) Deoxycytidine kinase [2.7.1.74]"
"247","RXN-14162: (expasy) 4-nitrophenol 2-monooxygenase [1.14.13.29]"
"248","RXN-14485: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"249","RXN-14494: (metacyc) 3-hydroxy-lesqueroloyl-CoA dehydratase [4.2.1.134]"
"250","RXN-14574: (expasy) AMBIGUOUS [3.2.1.190; 3.2.1.40]"
"251","RXN-14640: (expasy) Mycothiol S-conjugate amidase [3.5.1.115]"
"252","RXN-14727: (expasy) Amidase [3.5.1.4]"
"253","RXN-14728: (expasy) Amidase [3.5.1.4]"
"254","RXN-14906: (expasy) cAMP-dependent protein kinase [2.7.11.11]"
"255","RXN-15154: (expasy) Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase [2.7.1.202]"
"256","RXN-16001: (expasy) 3-hydroxy acid dehydrogenase [1.1.1.381]"
"257","RXN-16008: (expasy) L-serine 3-dehydrogenase (NAD(+)) [1.1.1.387]"
"258","RXN-16021: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"259","RXN-16096: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"260","RXN-16113: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"261","RXN-16130: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"262","RXN-16155: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"263","RXN-16248: (expasy) Alpha-L-rhamnosidase [3.2.1.40]"
"264","RXN-16249: (expasy) Alpha-L-rhamnosidase [3.2.1.40]"
"265","RXN-16250: (expasy) Alpha-L-rhamnosidase [3.2.1.40]"
"266","RXN-16312: (expasy) Laccase [1.10.3.2]"
"267","RXN-16322: (expasy) Nitronate monooxygenase [1.13.12.16]"
"268","RXN-16391: (expasy) Methylmalonyl-CoA epimerase [5.1.99.1]"
"269","RXN-16664: (expasy) Muramoyltetrapeptide carboxypeptidase [3.4.17.13]"
"270","RXN-16945: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]"
"271","RXN-16947: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]"
"272","RXN-16949: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]"
"273","RXN-16950: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]"
"274","RXN-16953: (expasy) Aryl-alcohol dehydrogenase [1.1.1.90]"
"275","RXN-16954: (expasy) Aryl-alcohol dehydrogenase [1.1.1.90]"
"276","RXN-17096: (expasy) Sulfoquinovose 1-dehydrogenase [1.1.1.390]"
"277","RXN-17097: (expasy) 6-deoxy-6-sulfo-D-gluconate dehydratase [4.2.1.162]"
"278","RXN-17110: (expasy) Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [4.2.1.134]"
"279","RXN-17343: (expasy) Biphenyl-2,3-diol 1,2-dioxygenase [1.13.11.39]"
"280","RXN-17344: (expasy) Biphenyl-2,3-diol 1,2-dioxygenase [1.13.11.39]"
"281","RXN-17351: (expasy) Laccase [1.10.3.2]"
"282","RXN-17388: (expasy) Choloylglycine hydrolase [3.5.1.24]"
"283","RXN-17566: (expasy) Acetone carboxylase [6.4.1.6]"
"284","RXN-17582: (expasy) 2-hydroxypropyl-CoM lyase [4.4.1.23]"
"285","RXN-17583: (expasy) 2-hydroxypropyl-CoM lyase [4.4.1.23]"
"286","RXN-17584: (expasy) 2-hydroxypropyl-CoM lyase [4.4.1.23]"
"287","RXN-17607: (expasy) Nitrilase [3.5.5.1]"
