"","Item","Cluster"
"RXN-12651: (expasy) 1-deoxypentalenic acid 11-beta-hydroxylase [1.14.11.35]","RXN-12651: (expasy) 1-deoxypentalenic acid 11-beta-hydroxylase [1.14.11.35]",5
"RXN-13944: (expasy) Hydroperoxy fatty acid reductase [1.11.1.22]","RXN-13944: (expasy) Hydroperoxy fatty acid reductase [1.11.1.22]",5
"ALLANTOICASE-RXN: (expasy) Allantoicase [3.5.3.4]","ALLANTOICASE-RXN: (expasy) Allantoicase [3.5.3.4]",5
"CITRAMALYL-COA-LYASE-RXN: (expasy) (S)-citramalyl-CoA lyase [4.1.3.25]","CITRAMALYL-COA-LYASE-RXN: (expasy) (S)-citramalyl-CoA lyase [4.1.3.25]",5
"RXN-10137: (expasy) Hydroxyquinol 1,2-dioxygenase [1.13.11.37]","RXN-10137: (expasy) Hydroxyquinol 1,2-dioxygenase [1.13.11.37]",5
"CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN: (expasy) Chloramphenicol O-acetyltransferase [2.3.1.28]","CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN: (expasy) Chloramphenicol O-acetyltransferase [2.3.1.28]",5
"TSA-REDUCT-RXN: (expasy) 2-hydroxy-3-oxopropionate reductase [1.1.1.60]","TSA-REDUCT-RXN: (expasy) 2-hydroxy-3-oxopropionate reductase [1.1.1.60]",5
"RXN-9935: (expasy) Mannosylfructose-phosphate synthase [2.4.1.246]","RXN-9935: (expasy) Mannosylfructose-phosphate synthase [2.4.1.246]",5
"RXN-9087: (expasy) Acrylyl-CoA reductase (NADPH) [1.3.1.84]","RXN-9087: (expasy) Acrylyl-CoA reductase (NADPH) [1.3.1.84]",5
"RXN-6702: (expasy) Glutathione amide reductase [1.8.1.16]","RXN-6702: (expasy) Glutathione amide reductase [1.8.1.16]",5
"RXN1G-4: (expasy) Mycothiol synthase [2.3.1.189]","RXN1G-4: (expasy) Mycothiol synthase [2.3.1.189]",5
"GLUTAMATE--METHYLAMINE-LIGASE-RXN: (expasy) Glutamate--methylamine ligase [6.3.4.12]","GLUTAMATE--METHYLAMINE-LIGASE-RXN: (expasy) Glutamate--methylamine ligase [6.3.4.12]",5
"3.1.3.57-RXN: (expasy) Inositol-1,4-bisphosphate 1-phosphatase [3.1.3.57]","3.1.3.57-RXN: (expasy) Inositol-1,4-bisphosphate 1-phosphatase [3.1.3.57]",5
"RXN-10939: (expasy) Inositol-1,4-bisphosphate 1-phosphatase [3.1.3.57]","RXN-10939: (expasy) Inositol-1,4-bisphosphate 1-phosphatase [3.1.3.57]",5
"DIMESULFREDUCT-RXN: (expasy) Respiratory dimethylsulfoxide reductase [1.8.5.3]","DIMESULFREDUCT-RXN: (expasy) Respiratory dimethylsulfoxide reductase [1.8.5.3]",5
"RXN-20076: (expasy) Respiratory dimethylsulfoxide reductase [1.8.5.3]","RXN-20076: (expasy) Respiratory dimethylsulfoxide reductase [1.8.5.3]",5
"RXN-19619: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]","RXN-19619: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]",5
"1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]","1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]",5
"RXN-19618: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]","RXN-19618: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]",5
"RXN8J2-136: (expasy) Glucose-6-phosphate 3-dehydrogenase [1.1.1.361]","RXN8J2-136: (expasy) Glucose-6-phosphate 3-dehydrogenase [1.1.1.361]",5
"RXN-8081: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]","RXN-8081: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]",5
"RXN-20715: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]","RXN-20715: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]",5
"RXN-20714: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]","RXN-20714: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]",5
"RXN-20713: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]","RXN-20713: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]",5
"RXN-20712: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]","RXN-20712: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]",5
"RXN-20711: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]","RXN-20711: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]",5
"RXN-20710: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]","RXN-20710: (expasy) Coenzyme F420-1:gamma-L-glutamate ligase [6.3.2.34]",5
"RXN-13194: (expasy) Epi-isozizaene 5-monooxygenase [1.14.13.106]","RXN-13194: (expasy) Epi-isozizaene 5-monooxygenase [1.14.13.106]",5
"RXN-13129: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84]","RXN-13129: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84]",5
"RXN-13069: (expasy) Nicotine blue oxidoreductase [1.1.1.328]","RXN-13069: (expasy) Nicotine blue oxidoreductase [1.1.1.328]",5
"RXN-12658: (expasy) 1-deoxy-11-beta-hydroxypentalenate dehydrogenase [1.1.1.340]","RXN-12658: (expasy) 1-deoxy-11-beta-hydroxypentalenate dehydrogenase [1.1.1.340]",5
"ERYTHRONOLIDE-SYNTHASE-RXN: (expasy) 6-deoxyerythronolide-B synthase [2.3.1.94]","ERYTHRONOLIDE-SYNTHASE-RXN: (expasy) 6-deoxyerythronolide-B synthase [2.3.1.94]",5
"1.14.13.84-RXN: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84]","1.14.13.84-RXN: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84]",5
"3.6.3.30-RXN: (expasy) ABC-type Fe(3+) transporter [7.2.2.7]","3.6.3.30-RXN: (expasy) ABC-type Fe(3+) transporter [7.2.2.7]",5
"RXN-18397: (expasy) Ectoine hydrolase [3.5.4.44]","RXN-18397: (expasy) Ectoine hydrolase [3.5.4.44]",5
"RXN-13275: (expasy) 4-alpha-N-acetylgalactosaminyltransferase [2.4.1.291]","RXN-13275: (expasy) 4-alpha-N-acetylgalactosaminyltransferase [2.4.1.291]",5
"RXN-12070: (expasy) 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [3.7.1.14]","RXN-12070: (expasy) 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [3.7.1.14]",5
"MHPCHYDROL-RXN: (expasy) 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [3.7.1.14]","MHPCHYDROL-RXN: (expasy) 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [3.7.1.14]",5
"L-ARABINONOLACTONASE-RXN: (expasy) L-arabinonolactonase [3.1.1.15]","L-ARABINONOLACTONASE-RXN: (expasy) L-arabinonolactonase [3.1.1.15]",5
"D-ASPARTATE-OXIDASE-RXN: (expasy) AMBIGUOUS [1.4.3.1; 1.4.3.15]","D-ASPARTATE-OXIDASE-RXN: (expasy) AMBIGUOUS [1.4.3.1; 1.4.3.15]",5
"GLUCOSAMINE-KINASE-RXN: (expasy) Glucosamine kinase [2.7.1.8]","GLUCOSAMINE-KINASE-RXN: (expasy) Glucosamine kinase [2.7.1.8]",5
"RXN-17388: (expasy) Choloylglycine hydrolase [3.5.1.24]","RXN-17388: (expasy) Choloylglycine hydrolase [3.5.1.24]",5
"CHOLOYLGLYCINE-HYDROLASE-RXN: (expasy) Choloylglycine hydrolase [3.5.1.24]","CHOLOYLGLYCINE-HYDROLASE-RXN: (expasy) Choloylglycine hydrolase [3.5.1.24]",5
"RXN-16001: (expasy) 3-hydroxy acid dehydrogenase [1.1.1.381]","RXN-16001: (expasy) 3-hydroxy acid dehydrogenase [1.1.1.381]",5
"SUCROSEPHOSPHO-RXN: (expasy) Protein-N(pi)-phosphohistidine--sucrose phosphotransferase [2.7.1.211]","SUCROSEPHOSPHO-RXN: (expasy) Protein-N(pi)-phosphohistidine--sucrose phosphotransferase [2.7.1.211]",5
"RXN1G-186: (expasy) Mycothiol S-conjugate amidase [3.5.1.115]","RXN1G-186: (expasy) Mycothiol S-conjugate amidase [3.5.1.115]",5
"RXN0-2001: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]","RXN0-2001: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]",5
"RXN-9310: (expasy) 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [4.2.99.20]","RXN-9310: (expasy) 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [4.2.99.20]",5
"RXN-9051: (expasy) Laccase [1.10.3.2]","RXN-9051: (expasy) Laccase [1.10.3.2]",5
"RXN-9048: (expasy) Laccase [1.10.3.2]","RXN-9048: (expasy) Laccase [1.10.3.2]",5
"RXN-9031: (expasy) Trans-2,3-dihydro-3-hydroxyanthranilate isomerase [5.3.3.17]","RXN-9031: (expasy) Trans-2,3-dihydro-3-hydroxyanthranilate isomerase [5.3.3.17]",5
"RXN-21232: (expasy) Laccase [1.10.3.2]","RXN-21232: (expasy) Laccase [1.10.3.2]",5
"RXN-21231: (expasy) Laccase [1.10.3.2]","RXN-21231: (expasy) Laccase [1.10.3.2]",5
"RXN-21214: (expasy) Mycothiol S-conjugate amidase [3.5.1.115]","RXN-21214: (expasy) Mycothiol S-conjugate amidase [3.5.1.115]",5
"RXN-17944: (expasy) Laccase [1.10.3.2]","RXN-17944: (expasy) Laccase [1.10.3.2]",5
"RXN-17351: (expasy) Laccase [1.10.3.2]","RXN-17351: (expasy) Laccase [1.10.3.2]",5
"RXN-16312: (expasy) Laccase [1.10.3.2]","RXN-16312: (expasy) Laccase [1.10.3.2]",5
"RXN-15154: (expasy) Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase [2.7.1.202]","RXN-15154: (expasy) Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase [2.7.1.202]",5
"RXN-14640: (expasy) Mycothiol S-conjugate amidase [3.5.1.115]","RXN-14640: (expasy) Mycothiol S-conjugate amidase [3.5.1.115]",5
"RXN-13680: (expasy) Aspartoacylase [3.5.1.15]","RXN-13680: (expasy) Aspartoacylase [3.5.1.15]",5
"RXN-13274: (expasy) acetylgalactosaminyltransferase [2.4.1.290]","RXN-13274: (expasy) acetylgalactosaminyltransferase [2.4.1.290]",5
"RXN-13088: (expasy) Pseudooxynicotine oxidase [1.4.3.24]","RXN-13088: (expasy) Pseudooxynicotine oxidase [1.4.3.24]",5
"RXN-12367: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]","RXN-12367: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]",5
"RXN-12366: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]","RXN-12366: (expasy) Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase [2.4.2.43]",5
"OXALATE-DECARBOXYLASE-RXN: (expasy) Oxalate decarboxylase [4.1.1.2]","OXALATE-DECARBOXYLASE-RXN: (expasy) Oxalate decarboxylase [4.1.1.2]",5
"LACCASE-RXN: (expasy) Laccase [1.10.3.2]","LACCASE-RXN: (expasy) Laccase [1.10.3.2]",5
"ASPARTOACYLASE-RXN: (expasy) Aspartoacylase [3.5.1.15]","ASPARTOACYLASE-RXN: (expasy) Aspartoacylase [3.5.1.15]",5
"3.1.2.23-RXN: (expasy) 4-hydroxybenzoyl-CoA thioesterase [3.1.2.23]","3.1.2.23-RXN: (expasy) 4-hydroxybenzoyl-CoA thioesterase [3.1.2.23]",5
"3.5.1.86-RXN: (expasy) Mandelamide amidase [3.5.1.86]","3.5.1.86-RXN: (expasy) Mandelamide amidase [3.5.1.86]",5
"MALEYLPYRUVATE-ISOMERASE-RXN: (expasy) Maleylpyruvate isomerase [5.2.1.4]","MALEYLPYRUVATE-ISOMERASE-RXN: (expasy) Maleylpyruvate isomerase [5.2.1.4]",5
"PSEUDOURIDINE-KINASE-RXN: (expasy) Pseudouridine kinase [2.7.1.83]","PSEUDOURIDINE-KINASE-RXN: (expasy) Pseudouridine kinase [2.7.1.83]",5
"2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133]","2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133]",5
"RXN0-5189: (expasy) DNA-3-methyladenine glycosylase I [3.2.2.20]","RXN0-5189: (expasy) DNA-3-methyladenine glycosylase I [3.2.2.20]",5
"GLUCONOLACT-RXN: (expasy) Gluconolactonase [3.1.1.17]","GLUCONOLACT-RXN: (expasy) Gluconolactonase [3.1.1.17]",5
"RXN-8783: (expasy) Gluconolactonase [3.1.1.17]","RXN-8783: (expasy) Gluconolactonase [3.1.1.17]",5
"APYRASE-RXN: (expasy) Apyrase [3.6.1.5]","APYRASE-RXN: (expasy) Apyrase [3.6.1.5]",5
"RXN-6701: (expasy) Glutathione amide-dependent peroxidase [1.11.1.17]","RXN-6701: (expasy) Glutathione amide-dependent peroxidase [1.11.1.17]",5
"ERYTH4PDEHYDROG-RXN: (expasy) Erythrose-4-phosphate dehydrogenase [1.2.1.72]","ERYTH4PDEHYDROG-RXN: (expasy) Erythrose-4-phosphate dehydrogenase [1.2.1.72]",5
"RXN-13028: (expasy) Starch synthase (maltosyl-transferring) [2.4.99.16]","RXN-13028: (expasy) Starch synthase (maltosyl-transferring) [2.4.99.16]",5
"2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]","2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16]",5
"RXN-16322: (expasy) Nitronate monooxygenase [1.13.12.16]","RXN-16322: (expasy) Nitronate monooxygenase [1.13.12.16]",5
"3.5.1.82-RXN: (expasy) N-acyl-D-glutamate deacylase [3.5.1.82]","3.5.1.82-RXN: (expasy) N-acyl-D-glutamate deacylase [3.5.1.82]",5
"1.4.99.5-RXN: (expasy) Glycine dehydrogenase (cyanide-forming) [1.4.99.5]","1.4.99.5-RXN: (expasy) Glycine dehydrogenase (cyanide-forming) [1.4.99.5]",5
"L-3-CYANOALANINE-SYNTHASE-RXN: (expasy) L-3-cyanoalanine synthase [4.4.1.9]","L-3-CYANOALANINE-SYNTHASE-RXN: (expasy) L-3-cyanoalanine synthase [4.4.1.9]",5
"MANNONOXIDOREDUCT-RXN: (expasy) Fructuronate reductase [1.1.1.57]","MANNONOXIDOREDUCT-RXN: (expasy) Fructuronate reductase [1.1.1.57]",5
"RXN0-7154: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]","RXN0-7154: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]",5
"RXN-14023: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]","RXN-14023: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]",5
"RXN-12484: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]","RXN-12484: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]",5
"RXN-12299: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]","RXN-12299: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]",5
"RXN-10717: (metacyc) indole acetaldehyde reductase [1.1.1.2]","RXN-10717: (metacyc) indole acetaldehyde reductase [1.1.1.2]",5
"ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]","ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]",5
"ENZRXN-201-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]","ENZRXN-201-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]",5
"1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4]","1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4]",5
"BUTYRATE-KINASE-RXN: (expasy) AMBIGUOUS [2.7.2.14; 2.7.2.7]","BUTYRATE-KINASE-RXN: (expasy) AMBIGUOUS [2.7.2.14; 2.7.2.7]",5
"RXN-21792: (expasy) AMBIGUOUS [2.7.2.14; 2.7.2.7]","RXN-21792: (expasy) AMBIGUOUS [2.7.2.14; 2.7.2.7]",5
"TYROSINE-PHENOL-LYASE-RXN: (expasy) Tyrosine phenol-lyase [4.1.99.2]","TYROSINE-PHENOL-LYASE-RXN: (expasy) Tyrosine phenol-lyase [4.1.99.2]",5
"LTARTDEHYDRA-RXN: (expasy) L(+)-tartrate dehydratase [4.2.1.32]","LTARTDEHYDRA-RXN: (expasy) L(+)-tartrate dehydratase [4.2.1.32]",5
"RXN-7566: (expasy) Glycine reductase [1.21.4.2]","RXN-7566: (expasy) Glycine reductase [1.21.4.2]",5
"1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3]","1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3]",5
"RXN-11573: (expasy) 23S rRNA (guanine(745)-N(1))-methyltransferase [2.1.1.187]","RXN-11573: (expasy) 23S rRNA (guanine(745)-N(1))-methyltransferase [2.1.1.187]",5
"RXN-9910: (metacyc) Chlorobenzaldehyde dehydrogenase (NAD+) [1.2.1.28]","RXN-9910: (metacyc) Chlorobenzaldehyde dehydrogenase (NAD+) [1.2.1.28]",5
"RXN-8583: (expasy) Benzaldehyde dehydrogenase (NAD(+)) [1.2.1.28]","RXN-8583: (expasy) Benzaldehyde dehydrogenase (NAD(+)) [1.2.1.28]",5
"BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN: (expasy) Benzaldehyde dehydrogenase (NAD(+)) [1.2.1.28]","BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN: (expasy) Benzaldehyde dehydrogenase (NAD(+)) [1.2.1.28]",5
"RXN-8582: (expasy) Benzaldehyde dehydrogenase (NAD(+)) [1.2.1.28]","RXN-8582: (expasy) Benzaldehyde dehydrogenase (NAD(+)) [1.2.1.28]",5
"RXN0-6444: (expasy) Pyrimidine monooxygenase [1.14.99.46]","RXN0-6444: (expasy) Pyrimidine monooxygenase [1.14.99.46]",5
"RXN-9789: (expasy) Sulfur carrier protein ThiS adenylyltransferase [2.7.7.73]","RXN-9789: (expasy) Sulfur carrier protein ThiS adenylyltransferase [2.7.7.73]",5
"RXN-16947: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]","RXN-16947: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]",5
"RXN-16945: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]","RXN-16945: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]",5
"RXN-16250: (expasy) Alpha-L-rhamnosidase [3.2.1.40]","RXN-16250: (expasy) Alpha-L-rhamnosidase [3.2.1.40]",5
"RXN-16249: (expasy) Alpha-L-rhamnosidase [3.2.1.40]","RXN-16249: (expasy) Alpha-L-rhamnosidase [3.2.1.40]",5
"RXN-16248: (expasy) Alpha-L-rhamnosidase [3.2.1.40]","RXN-16248: (expasy) Alpha-L-rhamnosidase [3.2.1.40]",5
"RXN-14574: (expasy) AMBIGUOUS [3.2.1.190; 3.2.1.40]","RXN-14574: (expasy) AMBIGUOUS [3.2.1.190; 3.2.1.40]",5
"RXN-13788: (metacyc) rutin rhamnosidase [3.2.1.40]","RXN-13788: (metacyc) rutin rhamnosidase [3.2.1.40]",5
"RXN-12886: (expasy) Pyrimidine monooxygenase [1.14.99.46]","RXN-12886: (expasy) Pyrimidine monooxygenase [1.14.99.46]",5
"RXN-10856: (expasy) 7,8-dihydroneopterin epimerase [5.1.99.8]","RXN-10856: (expasy) 7,8-dihydroneopterin epimerase [5.1.99.8]",5
"RXN-10620: (expasy) Cyclic dehypoxanthinyl futalosine synthase [1.21.98.1]","RXN-10620: (expasy) Cyclic dehypoxanthinyl futalosine synthase [1.21.98.1]",5
"QUERCITRINASE-RXN: (expasy) AMBIGUOUS [3.2.1.40; 3.2.1.66]","QUERCITRINASE-RXN: (expasy) AMBIGUOUS [3.2.1.40; 3.2.1.66]",5
"NADH-PEROXIDASE-RXN: (expasy) NADH peroxidase [1.11.1.1]","NADH-PEROXIDASE-RXN: (expasy) NADH peroxidase [1.11.1.1]",5
"3.2.1.40-RXN: (expasy) Alpha-L-rhamnosidase [3.2.1.40]","3.2.1.40-RXN: (expasy) Alpha-L-rhamnosidase [3.2.1.40]",5
"GENTISATE-12-DIOXYGENASE-RXN: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]","GENTISATE-12-DIOXYGENASE-RXN: (expasy) Gentisate 1,2-dioxygenase [1.13.11.4]",5
"RXN-8269: (expasy) Sulfhydrogenase [1.12.98.4]","RXN-8269: (expasy) Sulfhydrogenase [1.12.98.4]",5
"RXN-19629: (expasy) Protein-disulfide reductase (glutathione) [1.8.4.2]","RXN-19629: (expasy) Protein-disulfide reductase (glutathione) [1.8.4.2]",5
"RXN-1302: (expasy) (S)-1-phenylethanol dehydrogenase [1.1.1.311]","RXN-1302: (expasy) (S)-1-phenylethanol dehydrogenase [1.1.1.311]",5
"H2SOXIREDPYRO-RXN: (expasy) Sulfhydrogenase [1.12.98.4]","H2SOXIREDPYRO-RXN: (expasy) Sulfhydrogenase [1.12.98.4]",5
"PRODISULFREDUCT-RXN: (expasy) Protein-disulfide reductase (glutathione) [1.8.4.2]","PRODISULFREDUCT-RXN: (expasy) Protein-disulfide reductase (glutathione) [1.8.4.2]",5
"RXN-16950: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]","RXN-16950: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]",5
"3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]","3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]",5
"RXN-16949: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]","RXN-16949: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24]",5
"RXN-10445: (expasy) 3-fumarylpyruvate hydrolase [3.7.1.20]","RXN-10445: (expasy) 3-fumarylpyruvate hydrolase [3.7.1.20]",5
"TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN: (expasy) All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) [2.5.1.84]","TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN: (expasy) All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) [2.5.1.84]",5
"RXN-8771: (expasy) Aerobic 5,6-dimethylbenzimidazole synthase [1.13.11.79]","RXN-8771: (expasy) Aerobic 5,6-dimethylbenzimidazole synthase [1.13.11.79]",5
"RXN0-6373: (expasy) Quinoprotein glucose dehydrogenase (PQQ, quinone) [1.1.5.2]","RXN0-6373: (expasy) Quinoprotein glucose dehydrogenase (PQQ, quinone) [1.1.5.2]",5
"ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]","ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]",5
"ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]","ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]",5
"RXN-11951: (metacyc) SoxXA [2.8.5.2]","RXN-11951: (metacyc) SoxXA [2.8.5.2]",5
"RXN-18796: (expasy) L-cysteine S-thiosulfotransferase [2.8.5.2]","RXN-18796: (expasy) L-cysteine S-thiosulfotransferase [2.8.5.2]",5
"FORMAMIDASE-RXN: (expasy) Formamidase [3.5.1.49]","FORMAMIDASE-RXN: (expasy) Formamidase [3.5.1.49]",5
"RXNN-404: (expasy) Amidase [3.5.1.4]","RXNN-404: (expasy) Amidase [3.5.1.4]",5
"RXN-17608: (expasy) Amidase [3.5.1.4]","RXN-17608: (expasy) Amidase [3.5.1.4]",5
"RXN-14728: (expasy) Amidase [3.5.1.4]","RXN-14728: (expasy) Amidase [3.5.1.4]",5
"RXN-14727: (expasy) Amidase [3.5.1.4]","RXN-14727: (expasy) Amidase [3.5.1.4]",5
"R311-RXN: (metacyc) Acrylamidase [3.5.1.4]","R311-RXN: (metacyc) Acrylamidase [3.5.1.4]",5
"PYRAZIN-RXN: (expasy) Amidase [3.5.1.4]","PYRAZIN-RXN: (expasy) Amidase [3.5.1.4]",5
"AMIDASE-RXN: (expasy) Amidase [3.5.1.4]","AMIDASE-RXN: (expasy) Amidase [3.5.1.4]",5
"GUANIDINOBUTANAMIDE-NH3-RXN: (expasy) Amidase [3.5.1.4]","GUANIDINOBUTANAMIDE-NH3-RXN: (expasy) Amidase [3.5.1.4]",5
"RXN0-1241: (expasy) Ribosomal protein L3 N(5)-glutamine methyltransferase [2.1.1.298]","RXN0-1241: (expasy) Ribosomal protein L3 N(5)-glutamine methyltransferase [2.1.1.298]",5
"3.4.17.11-RXN: (expasy) Glutamate carboxypeptidase [3.4.17.11]","3.4.17.11-RXN: (expasy) Glutamate carboxypeptidase [3.4.17.11]",5
"RXN-21088: (expasy) 2-phospho-L-lactate guanylyltransferase [2.7.7.68]","RXN-21088: (expasy) 2-phospho-L-lactate guanylyltransferase [2.7.7.68]",5
"DEHYDDEOXPHOSGALACT-ALDOL-RXN: (expasy) AMBIGUOUS [4.1.2.21; 4.1.2.55]","DEHYDDEOXPHOSGALACT-ALDOL-RXN: (expasy) AMBIGUOUS [4.1.2.21; 4.1.2.55]",5
"5-METHYLTHIORIBOSE-KINASE-RXN: (expasy) S-methyl-5-thioribose kinase [2.7.1.100]","5-METHYLTHIORIBOSE-KINASE-RXN: (expasy) S-methyl-5-thioribose kinase [2.7.1.100]",5
"RXN-21317: (expasy) S-methyl-5-thioribose kinase [2.7.1.100]","RXN-21317: (expasy) S-methyl-5-thioribose kinase [2.7.1.100]",5
"6.4.1.6-RXN: (expasy) Acetone carboxylase [6.4.1.6]","6.4.1.6-RXN: (expasy) Acetone carboxylase [6.4.1.6]",5
"RXN-17566: (expasy) Acetone carboxylase [6.4.1.6]","RXN-17566: (expasy) Acetone carboxylase [6.4.1.6]",5
"PROTOCATECHUATE-34-DIOXYGENASE-RXN: (expasy) Protocatechuate 3,4-dioxygenase [1.13.11.3]","PROTOCATECHUATE-34-DIOXYGENASE-RXN: (expasy) Protocatechuate 3,4-dioxygenase [1.13.11.3]",5
"RXN-9731: (expasy) Protocatechuate 3,4-dioxygenase [1.13.11.3]","RXN-9731: (expasy) Protocatechuate 3,4-dioxygenase [1.13.11.3]",5
"GLUCONATE-5-DEHYDROGENASE-RXN: (expasy) Gluconate 5-dehydrogenase [1.1.1.69]","GLUCONATE-5-DEHYDROGENASE-RXN: (expasy) Gluconate 5-dehydrogenase [1.1.1.69]",5
"TARTRATE-DECARBOXYLASE-RXN: (expasy) Tartrate decarboxylase [4.1.1.73]","TARTRATE-DECARBOXYLASE-RXN: (expasy) Tartrate decarboxylase [4.1.1.73]",5
"OHMETPYRKIN-RXN: (expasy) Hydroxymethylpyrimidine kinase [2.7.1.49]","OHMETPYRKIN-RXN: (expasy) Hydroxymethylpyrimidine kinase [2.7.1.49]",5
