"","Item","Cluster"
"UDP-NACMUR-ALA-LIG-RXN: (expasy) UDP-N-acetylmuramate--L-alanine ligase [6.3.2.8]","UDP-NACMUR-ALA-LIG-RXN: (expasy) UDP-N-acetylmuramate--L-alanine ligase [6.3.2.8]",1
"RXN0-949: (expasy) Lipoyl synthase [2.8.1.8]","RXN0-949: (expasy) Lipoyl synthase [2.8.1.8]",1
"RXN-14959: (expasy) Lipoyl synthase [2.8.1.8]","RXN-14959: (expasy) Lipoyl synthase [2.8.1.8]",1
"RXN-14950: (expasy) Lipoyl synthase [2.8.1.8]","RXN-14950: (expasy) Lipoyl synthase [2.8.1.8]",1
"RXN-14957: (expasy) Lipoyl synthase [2.8.1.8]","RXN-14957: (expasy) Lipoyl synthase [2.8.1.8]",1
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]","3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]",1
"RXN-15635: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]","RXN-15635: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]",1
"FGAMSYN-RXN: (expasy) Phosphoribosylformylglycinamidine synthase [6.3.5.3]","FGAMSYN-RXN: (expasy) Phosphoribosylformylglycinamidine synthase [6.3.5.3]",1
"LUMAZINESYN-RXN: (expasy) 6,7-dimethyl-8-ribityllumazine synthase [2.5.1.78]","LUMAZINESYN-RXN: (expasy) 6,7-dimethyl-8-ribityllumazine synthase [2.5.1.78]",1
"2.3.1.157-RXN: (expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157]","2.3.1.157-RXN: (expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157]",1
"GLUTAMATE-DEHYDROGENASE-RXN: (expasy) Glutamate dehydrogenase [1.4.1.2]","GLUTAMATE-DEHYDROGENASE-RXN: (expasy) Glutamate dehydrogenase [1.4.1.2]",1
"SUCCDIAMINOPIMDESUCC-RXN: (expasy) Succinyl-diaminopimelate desuccinylase [3.5.1.18]","SUCCDIAMINOPIMDESUCC-RXN: (expasy) Succinyl-diaminopimelate desuccinylase [3.5.1.18]",1
"RXN0-2441: (expasy) Trans-aconitate 2-methyltransferase [2.1.1.144]","RXN0-2441: (expasy) Trans-aconitate 2-methyltransferase [2.1.1.144]",1
"RXN0-4342: (expasy) D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [2.7.7.70]","RXN0-4342: (expasy) D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [2.7.7.70]",1
"PHOSPHAGLYPSYN-RXN: (expasy) CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase [2.7.8.5]","PHOSPHAGLYPSYN-RXN: (expasy) CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase [2.7.8.5]",1
"RXN-14063: (expasy) Adenosylcobinamide kinase [2.7.1.156]","RXN-14063: (expasy) Adenosylcobinamide kinase [2.7.1.156]",1
"2.7.1.156-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156]","2.7.1.156-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156]",1
"COBINAMIDEKIN-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156]","COBINAMIDEKIN-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156]",1
"3.4.21.89-RXN: (expasy) Signal peptidase I [3.4.21.89]","3.4.21.89-RXN: (expasy) Signal peptidase I [3.4.21.89]",1
"ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]","ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]",1
"TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN: (expasy) tRNA (guanine(46)-N(7))-methyltransferase [2.1.1.33]","TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN: (expasy) tRNA (guanine(46)-N(7))-methyltransferase [2.1.1.33]",1
"MANNPISOM-RXN: (expasy) Mannose-6-phosphate isomerase [5.3.1.8]","MANNPISOM-RXN: (expasy) Mannose-6-phosphate isomerase [5.3.1.8]",1
"RXN0-4621: (expasy) Anhydro-N-acetylmuramic acid kinase [2.7.1.170]","RXN0-4621: (expasy) Anhydro-N-acetylmuramic acid kinase [2.7.1.170]",1
"RXN-16650: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]","RXN-16650: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]",1
"RXN-15521: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]","RXN-15521: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]",1
"RXN-14712: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]","RXN-14712: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]",1
"RXN-11350: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]","RXN-11350: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]",1
"RXN-11348: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]","RXN-11348: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]",1
"2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]","2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]",1
"RXN-11291: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]","RXN-11291: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]",1
"3.4.11.10-RXN: (expasy) Bacterial leucyl aminopeptidase [3.4.11.10]","3.4.11.10-RXN: (expasy) Bacterial leucyl aminopeptidase [3.4.11.10]",1
"RXN-11637: (expasy) 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [2.1.1.198]","RXN-11637: (expasy) 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [2.1.1.198]",1
"RXN-8769: (expasy) Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing) [6.3.5.11]","RXN-8769: (expasy) Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing) [6.3.5.11]",1
"PABASYN-RXN: (expasy) Aminodeoxychorismate synthase [2.6.1.85]","PABASYN-RXN: (expasy) Aminodeoxychorismate synthase [2.6.1.85]",1
"NAD-KIN-RXN: (expasy) NAD(+) kinase [2.7.1.23]","NAD-KIN-RXN: (expasy) NAD(+) kinase [2.7.1.23]",1
"RXN-12456: (expasy) tRNA-dihydrouridine(20) synthase (NAD(P)(+)) [1.3.1.91]","RXN-12456: (expasy) tRNA-dihydrouridine(20) synthase (NAD(P)(+)) [1.3.1.91]",1
"RXN1F-20: (expasy) Magnesium chelatase [6.6.1.1]","RXN1F-20: (expasy) Magnesium chelatase [6.6.1.1]",1
"5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN: (expasy) S-methyl-5'-thioadenosine phosphorylase [2.4.2.28]","5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN: (expasy) S-methyl-5'-thioadenosine phosphorylase [2.4.2.28]",1
"RXN-14304: (expasy) S-methyl-5'-thioadenosine phosphorylase [2.4.2.28]","RXN-14304: (expasy) S-methyl-5'-thioadenosine phosphorylase [2.4.2.28]",1
"RXN-13191: (expasy) Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [1.14.13.81]","RXN-13191: (expasy) Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [1.14.13.81]",1
"ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]","ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]",1
"GLU6PDEHYDROG-RXN: (expasy) Glucose-6-phosphate dehydrogenase (NADP(+)) [1.1.1.49]","GLU6PDEHYDROG-RXN: (expasy) Glucose-6-phosphate dehydrogenase (NADP(+)) [1.1.1.49]",1
"HOMOSERKIN-RXN: (expasy) Homoserine kinase [2.7.1.39]","HOMOSERKIN-RXN: (expasy) Homoserine kinase [2.7.1.39]",1
"6.1.1.23-RXN: (expasy) Aspartate--tRNA(Asn) ligase [6.1.1.23]","6.1.1.23-RXN: (expasy) Aspartate--tRNA(Asn) ligase [6.1.1.23]",1
"RXN490-3616: (metacyc) Aspartate--tRNA ligase [6.1.1.23]","RXN490-3616: (metacyc) Aspartate--tRNA ligase [6.1.1.23]",1
"RXN0-5063: (expasy) tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase [2.8.4.3]","RXN0-5063: (expasy) tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase [2.8.4.3]",1
"ARGSUCCINLYA-RXN: (expasy) Argininosuccinate lyase [4.3.2.1]","ARGSUCCINLYA-RXN: (expasy) Argininosuccinate lyase [4.3.2.1]",1
"RXN-22: (expasy) Argininosuccinate lyase [4.3.2.1]","RXN-22: (expasy) Argininosuccinate lyase [4.3.2.1]",1
"RIB5PISOM-RXN: (expasy) Ribose-5-phosphate isomerase [5.3.1.6]","RIB5PISOM-RXN: (expasy) Ribose-5-phosphate isomerase [5.3.1.6]",1
"F16BDEPHOS-RXN: (expasy) Fructose-bisphosphatase [3.1.3.11]","F16BDEPHOS-RXN: (expasy) Fructose-bisphosphatase [3.1.3.11]",1
"RXN0-1602: (expasy) XTP/dITP diphosphatase [3.6.1.66]","RXN0-1602: (expasy) XTP/dITP diphosphatase [3.6.1.66]",1
"RXN0-1603: (expasy) XTP/dITP diphosphatase [3.6.1.66]","RXN0-1603: (expasy) XTP/dITP diphosphatase [3.6.1.66]",1
"2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151]","2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151]",1
"RXN-8760: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151]","RXN-8760: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151]",1
"CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN: (expasy) Caffeoyl-CoA O-methyltransferase [2.1.1.104]","CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN: (expasy) Caffeoyl-CoA O-methyltransferase [2.1.1.104]",1
"RXN-21514: (expasy) Caffeoyl-CoA O-methyltransferase [2.1.1.104]","RXN-21514: (expasy) Caffeoyl-CoA O-methyltransferase [2.1.1.104]",1
"2.1.1.130-RXN: (expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130]","2.1.1.130-RXN: (expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130]",1
"RXN0-6734: (expasy) Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase [4.7.1.1]","RXN0-6734: (expasy) Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase [4.7.1.1]",1
"RXN-17956: (expasy) Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase [4.7.1.1]","RXN-17956: (expasy) Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase [4.7.1.1]",1
"RXN-17959: (expasy) Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase [4.7.1.1]","RXN-17959: (expasy) Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase [4.7.1.1]",1
"3.1.26.11-RXN: (expasy) Ribonuclease Z [3.1.26.11]","3.1.26.11-RXN: (expasy) Ribonuclease Z [3.1.26.11]",1
"GLUTAMATE-N-ACETYLTRANSFERASE-RXN: (expasy) Glutamate N-acetyltransferase [2.3.1.35]","GLUTAMATE-N-ACETYLTRANSFERASE-RXN: (expasy) Glutamate N-acetyltransferase [2.3.1.35]",1
"PGLYCDEHYDROG-RXN: (expasy) Phosphoglycerate dehydrogenase [1.1.1.95]","PGLYCDEHYDROG-RXN: (expasy) Phosphoglycerate dehydrogenase [1.1.1.95]",1
"RXN0-5226: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]","RXN0-5226: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]",1
"RXN-21432: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]","RXN-21432: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]",1
"RXN-18082: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]","RXN-18082: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]",1
"RXN-12626: (metacyc) chitotriose &beta;-N-acetylglucosaminidase [3.2.1.52]","RXN-12626: (metacyc) chitotriose &beta;-N-acetylglucosaminidase [3.2.1.52]",1
"3.2.1.52-RXN: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]","3.2.1.52-RXN: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]",1
"RXN-12625: (metacyc) N,N'-diacetylchitobiose &beta;-N-acetylglucosaminidase [3.2.1.52]","RXN-12625: (metacyc) N,N'-diacetylchitobiose &beta;-N-acetylglucosaminidase [3.2.1.52]",1
"GLUC1PADENYLTRANS-RXN: (expasy) Glucose-1-phosphate adenylyltransferase [2.7.7.27]","GLUC1PADENYLTRANS-RXN: (expasy) Glucose-1-phosphate adenylyltransferase [2.7.7.27]",1
"RXN-9591: (expasy) Acyl phosphate:glycerol-3-phosphate acyltransferase [2.3.1.275]","RXN-9591: (expasy) Acyl phosphate:glycerol-3-phosphate acyltransferase [2.3.1.275]",1
"NAPHTHOATE-SYN-RXN: (expasy) 1,4-dihydroxy-2-naphthoyl-CoA synthase [4.1.3.36]","NAPHTHOATE-SYN-RXN: (expasy) 1,4-dihydroxy-2-naphthoyl-CoA synthase [4.1.3.36]",1
"3.4.21.102-RXN: (expasy) C-terminal processing peptidase [3.4.21.102]","3.4.21.102-RXN: (expasy) C-terminal processing peptidase [3.4.21.102]",1
"RXN-18694: (expasy) Molybdopterin synthase [2.8.1.12]","RXN-18694: (expasy) Molybdopterin synthase [2.8.1.12]",1
"RXN-8342: (expasy) Molybdopterin synthase [2.8.1.12]","RXN-8342: (expasy) Molybdopterin synthase [2.8.1.12]",1
"RXN0-3241: (expasy) Beta-aspartyl-peptidase [3.4.19.5]","RXN0-3241: (expasy) Beta-aspartyl-peptidase [3.4.19.5]",1
"3.4.19.5-RXN: (expasy) Beta-aspartyl-peptidase [3.4.19.5]","3.4.19.5-RXN: (expasy) Beta-aspartyl-peptidase [3.4.19.5]",1
"RXN-21711: (expasy) Beta-aspartyl-peptidase [3.4.19.5]","RXN-21711: (expasy) Beta-aspartyl-peptidase [3.4.19.5]",1
"UDP-NACMURALA-GLU-LIG-RXN: (expasy) UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [6.3.2.9]","UDP-NACMURALA-GLU-LIG-RXN: (expasy) UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [6.3.2.9]",1
"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN0-6705: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN0-6705: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN0-5514: (metacyc) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN0-5514: (metacyc) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-20565: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-20565: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-20528: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-20528: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-20512: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-20512: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17729: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17729: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17024: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17024: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17023: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17023: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17022: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17022: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17021: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17021: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17020: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17020: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17019: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17019: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17015: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17015: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
