"","x"
"1","1.1.1.261-RXN: (expasy) sn-glycerol-1-phosphate dehydrogenase [1.1.1.261]"
"2","1.1.1.264-RXN: (expasy) L-idonate 5-dehydrogenase (NAD(P)(+)) [1.1.1.264]"
"3","1.1.1.8-RXN: (expasy) Glycerol-3-phosphate dehydrogenase (NAD(+)) [1.1.1.8]"
"4","1.10.2.2-RXN: (expasy) Quinol--cytochrome-c reductase [7.1.1.8]"
"5","1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]"
"6","1.2.1.45-RXN: (expasy) 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [1.1.1.312]"
"7","1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]"
"8","1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1]"
"9","1.5.1.28-RXN: (expasy) Opine dehydrogenase [1.5.1.28]"
"10","1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1]"
"11","1.5.8.2-RXN: (expasy) Trimethylamine dehydrogenase [1.5.8.2]"
"12","1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]"
"13","1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]"
"14","1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]"
"15","2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]"
"16","2.1.1.100-RXN: (expasy) Protein-S-isoprenylcysteine O-methyltransferase [2.1.1.100]"
"17","2.1.1.113-RXN: (expasy) Site-specific DNA-methyltransferase (cytosine-N(4)-specific) [2.1.1.113]"
"18","2.1.1.131-RXN: (expasy) Precorrin-3B C(17)-methyltransferase [2.1.1.131]"
"19","2.1.1.38-RXN: (expasy) O-demethylpuromycin O-methyltransferase [2.1.1.38]"
"20","2.1.1.64-RXN: (expasy) 3-demethylubiquinol 3-O-methyltransferase [2.1.1.64]"
"21","2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72]"
"22","2.3.1.180-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180]"
"23","2.3.1.41-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase I [2.3.1.41]"
"24","2.4.1.141-RXN: (expasy) N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase [2.4.1.141]"
"25","2.6.1.50-RXN: (expasy) Glutamine--scyllo-inositol transaminase [2.6.1.50]"
"26","2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8]"
"27","2OXOGLUTDECARB-RXN: (expasy) Oxoglutarate dehydrogenase (succinyl-transferring) [1.2.4.2]"
"28","2TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]"
"29","3-DEHYDROQUINATE-DEHYDRATASE-RXN: (expasy) 3-dehydroquinate dehydratase [4.2.1.10]"
