"","x"
"1","1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]"
"2","1.1.1.64-RXN: (expasy) Testosterone 17-beta-dehydrogenase (NADP(+)) [1.1.1.64]"
"3","1.14.19.3-RXN: (expasy) Acyl-CoA 6-desaturase [1.14.19.3]"
"4","1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]"
"5","1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3]"
"6","1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5]"
"7","1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]"
"8","1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]"
"9","1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]"
"10","2.1.1.130-RXN: (expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130]"
"11","2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151]"
"12","2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34]"
"13","2.1.1.74-RXN: (expasy) (NAD(P)H-oxidizing) [2.1.1.74]"
"14","2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266]"
"15","2.3.1.157-RXN: (expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157]"
"16","2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]"
"17","2.4.1.213-RXN: (expasy) Glucosylglycerol-phosphate synthase [2.4.1.213]"
"18","2.5.1.64-RXN: (expasy) synthase [2.2.1.9]"
"19","2.7.1.148-RXN: (expasy) 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148]"
"20","2.7.1.156-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156]"
"21","2.7.7.13-RXN: (expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13]"
