"","x"
"60","2.1.1.63-RXN: (expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63]"
"61","2.1.1.77-RXN: (expasy) Protein-L-isoaspartate(D-aspartate) O-methyltransferase [2.1.1.77]"
"62","2.1.1.79-RXN: (expasy) Cyclopropane-fatty-acyl-phospholipid synthase [2.1.1.79]"
"63","2.1.3.1-RXN: (expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1]"
"64","2.1.3.9-RXN: (expasy) N-acetylornithine carbamoyltransferase [2.1.3.9]"
"65","2.3.1.101-RXN: (expasy) Formylmethanofuran--tetrahydromethanopterin N-formyltransferase [2.3.1.101]"
"66","2.3.1.168-RXN: (expasy) Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase [2.3.1.168]"
"67","2.3.1.179-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179]"
"68","2.3.1.184-RXN: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]"
"69","2.3.1.89-RXN: (expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89]"
"70","2.3.2.13-RXN: (expasy) Protein-glutamine gamma-glutamyltransferase [2.3.2.13]"
"71","2.4.1.117-RXN: (expasy) Dolichyl-phosphate beta-glucosyltransferase [2.4.1.117]"
"72","2.4.1.135-RXN: (expasy) Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase [2.4.1.135]"
"73","2.4.1.211-RXN: (expasy) 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [2.4.1.211]"
"74","2.4.1.214-RXN: (expasy) Glycoprotein 3-alpha-L-fucosyltransferase [2.4.1.214]"
"75","2.4.1.230-RXN: (expasy) Kojibiose phosphorylase [2.4.1.230]"
"76","2.4.1.32-RXN: (expasy) Glucomannan 4-beta-mannosyltransferase [2.4.1.32]"
"77","2.4.1.41-RXN: (expasy) Polypeptide N-acetylgalactosaminyltransferase [2.4.1.41]"
"78","2.4.1.54-RXN: (expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54]"
"79","2.4.1.83-RXN: (expasy) Dolichyl-phosphate beta-D-mannosyltransferase [2.4.1.83]"
"80","2.5.1.19-RXN: (expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19]"
"81","2.5.1.39-RXN: (expasy) 4-hydroxybenzoate polyprenyltransferase [2.5.1.39]"
"82","2.5.1.41-RXN: (expasy) Phosphoglycerol geranylgeranyltransferase [2.5.1.41]"
"83","2.5.1.44-RXN: (expasy) Homospermidine synthase [2.5.1.44]"
"84","2.5.1.65-RXN: (expasy) O-phosphoserine sulfhydrylase [2.5.1.65]"
"85","2.6.1.18-RXN: (expasy) Beta-alanine--pyruvate transaminase [2.6.1.18]"
"86","2.6.1.37-RXN: (metacyc) phosphonoacetaldehyde transaminase [2.6.1.37]"
"87","2.6.1.57-RXN: (expasy) Aromatic-amino-acid transaminase [2.6.1.57]"
"88","2.6.1.82-RXN: (expasy) Putrescine--2-oxoglutarate transaminase [2.6.1.82]"
"89","2.7.1.121-RXN: (expasy) Phosphoenolpyruvate--glycerone phosphotransferase [2.7.1.121]"
"90","2.7.1.63-RXN: (expasy) Polyphosphate--glucose phosphotransferase [2.7.1.63]"
"91","2.7.1.90-RXN: (expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90]"
"92","2.7.10.1-RXN: (expasy) AMBIGUOUS [2.7.10.1; 2.7.10.2; 2.7.12.1]"
"93","2.7.11.2-RXN: (expasy) [Pyruvate dehydrogenase (acetyl-transferring)] kinase [2.7.11.2]"
"94","2.7.13.3-RXN: (expasy) Histidine kinase [2.7.13.3]"
"95","2.7.3.9-RXN: (expasy) Phosphoenolpyruvate--protein phosphotransferase [2.7.3.9]"
"96","2.7.7.1-RXN: (expasy) Nicotinamide-nucleotide adenylyltransferase [2.7.7.1]"
"97","2.7.7.33-RXN: (expasy) Glucose-1-phosphate cytidylyltransferase [2.7.7.33]"
"98","2.7.8.11-RXN: (expasy) CDP-diacylglycerol--inositol 3-phosphatidyltransferase [2.7.8.11]"
"99","2.7.8.23-RXN: (expasy) Carboxyvinyl-carboxyphosphonate phosphorylmutase [2.7.8.23]"
"100","2.7.8.24-RXN: (expasy) Phosphatidylcholine synthase [2.7.8.24]"
"101","2.7.8.6-RXN: (expasy) Undecaprenyl-phosphate galactose phosphotransferase [2.7.8.6]"
"102","2.8.3.10-RXN: (expasy) Citrate CoA-transferase [2.8.3.10]"
"103","2.8.3.17-RXN: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17]"
"104","2.8.3.7-RXN: (expasy) Succinyl-CoA--L-malate CoA-transferase [2.8.3.22]"
