"","x"
"48","PYRROLINECARBREDUCT-RXN: (expasy) Pyrroline-5-carboxylate reductase [1.5.1.2]"
"49","RIBOFLAVINKIN-RXN: (expasy) Riboflavin kinase [2.7.1.26]"
"50","RIBOSYLHOMOCYSTEINASE-RXN: (expasy) S-ribosylhomocysteine lyase [4.4.1.21]"
"51","RXN-10035: (expasy) S-methyl-5'-thioadenosine deaminase [3.5.4.31]"
"52","RXN-10086: (expasy) 3-oxoadipyl-CoA thiolase [2.3.1.174]"
"53","RXN-11029: (expasy) acetylglucosaminyltransferase [2.4.1.227]"
"54","RXN-11346: (expasy) acetylglucosaminyltransferase [2.4.1.227]"
"55","RXN-11396: (expasy) 8-oxo-dGTP diphosphatase [3.6.1.55]"
"56","RXN-12160: (metacyc) 2-polyprenyl-6-hydroxyphenyl methylase [2.1.1.222]"
"57","RXN-12345: (expasy) Chorismate dehydratase [4.2.1.151]"
"58","RXN-12639: (metacyc) ethanol&mdash;long-chain acyl CoA acyltransferase [2.3.1.75]"
"59","RXN-13907: (expasy) Phenylalanine 4-monooxygenase [1.14.16.1]"
"60","RXN-14918: (expasy) Tocopherol C-methyltransferase [2.1.1.95]"
"61","RXN-14919: (expasy) Tocopherol C-methyltransferase [2.1.1.95]"
"62","RXN-14992: (expasy) Peptide chain release factor N(5)-glutamine methyltransferase [2.1.1.297]"
"63","RXN-15041: (expasy) D-aminoacyl-tRNA deacylase [3.1.1.96]"
"64","RXN-15264: (expasy) Aminodeoxyfutalosine synthase [2.5.1.120]"
"65","RXN-15682: (expasy) Membrane dipeptidase [3.4.13.19]"
"66","RXN-15733: (expasy) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [2.7.6.3]"
"67","RXN-17523: (expasy) Heme oxygenase (biliverdin-producing, ferredoxin) [1.14.15.20]"
"68","RXN-18510: (expasy) Riboflavin kinase [2.7.1.26]"
"69","RXN-18511: (expasy) FAD synthase [2.7.7.2]"
"70","RXN-19726: (expasy) D-aminoacyl-tRNA deacylase [3.1.1.96]"
"71","RXN-19727: (expasy) D-aminoacyl-tRNA deacylase [3.1.1.96]"
"72","RXN-19728: (expasy) D-aminoacyl-tRNA deacylase [3.1.1.96]"
"73","RXN-19729: (expasy) D-aminoacyl-tRNA deacylase [3.1.1.96]"
"74","RXN-21350: (expasy) Deoxyribonuclease V [3.1.21.7]"
"75","RXN-2562: (expasy) Tocopherol C-methyltransferase [2.1.1.95]"
"76","RXN-3641: (expasy) 3-oxoadipyl-CoA thiolase [2.3.1.174]"
"77","RXN-7737: (expasy) LL-diaminopimelate aminotransferase [2.6.1.83]"
"78","RXN-7743: (expasy) (R)-citramalate synthase [2.3.1.182]"
"79","RXN-7774: (expasy) 2-oxoglutarate decarboxylase [4.1.1.71]"
"80","RXN-8976: (expasy) acetylglucosaminyltransferase [2.4.1.227]"
"81","RXN-9225: (expasy) 2-polyprenyl-6-hydroxyphenol methylase [2.1.1.222]"
"82","RXN-9233: (expasy) 2-polyprenyl-6-hydroxyphenol methylase [2.1.1.222]"
"83","RXN-9240: (expasy) 2-polyprenyl-6-hydroxyphenol methylase [2.1.1.222]"
"84","RXN-9356: (metacyc) 1-dodecanol-O-arachinoyltransferase [2.3.1.75]"
"85","RXN0-1441: (expasy) AMBIGUOUS [3.6.1.13; 3.6.1.53]"
"86","RXN0-4181: (expasy) Cyclic-guanylate-specific phosphodiesterase [3.1.4.52]"
"87","RXN0-5114: (expasy) Phosphoserine phosphatase [3.1.3.3]"
"88","RXN0-6366: (expasy) [Ribosomal protein S12] (aspartate(89)-C(3))-methylthiotransferase [2.8.4.4]"
"89","RXN0-6480: (expasy) Ribonuclease P [3.1.26.5]"
"90","RXN0-7229: (expasy) Glycolate dehydrogenase [1.1.99.14]"
"91","RXN0-743: (expasy) 5-(carboxyamino)imidazole ribonucleotide mutase [5.4.99.18]"
"92","RXN0-882: (expasy) (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin) [1.17.7.1]"
"93","RXN66-337: (metacyc) LTD4 dipeptidase [3.4.13.19]"
"94","RXN66-546: (expasy) Pyrroline-5-carboxylate reductase [1.5.1.2]"
"95","RXN66-569: (expasy) Phenylalanine 4-monooxygenase [1.14.16.1]"
"96","RXNQT-4193: (expasy) Long-chain-alcohol O-fatty-acyltransferase [2.3.1.75]"
"97","S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN: (expasy) S-adenosylhomocysteine deaminase [3.5.4.28]"
"98","SEDOHEPTULOSE-BISPHOSPHATASE-RXN: (expasy) Sedoheptulose-bisphosphatase [3.1.3.37]"
"99","THYKI-RXN: (expasy) AMBIGUOUS [2.7.1.145; 2.7.1.21]"
"100","TOCOPHEROL-O-METHYLTRANSFERASE-RXN: (expasy) Tocopherol C-methyltransferase [2.1.1.95]"
"101","TREHALOSE6PSYN-RXN: (expasy) Alpha,alpha-trehalose-phosphate synthase (UDP-forming) [2.4.1.15]"
"102","TRNA-URACIL-5--METHYLTRANSFERASE-RXN: (expasy) tRNA (uracil(54)-C(5))-methyltransferase [2.1.1.35]"
"103","UDP-NACMURALGLDAPLIG-RXN: (expasy) UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [6.3.2.13]"
"104","UROCANATE-HYDRATASE-RXN: (expasy) Urocanate hydratase [4.2.1.49]"
"105","XANPRIBOSYLTRAN-RXN: (expasy) Xanthine phosphoribosyltransferase [2.4.2.22]"
