"","x"
"1","1.1.1.274-RXN: (expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]"
"2","1.1.1.291-RXN: (expasy) 2-hydroxymethylglutarate dehydrogenase [1.1.1.291]"
"3","1.14.11.2-RXN: (expasy) Procollagen-proline 4-dioxygenase [1.14.11.2]"
"4","1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]"
"5","1.2.1.9-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) [1.2.1.9]"
"6","2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: (metacyc) 2-octaprenyl-6-hydroxyphenyl methylase [2.1.1.222]"
"7","2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]"
"8","2.3.1.75-RXN: (expasy) Long-chain-alcohol O-fatty-acyltransferase [2.3.1.75]"
"9","2.3.2.15-RXN: (expasy) Glutathione gamma-glutamylcysteinyltransferase [2.3.2.15]"
"10","2.5.1.46-RXN: (expasy) Deoxyhypusine synthase [2.5.1.46]"
"11","2.7.9.3-RXN: (expasy) Selenide, water dikinase [2.7.9.3]"
"12","3.1.21.7-RXN: (expasy) Deoxyribonuclease V [3.1.21.7]"
"13","3.1.26.5-RXN: (expasy) Ribonuclease P [3.1.26.5]"
"14","3.4.11.4-RXN: (expasy) Tripeptide aminopeptidase [3.4.11.4]"
"15","3.4.13.19-RXN: (expasy) Membrane dipeptidase [3.4.13.19]"
"16","3.4.24.70-RXN: (expasy) Oligopeptidase A [3.4.24.70]"
"17","3.4.25.1-RXN: (expasy) Proteasome endopeptidase complex [3.4.25.1]"
"18","3.5.1.80-RXN: (expasy) N-acetylglucosamine-6-phosphate deacetylase [3.5.1.25]"
"19","3PGAREARR-RXN: (expasy) Phosphoglycerate mutase (2,3-diphosphoglycerate-independent) [5.4.2.12]"
"20","4.2.1.43-RXN: (expasy) 2-dehydro-3-deoxy-L-arabinonate dehydratase [4.2.1.43]"
"21","4.3.1.17-RXN: (expasy) L-serine ammonia-lyase [4.3.1.17]"
"22","ASPARTATE--TRNA-LIGASE-RXN: (expasy) Aspartate--tRNA ligase [6.1.1.12]"
"23","ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: (expasy) Aspartate-semialdehyde dehydrogenase [1.2.1.11]"
"24","ASPDECARBOX-RXN: (expasy) Aspartate 1-decarboxylase [4.1.1.11]"
"25","CELLOBIOSE-DEHYDROGENASE-ACCEPTOR-RXN: (expasy) Cellobiose dehydrogenase (acceptor) [1.1.99.18]"
"26","CREATININASE-RXN: (expasy) Creatininase [3.5.2.10]"
"27","DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN: (expasy) Diacylglycerol O-acyltransferase [2.3.1.20]"
"28","DIAMINOPIMEPIM-RXN: (expasy) Diaminopimelate epimerase [5.1.1.7]"
"29","DURIDKI-RXN: (expasy) AMBIGUOUS [2.7.1.145; 2.7.1.21]"
"30","FADSYN-RXN: (expasy) FAD synthase [2.7.7.2]"
"31","GABATRANSAM-RXN: (expasy) 4-aminobutyrate--2-oxoglutarate transaminase [2.6.1.19]"
"32","GART-RXN: (expasy) Phosphoribosylglycinamide formyltransferase 1 [2.1.2.2]"
"33","GLUCONOKIN-RXN: (expasy) Gluconokinase [2.7.1.12]"
"34","GLUCOSE-1-DEHYDROGENASE-RXN: (expasy) Glucose 1-dehydrogenase (NAD(P)(+)) [1.1.1.47]"
"35","GLYCOGENSYN-RXN: (expasy) Starch synthase [2.4.1.21]"
"36","GLYCOLATEDEHYDRO-RXN: (expasy) Glycolate dehydrogenase [1.1.99.14]"
"37","GUANPRIBOSYLTRAN-RXN: (expasy) Hypoxanthine phosphoribosyltransferase [2.4.2.8]"
"38","H2PTERIDINEPYROPHOSPHOKIN-RXN: (expasy) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [2.7.6.3]"
"39","HEME-OXYGENASE-DECYCLIZING-RXN: (expasy) Heme oxygenase (biliverdin-producing) [1.14.14.18]"
"40","HOMOGENTISATE-12-DIOXYGENASE-RXN: (expasy) Homogentisate 1,2-dioxygenase [1.13.11.5]"
"41","HYPOXANPRIBOSYLTRAN-RXN: (expasy) Hypoxanthine phosphoribosyltransferase [2.4.2.8]"
"42","NACGLCTRANS-RXN: (metacyc) UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-&beta;-N-acetylglucosaminlytransferase [2.4.1.227]"
"43","NAG6PDEACET-RXN: (expasy) N-acetylglucosamine-6-phosphate deacetylase [3.5.1.25]"
"44","PNKIN-RXN: (expasy) Pyridoxal kinase [2.7.1.35]"
"45","PSERPHOSPHA-RXN: (expasy) Phosphoserine phosphatase [3.1.3.3]"
"46","PYRAMKIN-RXN: (expasy) Pyridoxal kinase [2.7.1.35]"
"47","PYRIDOXKIN-RXN: (expasy) Pyridoxal kinase [2.7.1.35]"
