"","032024_COL_SAN_T5_139_OFAV_S17","032024_COL_SAN_T5_140_OFAV_S18c","032024_COL_SAN_T5_141_OFAV_S19","032024_COL_SAN_T5_166_OFAV_S20","032024_COL_SAN_T5_167_OFAV_S21","012025_COL_SAN_T5_568_OFAV_S1","012025_COL_SAN_T5_572_OFAV_S5","012025_COL_SAN_T5_580_OFAV_S13","012025_COL_SAN_T5_584_OFAV_S17","012025_COL_SAN_T5_585_OFAV_S18","012025_COL_SAN_T5_596_OFAV_S29","032024_COL_SAN_T5_128_MCAV_S1","032024_COL_SAN_T5_129_MCAV_S2","032024_COL_SAN_T5_130_MCAV_S37","032024_COL_SAN_T5_131_MCAV_S3","032024_COL_SAN_T5_132_MCAV_S4","032024_COL_SAN_T5_133_MCAV_S5","032024_COL_SAN_T5_134_MCAV_S6","032024_COL_SAN_T5_136_MCAV_S7","032024_COL_SAN_T5_150_MCAV_S8","012025_COL_SAN_T5_574_MCAV_S7","012025_COL_SAN_T5_578_MCAV_S11","012025_COL_SAN_T5_581_MCAV_S14","012025_COL_SAN_T5_583_MCAV_S16","012025_COL_SAN_T5_588_MCAV_S21","012025_COL_SAN_T5_589_MCAV_S22","012025_COL_SAN_T5_591_MCAV_S24","012025_COL_SAN_T5_593_MCAV_S26","012025_COL_SAN_T5_594_MCAV_S27","012025_COL_SAN_T5_595_MCAV_S28","032024_COL_SAN_T5_146_DLAB_S12","032024_COL_SAN_T5_148_DLAB_S13","032024_COL_SAN_T5_149_DLAB_S14","032024_COL_SAN_T5_158_DLAB_S15","032024_COL_SAN_T5_159_DLAB_S16","032024_COL_SAN_T5_143_DLAB_S40","032024_COL_SAN_T5_160_DLAB_S41","032024_COL_SAN_T5_161_DLAB_S42","012025_COL_SAN_T5_569_DLAB_S2","012025_COL_SAN_T5_570_DLAB_S3","012025_COL_SAN_T5_571_DLAB_S4","012025_COL_SAN_T5_575_DLAB_S8","012025_COL_SAN_T5_579_DLAB_S12","012025_COL_SAN_T5_586_DLAB_S19","032024_COL_SAN_T5_144_PSTR_S9","032024_COL_SAN_T5_147_PSTR_S10","032024_COL_SAN_T5_163_PSTR_S11c","032024_COL_SAN_T5_154_PSTR_S38","032024_COL_SAN_T5_162_PSTR_S39","012025_COL_SAN_T5_573_PSTR_S6","012025_COL_SAN_T5_576_PSTR_S9","012025_COL_SAN_T5_577_PSTR_S10","012025_COL_SAN_T5_582_PSTR_S15","012025_COL_SAN_T5_587_PSTR_S20","012025_COL_SAN_T5_590_PSTR_S23","012025_COL_SAN_T5_592_PSTR_S25"
"032024_COL_SAN_T5_139_OFAV_S17",0,0.776158281378476,0.824653280402956,0.872150975075527,0.820166568235936,0.721325023202177,0.817896947153643,0.724778784089536,0.786502988384657,0.782704325567148,0.733759328835359,0.968052560359855,0.946255104447131,0.968883151428623,0.949288309339727,0.960540834755425,0.968281587437413,0.93416504536006,0.925045812390593,0.97342243714176,0.90505551268054,0.929947669263188,0.880977382477366,0.942732222327767,0.937414059432924,0.936265036651375,0.923513269394524,0.952006949266481,0.893766886614089,0.911122498845653,0.931675590137192,0.905047147807793,0.905242003230759,0.893201267576823,0.923471313058258,0.968488032857253,0.939628423491661,0.976278559242313,0.960086229205705,0.972759882630922,0.966827202328717,0.971760137674559,0.977804034811739,0.96055832639285,0.956281947120852,0.904497054094617,0.837990122631879,0.911639892870531,0.959425252779486,0.968679768411862,0.856071435612729,0.858754843027679,0.893209057559246,0.786169139587319,0.919142488219375,0.809677817291882
"032024_COL_SAN_T5_140_OFAV_S18c",0.776158281378476,0,0.699200970715795,0.822527398184904,0.765704411553599,0.669840256730787,0.49802866534321,0.574130098797217,0.552820963052005,0.558066089976694,0.536333471507706,0.948978522816024,0.928895671784306,0.928484947970554,0.93942950369353,0.94124405070644,0.955786675266308,0.947477012586378,0.926350929618208,0.960364257607011,0.855360821329386,0.898306419929715,0.825889852244751,0.858501494328174,0.893150679553019,0.832447854735161,0.876917302089923,0.919486095087292,0.838013583877275,0.921592728291176,0.788907510495632,0.848524193860637,0.9001043352185,0.845752338277134,0.90016378402067,0.947255462323691,0.89714246516579,0.961649573575618,0.935142543788406,0.951682593030704,0.942028396494782,0.955458680659599,0.964280899490993,0.941749693738663,0.951716349232448,0.862274904004659,0.743671160612182,0.794363761905629,0.931891269343178,0.945785451853412,0.678107135096141,0.752331309063857,0.817014026424933,0.726583352018222,0.861067879087384,0.673072519233165
"032024_COL_SAN_T5_141_OFAV_S19",0.824653280402956,0.699200970715795,0,0.823275297252662,0.887203309591263,0.684512737123318,0.67961476975446,0.624619468874009,0.638912714286258,0.727145614079896,0.779246458618598,0.947783680533698,0.925283738415164,0.953420129697535,0.940939442006657,0.941669384821984,0.951133574324453,0.885500452476135,0.926086165781415,0.966540451305498,0.818704796270036,0.89695148502035,0.842552276537222,0.868506939889431,0.90978441438731,0.827129905756013,0.866215863004654,0.924722461089737,0.898101555162558,0.87035393337553,0.880624960268027,0.902162271159669,0.925252918971086,0.863788690432652,0.799321946504145,0.956474926343216,0.916458888371177,0.967796670174961,0.942145910279627,0.958456157365085,0.950610519139415,0.962433090560106,0.96975966205005,0.963826758400004,0.964822886554634,0.872507620760784,0.776951032003735,0.88318677277688,0.945757005216543,0.956777180614991,0.718009433369052,0.798210126786264,0.850334588272425,0.777178624940471,0.881726139074347,0.712514613206528
"032024_COL_SAN_T5_166_OFAV_S20",0.872150975075527,0.822527398184904,0.823275297252662,0,0.82335691679181,0.58560988979135,0.723905364546418,0.811249663343694,0.795516724032268,0.781140685105561,0.645941724630513,0.784385993884581,0.642781114576742,0.727824034139085,0.821410846709893,0.739602886200696,0.795866664324348,0.758670424025538,0.765810851545154,0.77976363352946,0.661775450996315,0.560222735410131,0.576736193124448,0.642596160830923,0.556165962611313,0.54526846715332,0.608169820024351,0.655472982183522,0.653103838058753,0.734065839960705,0.704168453995862,0.658173161166834,0.679611971038254,0.569128681994388,0.665651641098277,0.733085198257742,0.591703858509904,0.816444491044434,0.695195942758082,0.754842104391811,0.71044053053918,0.764435507209165,0.822066180043209,0.800905780414907,0.974253667198133,0.485294837035961,0.415691289114337,0.706397045593154,0.670883471370959,0.726654057322328,0.562841944378146,0.44724375724152,0.516935544270644,0.764238262796504,0.593591649573574,0.563205590252584
"032024_COL_SAN_T5_167_OFAV_S21",0.820166568235936,0.765704411553599,0.887203309591263,0.82335691679181,0,0.701216370771122,0.74858042919315,0.746388711374092,0.751655272177891,0.743565885820058,0.725653387095265,0.952233425352135,0.918691474204925,0.921451962829822,0.933946921600123,0.933791353449585,0.953357897795688,0.899690139612669,0.898045167869691,0.955072510682852,0.860549568229666,0.902040057355308,0.873920680086894,0.886825146191134,0.89561111463039,0.859670935450509,0.907232031337409,0.919624960329569,0.85045707651672,0.923061227781766,0.898311792665797,0.873733227657231,0.866377921452027,0.839467272934707,0.888026947100682,0.945046309527394,0.895265764550795,0.963906028716181,0.938645537649463,0.950573493294165,0.943738517040771,0.95093711814181,0.966594432120892,0.941963380081401,0.929650060657028,0.884246717161998,0.798424425439423,0.84954932683439,0.933911223595977,0.942162704535414,0.762589455318961,0.814121676805081,0.841383752662639,0.771776008500999,0.888245829518617,0.772551658398476
"012025_COL_SAN_T5_568_OFAV_S1",0.721325023202177,0.669840256730787,0.684512737123318,0.58560988979135,0.701216370771122,0,0.580459973163078,0.624388854557992,0.593975028804742,0.573550069950182,0.534254690182479,0.893530758641761,0.819542904782574,0.872250356818373,0.883954699243432,0.856676011980369,0.894738329927391,0.832236784043531,0.780416417193838,0.906974420620853,0.740191246831851,0.753665680071186,0.6514819443882,0.789175204588285,0.783258536999703,0.692589437115066,0.777207705413522,0.821617783797182,0.741752565275355,0.771554647399207,0.804977115053236,0.762303287672725,0.715591244668866,0.611626364675271,0.75268202166628,0.883553225086332,0.783007251493888,0.91430475719165,0.874633999458986,0.890179090466371,0.867996314275397,0.89900220248594,0.920188195511188,0.850833152473261,0.950351690585192,0.717180250400427,0.54124056570397,0.756941692219828,0.849653612994791,0.878897665807832,0.578527191153967,0.594229121404962,0.664010560415735,0.650729692294653,0.715170687775398,0.559579022851043
"012025_COL_SAN_T5_572_OFAV_S5",0.817896947153643,0.49802866534321,0.67961476975446,0.723905364546418,0.74858042919315,0.580459973163078,0,0.585147938191118,0.555359086138661,0.505997797924922,0.459884418937875,0.937823542960794,0.899304315625631,0.913909032188224,0.917530467743585,0.92508125303459,0.945793195975361,0.916304379490325,0.909603065456135,0.94855025727025,0.795319714254101,0.868819391075602,0.749895145705635,0.834533438805513,0.863677874639832,0.769281153733419,0.836829775906558,0.895766842437735,0.803170531652258,0.901192966848911,0.764568580508978,0.831125660732482,0.872535027660156,0.825144165038292,0.84183262751913,0.93582415179531,0.8741014793556,0.952748292131533,0.919339121678881,0.938249482804809,0.925965095889618,0.944839747603849,0.955022469404949,0.937031719729989,0.938015113971498,0.829889687516995,0.642204304507981,0.79272889720671,0.914769612006973,0.932153352248,0.57753072069627,0.684847462284749,0.764731400087424,0.673657293712309,0.823794522258403,0.596377531923884
"012025_COL_SAN_T5_580_OFAV_S13",0.724778784089536,0.574130098797217,0.624619468874009,0.811249663343694,0.746388711374092,0.624388854557992,0.585147938191118,0,0.565803226072476,0.581325020168162,0.641212400588853,0.9510781382086,0.918751848966566,0.942611377067058,0.943809540928095,0.94147206788541,0.953921741200702,0.926246463628207,0.90370707658737,0.964021374406025,0.831611867942976,0.89488398088691,0.821345363709613,0.879040295886502,0.900649816109171,0.833336785106889,0.8803708313354,0.921435842887065,0.839053657680154,0.894879381026323,0.848660330079555,0.861183692711034,0.879690682518283,0.858419517934787,0.8551332086592,0.952733078069939,0.904175675273222,0.964034355653346,0.938667234022347,0.955190858590283,0.945928740607217,0.958893066302961,0.966622602012357,0.949114093374705,0.933929974389826,0.862708750186514,0.742078598194087,0.839672268026577,0.936691248241435,0.950656154325344,0.701296565928272,0.768875395707789,0.821252159195044,0.675478570191213,0.876912468458386,0.709005575258378
"012025_COL_SAN_T5_584_OFAV_S17",0.786502988384657,0.552820963052005,0.638912714286258,0.795516724032268,0.751655272177891,0.593975028804742,0.555359086138661,0.565803226072476,0,0.54537329075157,0.61833517542296,0.941398124477714,0.913837315125005,0.933421460882069,0.94220406083644,0.927242358303799,0.940555325917728,0.877822539485948,0.927550955632685,0.954475228144036,0.808317796365561,0.89193529880098,0.80254272531101,0.855590686865873,0.887732696899432,0.828042582894477,0.848135038377019,0.906873433290637,0.843732848289905,0.877405321091692,0.851690522404333,0.86766623236816,0.898936188644088,0.829664586567318,0.857442895037822,0.940655002108807,0.886081860179715,0.956793093050417,0.924728283995864,0.943081653115066,0.931989398726447,0.949563826488522,0.959778741526867,0.940269417422655,0.932585359822049,0.844729231738417,0.707751785893106,0.833520907916125,0.922639987797752,0.937957973613153,0.690028832120374,0.730950306542151,0.790901414218116,0.660477650210451,0.847927291192819,0.665671085004308
"012025_COL_SAN_T5_585_OFAV_S18",0.782704325567148,0.558066089976694,0.727145614079896,0.781140685105561,0.743565885820058,0.573550069950182,0.505997797924922,0.581325020168162,0.54537329075157,0,0.583162047275589,0.945858272877045,0.914671062169554,0.923399202490944,0.921332292137661,0.924253883253037,0.94693362524197,0.912081525017222,0.895008475607173,0.959073373439814,0.827670004987134,0.88122795525472,0.788649265231323,0.8514972980349,0.88598396000587,0.811832290802523,0.874610092696464,0.907906900503667,0.839210923063368,0.901091461130127,0.842328203952088,0.873074720781013,0.865648275170888,0.816460434820007,0.856101728097753,0.943231424815122,0.892594494762792,0.959762722154298,0.930141530781379,0.947020874345621,0.936661124940252,0.952591237363451,0.961912427921383,0.930985658148645,0.94441498454459,0.84405441334116,0.694917169324846,0.82373985890885,0.923355669505695,0.942557739507986,0.636522113888778,0.741660025317714,0.792833266462211,0.615830803037322,0.860672229746513,0.676442255664441
