Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2 - polya	(1, 0.0004899974417391631)	(2, 0.003651271259411183)	(3, 0.0066285137798401525)	(4, 0.00947366021574497)	(5, 0.011975582637159683)	(6, 0.014418795687674773)	(7, 0.016470236590071224)	(8, 0.019458769374134734)	(9, 0.022450689237288612)	(10, 0.03076935548321984)	(15, 0.04300100129961096)	(20, 0.056861832158466616)	(25, 0.07257765333247769)	(30, 0.0896090160251857)	(35, 0.10530225667192765)	(40, 0.1197341490654185)	(45, 0.13387407524132006)	(50, 0.14830980632444665)	(55, 0.163141599855873)	(60, 0.17809397340291627)	(65, 0.19265118772275053)	(70, 0.20643705123107284)	(75, 0.22038007520918795)	(80, 0.23427026075349344)	(85, 0.24847025113193077)	(90, 0.2622590501087981)	(95, 0.2758376243767901)	(100, 0.28928636061298507)	(105, 0.3028990314771534)	(110, 0.3163096066222635)	(115, 0.3290547336287536)	(120, 0.34101857439173344)	(125, 0.3525235788406053)	(130, 0.36339587691539743)	(135, 0.37373166166227617)	(140, 0.3771704501600852)
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2 - polyg	(1, 0.05467648872936449)	(2, 0.055754708906463335)	(3, 0.056468253568166454)	(4, 0.05709260514715667)	(5, 0.05779373051886179)	(6, 0.05856033941964726)	(7, 0.059436463877687785)	(8, 0.06027307241300742)	(9, 0.06139080851282717)	(10, 0.06410814916438896)	(15, 0.06781090402597365)	(20, 0.07160556163354352)	(25, 0.07557408930108538)	(30, 0.08011074303471741)	(35, 0.08511391046172875)	(40, 0.0905303015377644)	(45, 0.09636488397882348)	(50, 0.10251152930674134)	(55, 0.10891446361916332)	(60, 0.1155208484822798)	(65, 0.12207394330104118)	(70, 0.12880610170104642)	(75, 0.1354398090021585)	(80, 0.1418784205476656)	(85, 0.1482915160973587)	(90, 0.15471951479504936)	(95, 0.1612579322710859)	(100, 0.1678494139862047)	(105, 0.1745562821956686)	(110, 0.18099692598863)	(115, 0.18727657062216274)	(120, 0.19372263374166868)	(125, 0.2002680511811586)	(130, 0.20699456444934658)	(135, 0.21373327120225988)	(140, 0.21738160699312606)
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1 - polya	(1, 0.0008261631001024061)	(2, 0.004194366508212216)	(3, 0.0067055391839081005)	(4, 0.00922215908883543)	(5, 0.01117953012600113)	(6, 0.01279554146466298)	(7, 0.014208189578684237)	(8, 0.0161074568373812)	(9, 0.0183553467668906)	(10, 0.024099631565756473)	(15, 0.033705275592485595)	(20, 0.04401361219007105)	(25, 0.054426535588900225)	(30, 0.0654386542031883)	(35, 0.07635562788023381)	(40, 0.08704490737540493)	(45, 0.0977015034951874)	(50, 0.10877099959071335)	(55, 0.12015752442750938)	(60, 0.13116710100148943)	(65, 0.1422787223364052)	(70, 0.15304753137835544)	(75, 0.16370485379536878)	(80, 0.1744101118296188)	(85, 0.18526716598511844)	(90, 0.19564377452240464)	(95, 0.2065988788040703)	(100, 0.2178103660082292)	(105, 0.22907850439639516)	(110, 0.24031214366609527)	(115, 0.25159444485026305)	(120, 0.2626011162353196)	(125, 0.2735140952775954)	(130, 0.28410278260629257)	(135, 0.29431343222632744)	(140, 0.2980487788846366)
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004539357692870363)	(4, 0.001024079095511554)	(5, 0.0016977197771335158)	(6, 0.0025184356480044776)	(7, 0.00317210315577781)	(8, 0.003907479102022809)	(9, 0.0050949750744776956)	(10, 0.0076428257603319725)	(15, 0.011385798539565159)	(20, 0.015397864442831699)	(25, 0.01970734906213511)	(30, 0.024590608493817334)	(35, 0.029770560344305565)	(40, 0.03530276635176054)	(45, 0.04103579354354808)	(50, 0.047103643758761755)	(55, 0.05349687513340038)	(60, 0.05996782031174094)	(65, 0.06690432201506229)	(70, 0.07396247850455255)	(75, 0.08109181212266703)	(80, 0.08845428715188733)	(85, 0.09581313069495333)	(90, 0.10314728013217012)	(95, 0.11081225795804328)	(100, 0.11871981905902347)	(105, 0.1265867075150755)	(110, 0.13455455128621702)	(115, 0.14272684772784539)	(120, 0.15096886870363627)	(125, 0.1590979504600285)	(130, 0.16731418788412383)	(135, 0.1755696453586856)	(140, 0.18011989751001886)
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2 - polya	(1, 0.0015306714140358865)	(2, 0.005883007569959991)	(3, 0.009071452413432133)	(4, 0.011982088566100611)	(5, 0.014200926606375643)	(6, 0.016116535552766938)	(7, 0.01775796729450886)	(8, 0.019978621077861042)	(9, 0.022342718564307928)	(10, 0.028628457948779374)	(15, 0.038731615578647086)	(20, 0.049358070363348897)	(25, 0.06019696708807702)	(30, 0.07137395517377015)	(35, 0.08263119910347323)	(40, 0.09372902079100268)	(45, 0.10457663308250113)	(50, 0.1158680129820546)	(55, 0.1273976183733299)	(60, 0.13890688744214114)	(65, 0.15005300789552273)	(70, 0.16097651824764597)	(75, 0.17194941681146764)	(80, 0.182676100614028)	(85, 0.19372707613016707)	(90, 0.20440691376133704)	(95, 0.21523491602760228)	(100, 0.22628262320620243)	(105, 0.2373390459515729)	(110, 0.24836278532155473)	(115, 0.2595277895029387)	(120, 0.27066918902431975)	(125, 0.2813352270081034)	(130, 0.291645379348766)	(135, 0.30162143496323324)	(140, 0.30519372789321453)
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2 - polyg	(1, 0.09186207375907897)	(2, 0.09381218182393607)	(3, 0.09567694996416722)	(4, 0.09735288082437496)	(5, 0.09884360589071359)	(6, 0.1003379624432065)	(7, 0.10184684494031662)	(8, 0.10337933209742965)	(9, 0.10544927920537854)	(10, 0.10957065284188938)	(15, 0.11459808227389719)	(20, 0.11920171727169859)	(25, 0.12423132559539896)	(30, 0.1297497319554676)	(35, 0.13553396310203072)	(40, 0.1414009921329118)	(45, 0.1476133754970665)	(50, 0.15413625092741345)	(55, 0.16077315502300538)	(60, 0.16760434362785212)	(65, 0.1746639527118041)	(70, 0.18177585519637796)	(75, 0.1888140385120196)	(80, 0.19611477827661689)	(85, 0.20328623713412122)	(90, 0.21044716468177804)	(95, 0.21767164323713512)	(100, 0.22509657982820927)	(105, 0.23248193322020164)	(110, 0.23989670165004381)	(115, 0.2472664396515727)	(120, 0.2547098968220338)	(125, 0.26197468487370357)	(130, 0.26916793264813366)	(135, 0.2761981266942358)	(140, 0.28026175970089334)
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1 - polya	(1, 0.000866301419226575)	(2, 0.0045540746544321924)	(3, 0.007296791795936092)	(4, 0.00995733014668332)	(5, 0.012009517171412415)	(6, 0.013743261381959406)	(7, 0.015140300824822817)	(8, 0.017108026314607554)	(9, 0.019180758037025816)	(10, 0.024992624738872614)	(15, 0.03461347839229111)	(20, 0.04498695280438947)	(25, 0.05508261724884651)	(30, 0.06571198728438439)	(35, 0.07632629120828356)	(40, 0.08720105624399759)	(45, 0.097880190102827)	(50, 0.10865542749195797)	(55, 0.11985776631860487)	(60, 0.13090944402886454)	(65, 0.14215743773926512)	(70, 0.1529500239842225)	(75, 0.16378164515478927)	(80, 0.17459272162766692)	(85, 0.18549168375177041)	(90, 0.19605736522447187)	(95, 0.20692185791134135)	(100, 0.21768682295162772)	(105, 0.22859742707108843)	(110, 0.23920328484149317)	(115, 0.2497082453188022)	(120, 0.259813953837685)	(125, 0.2696194814958873)	(130, 0.27899859253982995)	(135, 0.287982788839303)	(140, 0.2912210897439534)
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008742910238834736)	(4, 0.0016846652105117585)	(5, 0.002534987420424536)	(6, 0.003543960351381443)	(7, 0.004487875072989318)	(8, 0.005557340724919886)	(9, 0.007045689935290708)	(10, 0.010190170053827222)	(15, 0.014720504168707488)	(20, 0.019416565511613706)	(25, 0.024448418524528434)	(30, 0.029969463616864124)	(35, 0.03597559184908294)	(40, 0.04238142858856545)	(45, 0.04919496343996857)	(50, 0.056403413035841246)	(55, 0.06388213954353586)	(60, 0.0716311429630524)	(65, 0.07972118836420913)	(70, 0.0880054952957379)	(75, 0.09623090742722437)	(80, 0.10460355655881656)	(85, 0.11324123229059899)	(90, 0.121716604910637)	(95, 0.13033282284705522)	(100, 0.13890772311367633)	(105, 0.14759151027805)	(110, 0.15617188913072153)	(115, 0.16449043722506557)	(120, 0.17298795246372417)	(125, 0.18141652882791462)	(130, 0.1898752374153825)	(135, 0.19811982459804556)	(140, 0.2028229624479336)
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2 - polya	(1, 0.001662979140728748)	(2, 0.00626385005100849)	(3, 0.0096731284953165)	(4, 0.013003652265149367)	(5, 0.015326344476119169)	(6, 0.01740820717528817)	(7, 0.019025531432263213)	(8, 0.021332244433919217)	(9, 0.023853535389217643)	(10, 0.03016167067746723)	(15, 0.040244095205635703)	(20, 0.05112045816228113)	(25, 0.0621538739190393)	(30, 0.07329503520145622)	(35, 0.08441976072572181)	(40, 0.0957563249106046)	(45, 0.10664113402074446)	(50, 0.11760538262861578)	(55, 0.12889492228323224)	(60, 0.1401278498819941)	(65, 0.15129366480163803)	(70, 0.16235995207469886)	(75, 0.1733808127384248)	(80, 0.18424233785785024)	(85, 0.19523763178667408)	(90, 0.20594301720366187)	(95, 0.21659201883921386)	(100, 0.2273136117399342)	(105, 0.23799708281272025)	(110, 0.24855135056448327)	(115, 0.25875955429739317)	(120, 0.2688246299697352)	(125, 0.27849296470225765)	(130, 0.28798004954627776)	(135, 0.2968877739154634)	(140, 0.29988524530831295)
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2 - polyg	(1, 0.08802375724923939)	(2, 0.09045487980912424)	(3, 0.09274218948518492)	(4, 0.09469964262612507)	(5, 0.09660230990656077)	(6, 0.09863509360569454)	(7, 0.10054004363031793)	(8, 0.10237879407349845)	(9, 0.10491834698229836)	(10, 0.10973995925552726)	(15, 0.11570865048306804)	(20, 0.12141071718948719)	(25, 0.12732530737977982)	(30, 0.1337720052402219)	(35, 0.14064055422654825)	(40, 0.1476424154734354)	(45, 0.15468194199941937)	(50, 0.16210816539079717)	(55, 0.16969144158228777)	(60, 0.17747582753671348)	(65, 0.18543507169591583)	(70, 0.1933993378923311)	(75, 0.20138460533527308)	(80, 0.20934384949447543)	(85, 0.21729304957925205)	(90, 0.22507081557553338)	(95, 0.23280475288341124)	(100, 0.2405635721029348)	(105, 0.24806535432692506)	(110, 0.25573560307196647)	(115, 0.2632912580587861)	(120, 0.27078687687346953)	(125, 0.277980716906541)	(130, 0.2850613328279033)	(135, 0.2918582036467363)	(140, 0.2956667340494705)
