Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1 - polya	(1, 0.0006567454710184409)	(2, 0.0037888029079158033)	(3, 0.006342158618108575)	(4, 0.008932327415241843)	(5, 0.010814212419639976)	(6, 0.012460493667618937)	(7, 0.013887368917432545)	(8, 0.016054923476488923)	(9, 0.018449246651098757)	(10, 0.024473929207432497)	(15, 0.0345118272496713)	(20, 0.04617067913607401)	(25, 0.05755681967442152)	(30, 0.06965271652898179)	(35, 0.0813374848285906)	(40, 0.09327935572739185)	(45, 0.1051478949570076)	(50, 0.11694398603152449)	(55, 0.12943569719686895)	(60, 0.1417094748875257)	(65, 0.1535980404364371)	(70, 0.16524982421014725)	(75, 0.17689041680542744)	(80, 0.18884053383570337)	(85, 0.20069434783054296)	(90, 0.21219887925649106)	(95, 0.2234719299917574)	(100, 0.23522531788542328)	(105, 0.2474184012895065)	(110, 0.2593505535333554)	(115, 0.270264014035387)	(120, 0.2813173642677924)	(125, 0.2917498986020334)	(130, 0.30189293482057417)	(135, 0.31199562389582824)	(140, 0.31562068219303274)
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004005263859125917)	(4, 0.0009527226900200251)	(5, 0.0015770726445308299)	(6, 0.0022853564372659644)	(7, 0.0029244316265529674)	(8, 0.003634187942765722)	(9, 0.004717965222293911)	(10, 0.007093734601085734)	(15, 0.010642516182149505)	(20, 0.014436325669889217)	(25, 0.018626538477804183)	(30, 0.023467017653436065)	(35, 0.028736590170446358)	(40, 0.03463051264196746)	(45, 0.040586870108939646)	(50, 0.04703887897847865)	(55, 0.05377037280406991)	(60, 0.06075926373354912)	(65, 0.06816222826493501)	(70, 0.07547095129375324)	(75, 0.08283886976637178)	(80, 0.09018852894786784)	(85, 0.09778203801725774)	(90, 0.10536494491760877)	(95, 0.11331068160284534)	(100, 0.12142546398331264)	(105, 0.12926400095937848)	(110, 0.13713434444256092)	(115, 0.14510688105509018)	(120, 0.15305085071215357)	(125, 0.1611509078578447)	(130, 0.1691402312380188)	(135, 0.17727180038613097)	(140, 0.1818654846269138)
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2 - polya	(1, 0.0012398647681558905)	(2, 0.004990382065653579)	(3, 0.008010527718251835)	(4, 0.010936431868282422)	(5, 0.013168777460354072)	(6, 0.015164046772528932)	(7, 0.016789712691821217)	(8, 0.019313617932461592)	(9, 0.021919984487848678)	(10, 0.028605241076242672)	(15, 0.039262482493168376)	(20, 0.05123939945073697)	(25, 0.06314416275790218)	(30, 0.07560907399595398)	(35, 0.08785457923584043)	(40, 0.09993722337910212)	(45, 0.11207817945207754)	(50, 0.12438700320150164)	(55, 0.13692436259465235)	(60, 0.14938780130922652)	(65, 0.16153611999959003)	(70, 0.1731664049305269)	(75, 0.18506498363908613)	(80, 0.1970168676975352)	(85, 0.20904856252847126)	(90, 0.22047063263967268)	(95, 0.23181524801595135)	(100, 0.24350001631556015)	(105, 0.25564509545427283)	(110, 0.2673469450262221)	(115, 0.2784597852071234)	(120, 0.28968306464884613)	(125, 0.30015329558411413)	(130, 0.31007515877631653)	(135, 0.3198530091724076)	(140, 0.32328663941752156)
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2 - polyg	(1, 0.08137017484979377)	(2, 0.08303559890298179)	(3, 0.08462297921185596)	(4, 0.08601009632777383)	(5, 0.08724259847854163)	(6, 0.08869156158051952)	(7, 0.0900256678512431)	(8, 0.09133474122284711)	(9, 0.09320484603942428)	(10, 0.09682578127089142)	(15, 0.10158379913177659)	(20, 0.10607411222443049)	(25, 0.11080002907350353)	(30, 0.11594325907613405)	(35, 0.12155710758221187)	(40, 0.12750109585197206)	(45, 0.13363945722077802)	(50, 0.14002755857138835)	(55, 0.14651078493865288)	(60, 0.15321871838860224)	(65, 0.1603313012902015)	(70, 0.1672757220106566)	(75, 0.1741948153272966)	(80, 0.18111449765332768)	(85, 0.18809926551706954)	(90, 0.19490026245080444)	(95, 0.2017996239528444)	(100, 0.2088220884176133)	(105, 0.21581392439404778)	(110, 0.2224968249448776)	(115, 0.22936114038815014)	(120, 0.23645045741880297)	(125, 0.24380276714255875)	(130, 0.25100487947159733)	(135, 0.25824351038288085)	(140, 0.26222992594149325)
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1 - polya	(1, 0.000814225739195676)	(2, 0.004205327549982105)	(3, 0.006902208366018497)	(4, 0.009489407426378767)	(5, 0.011475292390914655)	(6, 0.013214715998578317)	(7, 0.014596706120097445)	(8, 0.01670775732346373)	(9, 0.018920748040928997)	(10, 0.02476665658110664)	(15, 0.03428316185300539)	(20, 0.044539567344959285)	(25, 0.05476371349700844)	(30, 0.06557214081341228)	(35, 0.07622675559715032)	(40, 0.08723648119455976)	(45, 0.0980036165558855)	(50, 0.10899398654935208)	(55, 0.12006281125746701)	(60, 0.13098479145033554)	(65, 0.14204613199159255)	(70, 0.15295546652321843)	(75, 0.16384286470370907)	(80, 0.17464587245100888)	(85, 0.18570514839451202)	(90, 0.19625266216976628)	(95, 0.20695424655240563)	(100, 0.21804423338749804)	(105, 0.22905653973209988)	(110, 0.24035169596898642)	(115, 0.2513939389810198)	(120, 0.26229733779410325)	(125, 0.272988599187973)	(130, 0.2834313346272167)	(135, 0.29354141175336274)	(140, 0.29704787296364854)
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005755066239005888)	(4, 0.001298115837766799)	(5, 0.0020942763466158198)	(6, 0.002934309557735289)	(7, 0.003734341187372879)	(8, 0.004695669516534176)	(9, 0.006033786935782855)	(10, 0.008920352670459127)	(15, 0.013116905679987143)	(20, 0.017563275017737474)	(25, 0.022315720972503995)	(30, 0.02768703010400308)	(35, 0.03383849911175843)	(40, 0.04040675879108304)	(45, 0.04735232370993351)	(50, 0.054623578924462256)	(55, 0.06217871633015273)	(60, 0.07004947911747118)	(65, 0.07839948665841448)	(70, 0.08682020667242897)	(75, 0.09532273637244187)	(80, 0.10379352288198851)	(85, 0.11253761051920814)	(90, 0.12147396382226003)	(95, 0.13040515563092714)	(100, 0.13943260930987)	(105, 0.14869929825354644)	(110, 0.15788908093089)	(115, 0.16706441142395617)	(120, 0.1762072245023984)	(125, 0.18543829913481996)	(130, 0.19462137186946335)	(135, 0.20367179419841838)	(140, 0.20877986711629476)
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2 - polya	(1, 0.0015807076553323346)	(2, 0.006005398716666682)	(3, 0.00928681877177699)	(4, 0.012316615975630314)	(5, 0.0145773505161546)	(6, 0.016610979303749506)	(7, 0.01827298049564179)	(8, 0.020600814463167937)	(9, 0.023091235503813982)	(10, 0.029653301389876884)	(15, 0.03983589751212874)	(20, 0.050726650663969475)	(25, 0.0614145570864892)	(30, 0.07237344196420877)	(35, 0.08357440092857349)	(40, 0.09487265406209092)	(45, 0.10599283563933418)	(50, 0.11714785730367457)	(55, 0.12848198282316609)	(60, 0.13958487339422038)	(65, 0.15071847485686402)	(70, 0.16183633376163414)	(75, 0.17286515688826715)	(80, 0.18371952150469534)	(85, 0.19480383069596455)	(90, 0.20551135079714636)	(95, 0.2162666147213872)	(100, 0.22711581784343063)	(105, 0.2382199987880811)	(110, 0.24928443622596896)	(115, 0.2602541602418965)	(120, 0.27124556253424004)	(125, 0.2817693334353245)	(130, 0.2921263880677812)	(135, 0.3020460060511295)	(140, 0.3055540157097308)
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2 - polyg	(1, 0.085990496450079)	(2, 0.08800606000732726)	(3, 0.09002807543255646)	(4, 0.09178943539135534)	(5, 0.0934798248023638)	(6, 0.09522053878362365)	(7, 0.09693931641374828)	(8, 0.09858583312248628)	(9, 0.10095366867149431)	(10, 0.10540158645756008)	(15, 0.11104155137178584)	(20, 0.11633879305886366)	(25, 0.12202237260064061)	(30, 0.1281562925274878)	(35, 0.13462261269271342)	(40, 0.1416368254868812)	(45, 0.14869645943163481)	(50, 0.1560619119186854)	(55, 0.16373602176994456)	(60, 0.1717004656803464)	(65, 0.17972142795426133)	(70, 0.18774239022817624)	(75, 0.19572877048971332)	(80, 0.20384934960525408)	(85, 0.21191160383424706)	(90, 0.22012173487736342)	(95, 0.22833186592047974)	(100, 0.2363419890561867)	(105, 0.24463263941170527)	(110, 0.2528293505694212)	(115, 0.2609101861781994)	(120, 0.26911928492243875)	(125, 0.2772956081773349)	(130, 0.28524043840907465)	(135, 0.29309520056380034)	(140, 0.2974633732616216)
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1 - polya	(1, 0.0006420769311883684)	(2, 0.0038953533659342914)	(3, 0.00651175187298325)	(4, 0.009112553369557996)	(5, 0.010958199609006344)	(6, 0.012669971508551042)	(7, 0.014071102949484363)	(8, 0.016207893384451322)	(9, 0.018420069370043635)	(10, 0.024317299030342958)	(15, 0.03426533226096955)	(20, 0.04547750319053097)	(25, 0.056333802331105784)	(30, 0.067739636140722)	(35, 0.07934303208301155)	(40, 0.0912341928685503)	(45, 0.10276584256265849)	(50, 0.11435052209237899)	(55, 0.1261912525440511)	(60, 0.1379402205841)	(65, 0.14972298214684296)	(70, 0.16142541910564376)	(75, 0.17289078150523657)	(80, 0.1844570045725626)	(85, 0.19627485940887252)	(90, 0.2079801558195936)	(95, 0.21965659776093735)	(100, 0.23144689787874287)	(105, 0.24360606729426348)	(110, 0.25583646305761637)	(115, 0.2676033676597106)	(120, 0.27934115784225294)	(125, 0.290718657082841)	(130, 0.3015424624515945)	(135, 0.31195242714243226)	(140, 0.31558081167908303)
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005056030895390188)	(4, 0.0011671762838201514)	(5, 0.001901535526980937)	(6, 0.002800963130993793)	(7, 0.003608108423034232)	(8, 0.004601118089892356)	(9, 0.005989252022097168)	(10, 0.008870019856684012)	(15, 0.013205468868165631)	(20, 0.017898349369681262)	(25, 0.022899790728411713)	(30, 0.028480661026259114)	(35, 0.03484632090113392)	(40, 0.041803627373330474)	(45, 0.049078592958851794)	(50, 0.05673620520134044)	(55, 0.06480193921790428)	(60, 0.07295839584539313)	(65, 0.08158354263763201)	(70, 0.09035660107920133)	(75, 0.09920114581877748)	(80, 0.1083763471804069)	(85, 0.11763395274737505)	(90, 0.12679979590271998)	(95, 0.13617645864964126)	(100, 0.14573066736579401)	(105, 0.15531607010289517)	(110, 0.16486092061276342)	(115, 0.1744408643961986)	(120, 0.18426256184198406)	(125, 0.19407906028427813)	(130, 0.2035945364244199)	(135, 0.21277311713831876)	(140, 0.21791623134218996)
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2 - polya	(1, 0.001350441156892135)	(2, 0.005291285803376209)	(3, 0.008465277434878224)	(4, 0.011459903445926808)	(5, 0.01381895128015128)	(6, 0.015953142213372535)	(7, 0.01760382582189324)	(8, 0.019942077642152094)	(9, 0.022532481131744036)	(10, 0.029043973054552714)	(15, 0.03974768144265484)	(20, 0.051396048765145044)	(25, 0.0630264795255899)	(30, 0.0751307994542762)	(35, 0.08730192657782705)	(40, 0.09990067173854586)	(45, 0.11199953271356619)	(50, 0.1238064696425442)	(55, 0.13576495752329665)	(60, 0.14767405487088076)	(65, 0.1597074084019094)	(70, 0.17128091007412335)	(75, 0.1828164590208501)	(80, 0.19443077287047159)	(85, 0.20629437893750593)	(90, 0.218058943988029)	(95, 0.2299100724466839)	(100, 0.24193510757212633)	(105, 0.2540747807245542)	(110, 0.2659191504786703)	(115, 0.27755841954505056)	(120, 0.2890079249839945)	(125, 0.2999796420020785)	(130, 0.31079460906489675)	(135, 0.32115726282396273)	(140, 0.3247921461149777)
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2 - polyg	(1, 0.06653424718124003)	(2, 0.06851766701321058)	(3, 0.07056477463795081)	(4, 0.07221025924298012)	(5, 0.07380505356396823)	(6, 0.07558311275802833)	(7, 0.0772610911348789)	(8, 0.07890657573990821)	(9, 0.08121493329009148)	(10, 0.08568789594392073)	(15, 0.09147828608247172)	(20, 0.09713012277797677)	(25, 0.10323869193020166)	(30, 0.10980321368862264)	(35, 0.11685202262226793)	(40, 0.12425982274699461)	(45, 0.13181865392314657)	(50, 0.13986749117836336)	(55, 0.1479347848959746)	(60, 0.1563264964314495)	(65, 0.16490433229191662)	(70, 0.1736001855316386)	(75, 0.18208521917978415)	(80, 0.19054971676413865)	(85, 0.19918526156336036)	(90, 0.20765157879893686)	(95, 0.21621641715067547)	(100, 0.22493228655383937)	(105, 0.2335394967840329)	(110, 0.24213240975462508)	(115, 0.2505342593469082)	(120, 0.2588903577084669)	(125, 0.26717496977201893)	(130, 0.2753483231608548)	(135, 0.28310081721706154)	(140, 0.2874594017940799)
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1 - polya	(1, 0.003661110287817818)	(2, 0.016004681745312468)	(3, 0.023454534150466107)	(4, 0.029865848107212975)	(5, 0.03455850331853247)	(6, 0.038244090943518126)	(7, 0.04154503469872349)	(8, 0.045693943348671766)	(9, 0.04991803239134982)	(10, 0.06198081382390487)	(15, 0.08200467433217606)	(20, 0.10255095115085795)	(25, 0.12264474690818013)	(30, 0.14310989883796288)	(35, 0.16315928571213772)	(40, 0.18327965686409922)	(45, 0.20322833697964066)	(50, 0.22364383488259723)	(55, 0.24379357883916022)	(60, 0.26376009244320964)	(65, 0.28373639698212616)	(70, 0.3037801890363769)	(75, 0.3238421642553809)	(80, 0.343769863796207)	(85, 0.3640566808409098)	(90, 0.3837962545617889)	(95, 0.40356974687845754)	(100, 0.4236964122028337)	(105, 0.44355172876089216)	(110, 0.4632993450354121)	(115, 0.4828427503827032)	(120, 0.5023148217759623)	(125, 0.5218173150025586)	(130, 0.5416736805893527)	(135, 0.5607660035802651)	(140, 0.5673374692573387)
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001122460747267927)	(4, 0.0025823590712067417)	(5, 0.004080721782123585)	(6, 0.005867567395375643)	(7, 0.007526781179109697)	(8, 0.009602109694696971)	(9, 0.011756115365466575)	(10, 0.017592211898769285)	(15, 0.02584212355306592)	(20, 0.0342581314238586)	(25, 0.042943390003497464)	(30, 0.051886359975889126)	(35, 0.06121642155177785)	(40, 0.07098217972925408)	(45, 0.0810458620676874)	(50, 0.0913648080651567)	(55, 0.10176942474271347)	(60, 0.11248595263103749)	(65, 0.1234192797914195)	(70, 0.1346113673732901)	(75, 0.14600102203372964)	(80, 0.15739172572290494)	(85, 0.16893558760750182)	(90, 0.18043923672389445)	(95, 0.19212017169663126)	(100, 0.20380250537434902)	(105, 0.21559183998311485)	(110, 0.227683644544026)	(115, 0.23979153421221894)	(120, 0.25203125182487296)	(125, 0.26436433299500994)	(130, 0.27709254832228486)	(135, 0.28951934272615015)	(140, 0.2966775651427613)
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2 - polya	(1, 0.005934005881974056)	(2, 0.02037038966731872)	(3, 0.028981167206718315)	(4, 0.03647997428620763)	(5, 0.04190520123133594)	(6, 0.04614152894259792)	(7, 0.04971347178787576)	(8, 0.05444109462372074)	(9, 0.05897115038099675)	(10, 0.0719291030014041)	(15, 0.09242397741203352)	(20, 0.11274716078624283)	(25, 0.13270633118914188)	(30, 0.15302636747714393)	(35, 0.1730449828417363)	(40, 0.1931873835971489)	(45, 0.21323746982381425)	(50, 0.23322985947001248)	(55, 0.25330022691890264)	(60, 0.27296427057080663)	(65, 0.2926223697265413)	(70, 0.31232627647040434)	(75, 0.3319721369575551)	(80, 0.35174877636043117)	(85, 0.37143100317708844)	(90, 0.391131413158499)	(95, 0.41087378428934)	(100, 0.4302766197860387)	(105, 0.44942314259496563)	(110, 0.46853085134066924)	(115, 0.48785116324348776)	(120, 0.5069599210179272)	(125, 0.5262463143249559)	(130, 0.5452473718158568)	(135, 0.5634578113162366)	(140, 0.5698359060296843)
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2 - polyg	(1, 0.3243229690926062)	(2, 0.32845439393029174)	(3, 0.3330036818810568)	(4, 0.3376683629927559)	(5, 0.342511378989535)	(6, 0.34713060218935093)	(7, 0.3515137939236199)	(8, 0.3557256442977141)	(9, 0.3597329340683342)	(10, 0.3705994730658725)	(15, 0.3819384246707501)	(20, 0.39102511157994146)	(25, 0.40003137295272423)	(30, 0.40893063339445906)	(35, 0.41832853216192734)	(40, 0.4279225993029834)	(45, 0.4380782464939187)	(50, 0.4484503432806668)	(55, 0.45889132628773)	(60, 0.46976555816266397)	(65, 0.48076042834221083)	(70, 0.49194202563672373)	(75, 0.5030113768565099)	(80, 0.5139768742314554)	(85, 0.5249476167500797)	(90, 0.5360403962782978)	(95, 0.5471506596187787)	(100, 0.5583140737485384)	(105, 0.5693141890717641)	(110, 0.5804321452896406)	(115, 0.591551150536253)	(120, 0.602576442549137)	(125, 0.613796504230628)	(130, 0.6250732134638501)	(135, 0.6358421927889625)	(140, 0.6419741154257508)
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1 - polya	(1, 0.0038347178675067948)	(2, 0.0164258636762564)	(3, 0.024141125389610177)	(4, 0.030875711166483966)	(5, 0.03597339299704629)	(6, 0.040072068499792564)	(7, 0.043382537175087624)	(8, 0.04756553247797984)	(9, 0.051939163850767224)	(10, 0.0647279112781197)	(15, 0.08531037449374437)	(20, 0.10596909213732711)	(25, 0.1262960296977269)	(30, 0.14667869164778835)	(35, 0.16695430411244713)	(40, 0.1870814404072837)	(45, 0.20729766240401357)	(50, 0.2273074841942993)	(55, 0.24744451890045735)	(60, 0.26719184948681046)	(65, 0.2869963708941321)	(70, 0.30683975273108627)	(75, 0.3268792697553364)	(80, 0.34677141043324444)	(85, 0.36652277370569153)	(90, 0.38640831544271864)	(95, 0.40625499675011334)	(100, 0.4260360552565247)	(105, 0.44579255103854587)	(110, 0.4653507119863107)	(115, 0.48501555581165146)	(120, 0.5045289906045562)	(125, 0.5241249121584733)	(130, 0.5435012356241844)	(135, 0.562355509544644)	(140, 0.5689973435413572)
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0010063384843504925)	(4, 0.0024177786172282327)	(5, 0.003935535019855205)	(6, 0.005691586509851147)	(7, 0.007304660947425707)	(8, 0.009284343211721757)	(9, 0.011364842628366218)	(10, 0.017327352322164546)	(15, 0.02538795860828997)	(20, 0.033571011908540366)	(25, 0.04194836735695316)	(30, 0.05069636331818137)	(35, 0.059920216238494084)	(40, 0.06980103038429171)	(45, 0.07984718465994071)	(50, 0.09027021178145941)	(55, 0.100881675325913)	(60, 0.11176002936821978)	(65, 0.12298739406156542)	(70, 0.1344402225683448)	(75, 0.14587215442900106)	(80, 0.15759957219799486)	(85, 0.1692892293608363)	(90, 0.18100894836546894)	(95, 0.1928368166789844)	(100, 0.20468118234470228)	(105, 0.21647862220859987)	(110, 0.22839850908662246)	(115, 0.24083641282380247)	(120, 0.253206494113039)	(125, 0.2658236690774859)	(130, 0.27868573807018265)	(135, 0.29103858879156325)	(140, 0.2980796587115762)
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2 - polya	(1, 0.006129682862783328)	(2, 0.021673854715774543)	(3, 0.030787725288070805)	(4, 0.03856714337110084)	(5, 0.04436504615070122)	(6, 0.04900446819786169)	(7, 0.052872180769773416)	(8, 0.05781955339137994)	(9, 0.06262211592143146)	(10, 0.07628742266247504)	(15, 0.09770465189954455)	(20, 0.11886965495182963)	(25, 0.13944111993265268)	(30, 0.159896370232405)	(35, 0.18011369205261504)	(40, 0.20048828863048862)	(45, 0.2209516043024288)	(50, 0.24087783950822197)	(55, 0.2607520164026208)	(60, 0.2804813832054645)	(65, 0.300702004496115)	(70, 0.32064217079932367)	(75, 0.3407781056820015)	(80, 0.36073696898437296)	(85, 0.3805730186647927)	(90, 0.4003060515459036)	(95, 0.42016043161765937)	(100, 0.43971492648715704)	(105, 0.4591627384790787)	(110, 0.4784763720064203)	(115, 0.497746379202382)	(120, 0.5170171196139972)	(125, 0.5362478997724996)	(130, 0.5553005085272156)	(135, 0.5735781083362422)	(140, 0.5801202250040872)
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2 - polyg	(1, 0.2902562476893396)	(2, 0.2942192782961989)	(3, 0.2984279361469616)	(4, 0.30310401897679423)	(5, 0.30726135173181596)	(6, 0.3116954733960124)	(7, 0.3157116621377463)	(8, 0.3195537121617876)	(9, 0.3232582842508082)	(10, 0.33300528653985245)	(15, 0.34355369353810994)	(20, 0.35230352253847175)	(25, 0.36093677024993615)	(30, 0.3695729508240143)	(35, 0.37849398567945514)	(40, 0.3876775117388284)	(45, 0.39737538857909205)	(50, 0.40735445362245104)	(55, 0.4172319682978081)	(60, 0.4275791075991955)	(65, 0.43784742621783773)	(70, 0.44804975542767006)	(75, 0.458360600554212)	(80, 0.46903108795876775)	(85, 0.47959012658400013)	(90, 0.4902320185780716)	(95, 0.5007613619693395)	(100, 0.5112327813239854)	(105, 0.5216528755828904)	(110, 0.5323284954970202)	(115, 0.542856739064808)	(120, 0.5537878846341627)	(125, 0.5646827360286719)	(130, 0.5752615714765473)	(135, 0.585677999657185)	(140, 0.5915895508630691)
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1 - polya	(1, 0.004392398956580175)	(2, 0.01734551407368252)	(3, 0.025563167019988727)	(4, 0.032924153442934825)	(5, 0.038244607799821785)	(6, 0.04272029377950641)	(7, 0.0464166511858565)	(8, 0.05129092506182673)	(9, 0.05593913416079916)	(10, 0.06987384633591828)	(15, 0.09249698144031977)	(20, 0.11406078493180696)	(25, 0.13445658707547217)	(30, 0.15486428736529514)	(35, 0.17481946149625055)	(40, 0.1945914041763762)	(45, 0.2146996677878951)	(50, 0.23460486970498784)	(55, 0.2547520005939555)	(60, 0.2747468352121035)	(65, 0.29437401711397615)	(70, 0.3145635847242398)	(75, 0.3345195520649391)	(80, 0.35400078337394303)	(85, 0.37349986190218365)	(90, 0.3930778647999374)	(95, 0.41263960689794227)	(100, 0.4320300156912752)	(105, 0.45148665749821965)	(110, 0.4706728147825106)	(115, 0.48977846127780056)	(120, 0.509267624684243)	(125, 0.528705626062207)	(130, 0.5482031181709599)	(135, 0.5666107400916601)	(140, 0.5731574967125422)
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008408023284830672)	(4, 0.002121836064803967)	(5, 0.0034683096049926525)	(6, 0.005072576311933222)	(7, 0.006551912484217109)	(8, 0.008324736261726218)	(9, 0.01020662637901497)	(10, 0.015576259740020748)	(15, 0.023191469885871396)	(20, 0.031163624416455427)	(25, 0.03922620485783857)	(30, 0.04763779758651658)	(35, 0.056674439593349925)	(40, 0.06610887628672502)	(45, 0.0758851863797003)	(50, 0.08594784519020615)	(55, 0.09608228948253059)	(60, 0.10644914422980364)	(65, 0.11729589087210715)	(70, 0.12814858658748954)	(75, 0.13908694895520793)	(80, 0.1500848020537152)	(85, 0.16119925698456875)	(90, 0.17240215480186177)	(95, 0.1837656775922848)	(100, 0.19510818032449578)	(105, 0.2066771444385765)	(110, 0.2183063924931899)	(115, 0.22998799239089757)	(120, 0.24191033144586432)	(125, 0.2536232631284542)	(130, 0.2653429370938667)	(135, 0.27704238421081107)	(140, 0.28393339386052485)
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2 - polya	(1, 0.006664944872716012)	(2, 0.022082959268838295)	(3, 0.03154793453735169)	(4, 0.03967635138747455)	(5, 0.04607557099600016)	(6, 0.05118979081948561)	(7, 0.05547312343628614)	(8, 0.061037489789407574)	(9, 0.06657012775277492)	(10, 0.08138094008997855)	(15, 0.10485479264466124)	(20, 0.1267937843449904)	(25, 0.14772143362190832)	(30, 0.16833100579154162)	(35, 0.18814498858809142)	(40, 0.20795738496515348)	(45, 0.22787924428686718)	(50, 0.24735611294227988)	(55, 0.2673691913845365)	(60, 0.2872022112149387)	(65, 0.3068464471263042)	(70, 0.32696422925474933)	(75, 0.3466889759551158)	(80, 0.3663550251344372)	(85, 0.38606430424479854)	(90, 0.4055895586945861)	(95, 0.4248332236853064)	(100, 0.4441681077965696)	(105, 0.46340384068985135)	(110, 0.48208194713320507)	(115, 0.5009345597202064)	(120, 0.5197185596643644)	(125, 0.5381214223266015)	(130, 0.5566952216886388)	(135, 0.5746800628158661)	(140, 0.5808516312279062)
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2 - polyg	(1, 0.3987148098446213)	(2, 0.40262731690617104)	(3, 0.4066786356728949)	(4, 0.4109798155089321)	(5, 0.4153841126116701)	(6, 0.41986376464007397)	(7, 0.42423435032869816)	(8, 0.4285573434326913)	(9, 0.43254718844426665)	(10, 0.44334277305809167)	(15, 0.45424782061656827)	(20, 0.4626915383398723)	(25, 0.4710527622498157)	(30, 0.4795765941572487)	(35, 0.48841969298658217)	(40, 0.49729610662515744)	(45, 0.5065679353210429)	(50, 0.5159952331267235)	(55, 0.5255768102275831)	(60, 0.5354260956169927)	(65, 0.545266259094348)	(70, 0.555280532110479)	(75, 0.5650865875688487)	(80, 0.5752123065539907)	(85, 0.585138533288554)	(90, 0.5949184128253766)	(95, 0.6050461148348784)	(100, 0.6153415807052047)	(105, 0.6254716623439378)	(110, 0.6357342100098945)	(115, 0.6461129629033253)	(120, 0.6563961340226221)	(125, 0.6668093915399105)	(130, 0.6771710904238484)	(135, 0.6871108017240573)	(140, 0.6929103547662308)
032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1 - polya	(1, 0.0006508528731383231)	(2, 0.005238727537711404)	(3, 0.007959547783850433)	(4, 0.010407265059692205)	(5, 0.012609955371528961)	(6, 0.014377467585835977)	(7, 0.016078618330724968)	(8, 0.018371917571959412)	(9, 0.020911519959303064)	(10, 0.027147456193230713)	(15, 0.037331644621110015)	(20, 0.04841783856023279)	(25, 0.05953797894332709)	(30, 0.07046082157311319)	(35, 0.08132929884526066)	(40, 0.09240171001765815)	(45, 0.10332710501165263)	(50, 0.11459834535588335)	(55, 0.12575039029158247)	(60, 0.13676307614150376)	(65, 0.14758407943937524)	(70, 0.15806893637100236)	(75, 0.16887921973919867)	(80, 0.17982375746475604)	(85, 0.19089080867231592)	(90, 0.2014808230093285)	(95, 0.21245088437696974)	(100, 0.22330404746386692)	(105, 0.23404567223485762)	(110, 0.2449154256891093)	(115, 0.25595389041753525)	(120, 0.2665804035627278)	(125, 0.2767873080320617)	(130, 0.2869564375111116)	(135, 0.29664419110045986)	(140, 0.29993980376632734)
