Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
032024_COL_SAN_T5_150_MCAV_S8_R2_001_val_2	(13.0, 1.0)	(14.0, 35.0)	(15.0, 356.0)	(16.0, 2725.0)	(17.0, 12237.0)	(18.0, 35308.0)	(19.0, 66780.0)	(20.0, 104704.0)	(21.0, 123797.0)	(22.0, 130563.0)	(23.0, 138769.0)	(24.0, 156919.0)	(25.0, 171853.0)	(26.0, 195760.0)	(27.0, 215429.0)	(28.0, 256143.0)	(29.0, 293526.0)	(30.0, 348579.0)	(31.0, 406289.0)	(32.0, 507811.0)	(33.0, 632751.0)	(34.0, 853436.0)	(35.0, 1208514.0)	(36.0, 2028561.0)	(37.0, 3601438.0)	(38.0, 8583851.0)	(39.0, 43306741.0)	(40.0, 10688545.0)	
032024_COL_SAN_T5_154_PSTR_S38_R1_001_val_1	(17.0, 85.0)	(18.0, 1620.0)	(19.0, 8558.0)	(20.0, 25671.0)	(21.0, 49066.0)	(22.0, 68752.0)	(23.0, 82806.0)	(24.0, 102127.0)	(25.0, 119724.0)	(26.0, 143031.0)	(27.0, 164467.0)	(28.0, 201244.0)	(29.0, 238075.0)	(30.0, 290752.0)	(31.0, 346961.0)	(32.0, 440340.0)	(33.0, 556008.0)	(34.0, 756745.0)	(35.0, 1092894.0)	(36.0, 1815894.0)	(37.0, 2986024.0)	(38.0, 6469579.0)	(39.0, 35294681.0)	(40.0, 13043711.0)					
032024_COL_SAN_T5_154_PSTR_S38_R2_001_val_2	(14.0, 28.0)	(15.0, 189.0)	(16.0, 1211.0)	(17.0, 5107.0)	(18.0, 15112.0)	(19.0, 30523.0)	(20.0, 52348.0)	(21.0, 65760.0)	(22.0, 73459.0)	(23.0, 79783.0)	(24.0, 92541.0)	(25.0, 102623.0)	(26.0, 118390.0)	(27.0, 132153.0)	(28.0, 157985.0)	(29.0, 183735.0)	(30.0, 222137.0)	(31.0, 263965.0)	(32.0, 334535.0)	(33.0, 423016.0)	(34.0, 578474.0)	(35.0, 838697.0)	(36.0, 1428704.0)	(37.0, 2508064.0)	(38.0, 5845952.0)	(39.0, 36614969.0)	(40.0, 14129355.0)		
032024_COL_SAN_T5_158_DLAB_S15_R1_001_val_1	(17.0, 85.0)	(18.0, 1539.0)	(19.0, 7620.0)	(20.0, 22956.0)	(21.0, 43791.0)	(22.0, 60079.0)	(23.0, 70897.0)	(24.0, 86084.0)	(25.0, 99992.0)	(26.0, 118415.0)	(27.0, 135274.0)	(28.0, 165350.0)	(29.0, 194671.0)	(30.0, 236832.0)	(31.0, 279727.0)	(32.0, 354613.0)	(33.0, 443628.0)	(34.0, 601288.0)	(35.0, 859308.0)	(36.0, 1426722.0)	(37.0, 2412138.0)	(38.0, 5525596.0)	(39.0, 28167637.0)	(40.0, 6844789.0)					
032024_COL_SAN_T5_158_DLAB_S15_R2_001_val_2	(14.0, 18.0)	(15.0, 248.0)	(16.0, 1987.0)	(17.0, 8203.0)	(18.0, 23216.0)	(19.0, 43408.0)	(20.0, 70343.0)	(21.0, 83644.0)	(22.0, 88246.0)	(23.0, 92632.0)	(24.0, 104706.0)	(25.0, 115391.0)	(26.0, 131000.0)	(27.0, 144183.0)	(28.0, 169335.0)	(29.0, 194259.0)	(30.0, 228811.0)	(31.0, 266333.0)	(32.0, 331330.0)	(33.0, 410704.0)	(34.0, 553921.0)	(35.0, 782265.0)	(36.0, 1312114.0)	(37.0, 2331772.0)	(38.0, 5564691.0)	(39.0, 28254386.0)	(40.0, 6851885.0)		
032024_COL_SAN_T5_159_DLAB_S16_R1_001_val_1	(17.0, 117.0)	(18.0, 1768.0)	(19.0, 8537.0)	(20.0, 24989.0)	(21.0, 47329.0)	(22.0, 65261.0)	(23.0, 78459.0)	(24.0, 95693.0)	(25.0, 111915.0)	(26.0, 133302.0)	(27.0, 153675.0)	(28.0, 187742.0)	(29.0, 222854.0)	(30.0, 269736.0)	(31.0, 320772.0)	(32.0, 405132.0)	(33.0, 508177.0)	(34.0, 687358.0)	(35.0, 982751.0)	(36.0, 1637113.0)	(37.0, 2765325.0)	(38.0, 6254803.0)	(39.0, 32561926.0)	(40.0, 8897281.0)					
032024_COL_SAN_T5_159_DLAB_S16_R2_001_val_2	(13.0, 1.0)	(14.0, 27.0)	(15.0, 342.0)	(16.0, 2563.0)	(17.0, 10575.0)	(18.0, 28730.0)	(19.0, 53089.0)	(20.0, 82913.0)	(21.0, 98424.0)	(22.0, 103956.0)	(23.0, 109657.0)	(24.0, 125741.0)	(25.0, 138222.0)	(26.0, 156847.0)	(27.0, 173717.0)	(28.0, 204764.0)	(29.0, 233106.0)	(30.0, 274536.0)	(31.0, 319547.0)	(32.0, 397984.0)	(33.0, 494650.0)	(34.0, 665599.0)	(35.0, 945704.0)	(36.0, 1584861.0)	(37.0, 2804239.0)	(38.0, 6676009.0)	(39.0, 32819794.0)	(40.0, 7916418.0)	
032024_COL_SAN_T5_160_DLAB_S41_R1_001_val_1	(16.0, 2.0)	(17.0, 171.0)	(18.0, 2983.0)	(19.0, 13906.0)	(20.0, 40165.0)	(21.0, 72953.0)	(22.0, 99854.0)	(23.0, 118716.0)	(24.0, 144045.0)	(25.0, 166903.0)	(26.0, 196288.0)	(27.0, 224855.0)	(28.0, 273809.0)	(29.0, 321046.0)	(30.0, 389866.0)	(31.0, 463180.0)	(32.0, 583749.0)	(33.0, 731469.0)	(34.0, 988541.0)	(35.0, 1412557.0)	(36.0, 2332660.0)	(37.0, 3839846.0)	(38.0, 8347449.0)	(39.0, 45586301.0)	(40.0, 16432909.0)				
032024_COL_SAN_T5_160_DLAB_S41_R2_001_val_2	(13.0, 1.0)	(14.0, 28.0)	(15.0, 375.0)	(16.0, 2649.0)	(17.0, 11189.0)	(18.0, 31551.0)	(19.0, 60440.0)	(20.0, 95677.0)	(21.0, 116036.0)	(22.0, 124940.0)	(23.0, 133618.0)	(24.0, 153969.0)	(25.0, 169119.0)	(26.0, 192280.0)	(27.0, 213139.0)	(28.0, 251534.0)	(29.0, 286341.0)	(30.0, 341210.0)	(31.0, 399213.0)	(32.0, 498999.0)	(33.0, 624732.0)	(34.0, 841943.0)	(35.0, 1203271.0)	(36.0, 2022501.0)	(37.0, 3533024.0)	(38.0, 8203782.0)	(39.0, 46554167.0)	(40.0, 16718495.0)	
032024_COL_SAN_T5_161_DLAB_S42_R1_001_val_1	(16.0, 3.0)	(17.0, 171.0)	(18.0, 2463.0)	(19.0, 12131.0)	(20.0, 37218.0)	(21.0, 69263.0)	(22.0, 94636.0)	(23.0, 113001.0)	(24.0, 137106.0)	(25.0, 158986.0)	(26.0, 188264.0)	(27.0, 216504.0)	(28.0, 262992.0)	(29.0, 308884.0)	(30.0, 374628.0)	(31.0, 444660.0)	(32.0, 562788.0)	(33.0, 706245.0)	(34.0, 954236.0)	(35.0, 1359505.0)	(36.0, 2248303.0)	(37.0, 3760850.0)	(38.0, 8465454.0)	(39.0, 45055513.0)	(40.0, 11649236.0)				
032024_COL_SAN_T5_161_DLAB_S42_R2_001_val_2	(14.0, 15.0)	(15.0, 318.0)	(16.0, 2490.0)	(17.0, 11203.0)	(18.0, 31522.0)	(19.0, 59936.0)	(20.0, 96664.0)	(21.0, 115658.0)	(22.0, 123803.0)	(23.0, 130790.0)	(24.0, 149972.0)	(25.0, 165769.0)	(26.0, 188164.0)	(27.0, 207888.0)	(28.0, 244939.0)	(29.0, 279806.0)	(30.0, 331144.0)	(31.0, 387139.0)	(32.0, 484355.0)	(33.0, 605174.0)	(34.0, 818465.0)	(35.0, 1163529.0)	(36.0, 1961091.0)	(37.0, 3471717.0)	(38.0, 8250546.0)	(39.0, 45344286.0)	(40.0, 12556657.0)		
032024_COL_SAN_T5_162_PSTR_S39_R1_001_val_1	(16.0, 3.0)	(17.0, 166.0)	(18.0, 2674.0)	(19.0, 12945.0)	(20.0, 38418.0)	(21.0, 72922.0)	(22.0, 101520.0)	(23.0, 122341.0)	(24.0, 149338.0)	(25.0, 175317.0)	(26.0, 207471.0)	(27.0, 239195.0)	(28.0, 290208.0)	(29.0, 342634.0)	(30.0, 416868.0)	(31.0, 496525.0)	(32.0, 629510.0)	(33.0, 793301.0)	(34.0, 1076643.0)	(35.0, 1548267.0)	(36.0, 2569030.0)	(37.0, 4281115.0)	(38.0, 9572235.0)	(39.0, 48191752.0)	(40.0, 13381618.0)				
032024_COL_SAN_T5_162_PSTR_S39_R2_001_val_2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 36.0)	(15.0, 311.0)	(16.0, 2335.0)	(17.0, 9925.0)	(18.0, 29413.0)	(19.0, 58373.0)	(20.0, 95773.0)	(21.0, 117170.0)	(22.0, 127498.0)	(23.0, 137976.0)	(24.0, 159523.0)	(25.0, 177202.0)	(26.0, 202505.0)	(27.0, 225411.0)	(28.0, 266767.0)	(29.0, 307621.0)	(30.0, 367673.0)	(31.0, 432074.0)	(32.0, 542617.0)	(33.0, 680035.0)	(34.0, 918450.0)	(35.0, 1315568.0)	(36.0, 2211965.0)	(37.0, 3890216.0)	(38.0, 9178306.0)	(39.0, 48832217.0)	(40.0, 14425055.0)
032024_COL_SAN_T5_163_PSTR_S11_R1_001_val_1	(16.0, 1.0)	(17.0, 88.0)	(18.0, 1434.0)	(19.0, 7656.0)	(20.0, 23349.0)	(21.0, 44178.0)	(22.0, 61602.0)	(23.0, 73969.0)	(24.0, 90918.0)	(25.0, 105558.0)	(26.0, 125607.0)	(27.0, 145374.0)	(28.0, 178302.0)	(29.0, 212054.0)	(30.0, 258625.0)	(31.0, 305555.0)	(32.0, 385140.0)	(33.0, 484313.0)	(34.0, 656126.0)	(35.0, 942004.0)	(36.0, 1574707.0)	(37.0, 2709864.0)	(38.0, 6275234.0)	(39.0, 29754872.0)	(40.0, 6692479.0)				
032024_COL_SAN_T5_163_PSTR_S11_R2_001_val_2	(14.0, 18.0)	(15.0, 263.0)	(16.0, 2563.0)	(17.0, 11839.0)	(18.0, 32777.0)	(19.0, 58696.0)	(20.0, 86259.0)	(21.0, 100235.0)	(22.0, 104880.0)	(23.0, 109652.0)	(24.0, 124567.0)	(25.0, 136886.0)	(26.0, 154712.0)	(27.0, 169844.0)	(28.0, 199532.0)	(29.0, 226446.0)	(30.0, 266740.0)	(31.0, 309279.0)	(32.0, 386517.0)	(33.0, 479704.0)	(34.0, 642988.0)	(35.0, 913774.0)	(36.0, 1537343.0)	(37.0, 2745551.0)	(38.0, 6490550.0)	(39.0, 29434425.0)	(40.0, 6382969.0)		
032024_COL_SAN_T5_166_OFAV_S20_R1_001_val_1	(16.0, 2.0)	(17.0, 145.0)	(18.0, 2108.0)	(19.0, 10190.0)	(20.0, 30277.0)	(21.0, 57359.0)	(22.0, 79850.0)	(23.0, 96041.0)	(24.0, 117102.0)	(25.0, 136494.0)	(26.0, 161181.0)	(27.0, 185872.0)	(28.0, 226848.0)	(29.0, 266858.0)	(30.0, 324715.0)	(31.0, 387626.0)	(32.0, 492069.0)	(33.0, 620170.0)	(34.0, 844672.0)	(35.0, 1211301.0)	(36.0, 2025646.0)	(37.0, 3481591.0)	(38.0, 7983781.0)	(39.0, 37039259.0)	(40.0, 8427694.0)				
032024_COL_SAN_T5_166_OFAV_S20_R2_001_val_2	(14.0, 27.0)	(15.0, 532.0)	(16.0, 4367.0)	(17.0, 19348.0)	(18.0, 50454.0)	(19.0, 85399.0)	(20.0, 122287.0)	(21.0, 139438.0)	(22.0, 145289.0)	(23.0, 151859.0)	(24.0, 170591.0)	(25.0, 185244.0)	(26.0, 207255.0)	(27.0, 226507.0)	(28.0, 264053.0)	(29.0, 300040.0)	(30.0, 353171.0)	(31.0, 410641.0)	(32.0, 513691.0)	(33.0, 640854.0)	(34.0, 864261.0)	(35.0, 1225846.0)	(36.0, 2059834.0)	(37.0, 3634618.0)	(38.0, 8398257.0)	(39.0, 36097532.0)	(40.0, 7937456.0)		
032024_COL_SAN_T5_167_OFAV_S21_R1_001_val_1	(16.0, 2.0)	(17.0, 73.0)	(18.0, 1335.0)	(19.0, 7065.0)	(20.0, 22354.0)	(21.0, 44313.0)	(22.0, 63670.0)	(23.0, 76602.0)	(24.0, 94334.0)	(25.0, 109997.0)	(26.0, 131703.0)	(27.0, 152563.0)	(28.0, 185646.0)	(29.0, 220984.0)	(30.0, 272573.0)	(31.0, 327290.0)	(32.0, 420012.0)	(33.0, 536425.0)	(34.0, 739139.0)	(35.0, 1075227.0)	(36.0, 1828249.0)	(37.0, 3189668.0)	(38.0, 7488097.0)	(39.0, 33351950.0)	(40.0, 6802387.0)				
032024_COL_SAN_T5_167_OFAV_S21_R2_001_val_2	(13.0, 4.0)	(14.0, 20.0)	(15.0, 508.0)	(16.0, 4029.0)	(17.0, 16822.0)	(18.0, 42601.0)	(19.0, 71929.0)	(20.0, 105320.0)	(21.0, 122648.0)	(22.0, 128916.0)	(23.0, 133273.0)	(24.0, 149577.0)	(25.0, 161784.0)	(26.0, 182343.0)	(27.0, 198505.0)	(28.0, 233497.0)	(29.0, 265578.0)	(30.0, 314044.0)	(31.0, 365070.0)	(32.0, 460686.0)	(33.0, 578286.0)	(34.0, 785971.0)	(35.0, 1128141.0)	(36.0, 1909189.0)	(37.0, 3404316.0)	(38.0, 7961827.0)	(39.0, 32216675.0)	(40.0, 6200099.0)	
