Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
032024_COL_SAN_T5_161_DLAB_S42_R1_001_val_1	(20, 6052.0)	(25, 18074.0)	(30, 14562.0)	(35, 17228.0)	(40, 21109.0)	(45, 26032.0)	(50, 32920.0)	(55, 42519.0)	(60, 55761.0)	(65, 74768.0)	(70, 100918.0)	(75, 139412.0)	(80, 187653.0)	(85, 254760.0)	(90, 343569.0)	(95, 454477.0)	(100, 595365.0)	(105, 767615.0)	(110, 971640.0)	(115, 1207209.0)	(120, 1469495.0)	(125, 1751098.0)	(130, 2031834.0)	(135, 2324043.0)	(140, 2600203.0)	(145, 8616371.0)	(150, 53058353.0)
032024_COL_SAN_T5_161_DLAB_S42_R2_001_val_2	(20, 27497.0)	(25, 37713.0)	(30, 21982.0)	(35, 21585.0)	(40, 23830.0)	(45, 29090.0)	(50, 35822.0)	(55, 45556.0)	(60, 59246.0)	(65, 78447.0)	(70, 104671.0)	(75, 143389.0)	(80, 192043.0)	(85, 259287.0)	(90, 347611.0)	(95, 459003.0)	(100, 599260.0)	(105, 769731.0)	(110, 973454.0)	(115, 1208458.0)	(120, 1468959.0)	(125, 1750029.0)	(130, 2030550.0)	(135, 2323171.0)	(140, 2606431.0)	(145, 8555075.0)	(150, 53011150.0)
032024_COL_SAN_T5_162_PSTR_S39_R1_001_val_1	(20, 7625.0)	(25, 24449.0)	(30, 36201.0)	(35, 64871.0)	(40, 97282.0)	(45, 133808.0)	(50, 174737.0)	(55, 223012.0)	(60, 279189.0)	(65, 345295.0)	(70, 426234.0)	(75, 522310.0)	(80, 635125.0)	(85, 767519.0)	(90, 920981.0)	(95, 1097787.0)	(100, 1300605.0)	(105, 1515011.0)	(110, 1762238.0)	(115, 2030936.0)	(120, 2302118.0)	(125, 2573356.0)	(130, 2840069.0)	(135, 3083974.0)	(140, 3304519.0)	(145, 8815872.0)	(150, 49426893.0)
032024_COL_SAN_T5_162_PSTR_S39_R2_001_val_2	(20, 28951.0)	(25, 43418.0)	(30, 43475.0)	(35, 69039.0)	(40, 100423.0)	(45, 136907.0)	(50, 178086.0)	(55, 227141.0)	(60, 282870.0)	(65, 349514.0)	(70, 430678.0)	(75, 526986.0)	(80, 640170.0)	(85, 773245.0)	(90, 925820.0)	(95, 1102337.0)	(100, 1303616.0)	(105, 1516252.0)	(110, 1762468.0)	(115, 2029315.0)	(120, 2298297.0)	(125, 2569231.0)	(130, 2835097.0)	(135, 3082193.0)	(140, 3311872.0)	(145, 8811071.0)	(150, 49333544.0)
032024_COL_SAN_T5_163_PSTR_S11_R1_001_val_1	(20, 3805.0)	(25, 10812.0)	(30, 8855.0)	(35, 9845.0)	(40, 11286.0)	(45, 12747.0)	(50, 14196.0)	(55, 16368.0)	(60, 18612.0)	(65, 21770.0)	(70, 25225.0)	(75, 30300.0)	(80, 36164.0)	(85, 44001.0)	(90, 54884.0)	(95, 68928.0)	(100, 88693.0)	(105, 112160.0)	(110, 143256.0)	(115, 180937.0)	(120, 227127.0)	(125, 284611.0)	(130, 350318.0)	(135, 434506.0)	(140, 548233.0)	(145, 5321879.0)	(150, 43029491.0)
032024_COL_SAN_T5_163_PSTR_S11_R2_001_val_2	(20, 23036.0)	(25, 32608.0)	(30, 17020.0)	(35, 15381.0)	(40, 15717.0)	(45, 16850.0)	(50, 18571.0)	(55, 21364.0)	(60, 23395.0)	(65, 27267.0)	(70, 31121.0)	(75, 36655.0)	(80, 42900.0)	(85, 51812.0)	(90, 62760.0)	(95, 77091.0)	(100, 96070.0)	(105, 119572.0)	(110, 150410.0)	(115, 187465.0)	(120, 233580.0)	(125, 291301.0)	(130, 357851.0)	(135, 444336.0)	(140, 566758.0)	(145, 5309591.0)	(150, 42838527.0)
032024_COL_SAN_T5_166_OFAV_S20_R1_001_val_1	(20, 4929.0)	(25, 14677.0)	(30, 12278.0)	(35, 13533.0)	(40, 14989.0)	(45, 16516.0)	(50, 18401.0)	(55, 20981.0)	(60, 24713.0)	(65, 29424.0)	(70, 35992.0)	(75, 45624.0)	(80, 58974.0)	(85, 78070.0)	(90, 104661.0)	(95, 138374.0)	(100, 185408.0)	(105, 238148.0)	(110, 305254.0)	(115, 381821.0)	(120, 464545.0)	(125, 555357.0)	(130, 651647.0)	(135, 760307.0)	(140, 895486.0)	(145, 6736466.0)	(150, 52402276.0)
032024_COL_SAN_T5_166_OFAV_S20_R2_001_val_2	(20, 33320.0)	(25, 47547.0)	(30, 23738.0)	(35, 20785.0)	(40, 20133.0)	(45, 20909.0)	(50, 22791.0)	(55, 25563.0)	(60, 29350.0)	(65, 34157.0)	(70, 41284.0)	(75, 50875.0)	(80, 65062.0)	(85, 84259.0)	(90, 110981.0)	(95, 145467.0)	(100, 191392.0)	(105, 244866.0)	(110, 311874.0)	(115, 388210.0)	(120, 471251.0)	(125, 562408.0)	(130, 659705.0)	(135, 772029.0)	(140, 920265.0)	(145, 6778342.0)	(150, 52132288.0)
032024_COL_SAN_T5_167_OFAV_S21_R1_001_val_1	(20, 3580.0)	(25, 10842.0)	(30, 9331.0)	(35, 10067.0)	(40, 11669.0)	(45, 12592.0)	(50, 14548.0)	(55, 16918.0)	(60, 20026.0)	(65, 24112.0)	(70, 30516.0)	(75, 39684.0)	(80, 51667.0)	(85, 69659.0)	(90, 93582.0)	(95, 125560.0)	(100, 167167.0)	(105, 218641.0)	(110, 277373.0)	(115, 346045.0)	(120, 422957.0)	(125, 503768.0)	(130, 589359.0)	(135, 684630.0)	(140, 798910.0)	(145, 5979935.0)	(150, 46608520.0)
032024_COL_SAN_T5_167_OFAV_S21_R2_001_val_2	(20, 28379.0)	(25, 39846.0)	(30, 19973.0)	(35, 17080.0)	(40, 16385.0)	(45, 17191.0)	(50, 18556.0)	(55, 20992.0)	(60, 24126.0)	(65, 28421.0)	(70, 34895.0)	(75, 44424.0)	(80, 56489.0)	(85, 74842.0)	(90, 99071.0)	(95, 130764.0)	(100, 172308.0)	(105, 223814.0)	(110, 282863.0)	(115, 351115.0)	(120, 428106.0)	(125, 510228.0)	(130, 597204.0)	(135, 695837.0)	(140, 823021.0)	(145, 6016354.0)	(150, 46369374.0)
