Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1	(20, 6706.0)	(25, 19172.0)	(30, 15371.0)	(35, 18364.0)	(40, 22407.0)	(45, 28355.0)	(50, 36153.0)	(55, 47523.0)	(60, 63728.0)	(65, 85376.0)	(70, 115420.0)	(75, 155443.0)	(80, 208847.0)	(85, 278834.0)	(90, 367882.0)	(95, 478545.0)	(100, 616454.0)	(105, 777290.0)	(110, 965912.0)	(115, 1173669.0)	(120, 1401257.0)	(125, 1627785.0)	(130, 1850249.0)	(135, 2052778.0)	(140, 2231321.0)	(145, 7255237.0)	(150, 46010554.0)
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2	(20, 28970.0)	(25, 39521.0)	(30, 23350.0)	(35, 22709.0)	(40, 25747.0)	(45, 32178.0)	(50, 40098.0)	(55, 51463.0)	(60, 68455.0)	(65, 90833.0)	(70, 121545.0)	(75, 161931.0)	(80, 215884.0)	(85, 286458.0)	(90, 375104.0)	(95, 486376.0)	(100, 623206.0)	(105, 782885.0)	(110, 970676.0)	(115, 1177129.0)	(120, 1403596.0)	(125, 1629839.0)	(130, 1851868.0)	(135, 2056896.0)	(140, 2243515.0)	(145, 7262540.0)	(150, 45837860.0)
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1	(20, 6837.0)	(25, 20394.0)	(30, 16467.0)	(35, 18735.0)	(40, 21715.0)	(45, 25136.0)	(50, 30112.0)	(55, 36300.0)	(60, 45879.0)	(65, 57035.0)	(70, 73758.0)	(75, 95418.0)	(80, 126486.0)	(85, 167610.0)	(90, 222642.0)	(95, 292974.0)	(100, 385187.0)	(105, 499223.0)	(110, 638928.0)	(115, 796747.0)	(120, 988159.0)	(125, 1196510.0)	(130, 1425500.0)	(135, 1668076.0)	(140, 1939293.0)	(145, 8543113.0)	(150, 58158702.0)
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2	(20, 32446.0)	(25, 43644.0)	(30, 25439.0)	(35, 24321.0)	(40, 26196.0)	(45, 30210.0)	(50, 35773.0)	(55, 42957.0)	(60, 53462.0)	(65, 66215.0)	(70, 84861.0)	(75, 107797.0)	(80, 139563.0)	(85, 180929.0)	(90, 236082.0)	(95, 307191.0)	(100, 398974.0)	(105, 512001.0)	(110, 651287.0)	(115, 808092.0)	(120, 998856.0)	(125, 1207772.0)	(130, 1437932.0)	(135, 1682270.0)	(140, 1971237.0)	(145, 8466342.0)	(150, 57925087.0)
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1	(20, 6593.0)	(25, 19881.0)	(30, 16228.0)	(35, 18146.0)	(40, 20965.0)	(45, 24290.0)	(50, 28351.0)	(55, 33987.0)	(60, 42149.0)	(65, 51911.0)	(70, 66473.0)	(75, 86889.0)	(80, 114802.0)	(85, 154445.0)	(90, 209546.0)	(95, 281400.0)	(100, 380847.0)	(105, 505319.0)	(110, 665276.0)	(115, 855784.0)	(120, 1087414.0)	(125, 1348218.0)	(130, 1642453.0)	(135, 1958091.0)	(140, 2291887.0)	(145, 8606173.0)	(150, 56420303.0)
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2	(20, 30885.0)	(25, 41929.0)	(30, 24717.0)	(35, 23761.0)	(40, 25823.0)	(45, 29631.0)	(50, 34301.0)	(55, 40937.0)	(60, 50287.0)	(65, 61145.0)	(70, 77327.0)	(75, 98806.0)	(80, 127892.0)	(85, 168240.0)	(90, 222979.0)	(95, 294902.0)	(100, 394125.0)	(105, 517698.0)	(110, 676025.0)	(115, 865044.0)	(120, 1095926.0)	(125, 1356228.0)	(130, 1650367.0)	(135, 1969456.0)	(140, 2314695.0)	(145, 8627080.0)	(150, 56117615.0)
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1	(20, 4049.0)	(25, 12280.0)	(30, 10758.0)	(35, 12068.0)	(40, 13827.0)	(45, 15825.0)	(50, 18499.0)	(55, 21877.0)	(60, 26139.0)	(65, 31669.0)	(70, 38719.0)	(75, 48408.0)	(80, 60811.0)	(85, 76807.0)	(90, 97700.0)	(95, 122701.0)	(100, 155333.0)	(105, 193117.0)	(110, 238913.0)	(115, 289046.0)	(120, 345717.0)	(125, 407922.0)	(130, 475164.0)	(135, 553614.0)	(140, 656854.0)	(145, 5945220.0)	(150, 47322727.0)
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2	(20, 29664.0)	(25, 42750.0)	(30, 21075.0)	(35, 18566.0)	(40, 18825.0)	(45, 20286.0)	(50, 22690.0)	(55, 26115.0)	(60, 30461.0)	(65, 36463.0)	(70, 43784.0)	(75, 53833.0)	(80, 66294.0)	(85, 82568.0)	(90, 103864.0)	(95, 129209.0)	(100, 161018.0)	(105, 199281.0)	(110, 245078.0)	(115, 295916.0)	(120, 352700.0)	(125, 415625.0)	(130, 484372.0)	(135, 566082.0)	(140, 682246.0)	(145, 5967464.0)	(150, 47079535.0)
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1	(20, 4125.0)	(25, 12316.0)	(30, 10381.0)	(35, 11348.0)	(40, 12788.0)	(45, 14344.0)	(50, 16322.0)	(55, 18823.0)	(60, 22265.0)	(65, 26581.0)	(70, 32384.0)	(75, 40454.0)	(80, 50769.0)	(85, 64880.0)	(90, 83584.0)	(95, 109128.0)	(100, 140391.0)	(105, 179536.0)	(110, 228542.0)	(115, 286203.0)	(120, 353035.0)	(125, 428387.0)	(130, 513231.0)	(135, 609551.0)	(140, 730467.0)	(145, 5727916.0)	(150, 44826458.0)
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2	(20, 27466.0)	(25, 39295.0)	(30, 19804.0)	(35, 17095.0)	(40, 17240.0)	(45, 18161.0)	(50, 19986.0)	(55, 22688.0)	(60, 26276.0)	(65, 30609.0)	(70, 36660.0)	(75, 44988.0)	(80, 55384.0)	(85, 70221.0)	(90, 88635.0)	(95, 114417.0)	(100, 145168.0)	(105, 184682.0)	(110, 233200.0)	(115, 291416.0)	(120, 358515.0)	(125, 434194.0)	(130, 520176.0)	(135, 618436.0)	(140, 749121.0)	(145, 5733808.0)	(150, 44636568.0)
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1	(20, 3606.0)	(25, 11199.0)	(30, 9750.0)	(35, 10962.0)	(40, 12819.0)	(45, 14892.0)	(50, 17303.0)	(55, 20551.0)	(60, 24445.0)	(65, 29566.0)	(70, 36630.0)	(75, 46004.0)	(80, 58190.0)	(85, 74354.0)	(90, 93965.0)	(95, 119541.0)	(100, 152480.0)	(105, 189581.0)	(110, 234227.0)	(115, 285579.0)	(120, 341010.0)	(125, 402151.0)	(130, 467802.0)	(135, 540014.0)	(140, 636344.0)	(145, 5263043.0)	(150, 41332016.0)
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2	(20, 29772.0)	(25, 43398.0)	(30, 20748.0)	(35, 18166.0)	(40, 18073.0)	(45, 19090.0)	(50, 21424.0)	(55, 24784.0)	(60, 28568.0)	(65, 33771.0)	(70, 41024.0)	(75, 50943.0)	(80, 63798.0)	(85, 79744.0)	(90, 99495.0)	(95, 126059.0)	(100, 158097.0)	(105, 195539.0)	(110, 240092.0)	(115, 291986.0)	(120, 347339.0)	(125, 409742.0)	(130, 476888.0)	(135, 552663.0)	(140, 662517.0)	(145, 5316216.0)	(150, 41058088.0)
032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1	(20, 6517.0)	(25, 18374.0)	(30, 15957.0)	(35, 20532.0)	(40, 27142.0)	(45, 35513.0)	(50, 46304.0)	(55, 60424.0)	(60, 78408.0)	(65, 101996.0)	(70, 133575.0)	(75, 174955.0)	(80, 226696.0)	(85, 294769.0)	(90, 381365.0)	(95, 490390.0)	(100, 625995.0)	(105, 791265.0)	(110, 982220.0)	(115, 1196572.0)	(120, 1434387.0)	(125, 1695776.0)	(130, 1956700.0)	(135, 2217015.0)	(140, 2476344.0)	(145, 8593221.0)	(150, 54276311.0)
