Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2	(1.0, 66.70281378586441)	(2.0, 15.349140139377324)	(3.0, 4.802392826625751)	(4.0, 2.3276330614623144)	(5.0, 1.3464154176179364)	(6.0, 0.8366894055287897)	(7.0, 0.6105950174068068)	(8.0, 0.5344311848416583)	(9.0, 0.41831104592470825)	('>10', 3.7898431397925356)	('>50', 0.8842220747297196)	('>100', 1.3538960881635962)	('>500', 0.35404833899080573)	('>1k', 0.46946693758718644)	('>5k', 0.08487455519101568)	('>10k+', 0.13522698089537627)
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1	(1.0, 68.06359991697107)	(2.0, 15.182018235684366)	(3.0, 4.663185962189118)	(4.0, 2.0919697079572344)	(5.0, 1.250871259733099)	(6.0, 0.7944699798913095)	(7.0, 0.5280174291754055)	(8.0, 0.4369994472048955)	(9.0, 0.3876005081935472)	('>10', 3.119105242332028)	('>50', 0.5903098714689181)	('>100', 1.274717014454766)	('>500', 0.6662392088770863)	('>1k', 0.8666209407329426)	('>5k', 0.05966171271276381)	('>10k+', 0.024613562421577178)
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2	(1.0, 67.06924465345779)	(2.0, 15.709820636649397)	(3.0, 4.85667769390559)	(4.0, 2.1845022998038104)	(5.0, 1.2450241257915904)	(6.0, 0.7552482219251314)	(7.0, 0.5544198014548782)	(8.0, 0.4833347334196233)	(9.0, 0.34958578215593233)	('>10', 3.1530281947440493)	('>50', 0.6337209090626753)	('>100', 1.3029817798359324)	('>500', 0.6942958850107095)	('>1k', 0.8695133626069419)	('>5k', 0.06427606682570988)	('>10k+', 0.07432585335030091)
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1	(1.0, 64.01317069876966)	(2.0, 15.637788533936684)	(3.0, 5.325699311066664)	(4.0, 2.462792073273931)	(5.0, 1.4564099026968467)	(6.0, 0.9623965857464788)	(7.0, 0.6413758635287001)	(8.0, 0.5183862720118838)	(9.0, 0.4298117771835612)	('>10', 3.7008687154101945)	('>50', 0.8595634723105915)	('>100', 1.6603599079512932)	('>500', 0.7115474856774636)	('>1k', 1.393438824118255)	('>5k', 0.17801774346927474)	('>10k+', 0.048372832848437894)
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2	(1.0, 62.86530746891019)	(2.0, 16.4165153995571)	(3.0, 5.495914856071791)	(4.0, 2.5843677609734215)	(5.0, 1.4271015450345652)	(6.0, 0.9596103376129513)	(7.0, 0.6977457296576595)	(8.0, 0.5569965509064644)	(9.0, 0.4318673781399042)	('>10', 3.832194588567063)	('>50', 0.8489759798228852)	('>100', 1.601859052093231)	('>500', 0.6999888394162315)	('>1k', 1.304675303136503)	('>5k', 0.18988521243237855)	('>10k+', 0.08699399766800339)
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1	(1.0, 76.74012170408419)	(2.0, 14.043926755550842)	(3.0, 3.095509416206767)	(4.0, 1.1446099483412708)	(5.0, 0.6455003710656395)	(6.0, 0.4484534529990509)	(7.0, 0.2922146167243248)	(8.0, 0.27841183368799616)	(9.0, 0.19315591072537375)	('>10', 2.3976219852752485)	('>50', 0.5427854654950395)	('>100', 0.1723461934110515)	('>500', 0.005342346433233127)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2	(1.0, 76.2101818420203)	(2.0, 14.322732653796633)	(3.0, 3.1563639783943005)	(4.0, 1.1613656718569905)	(5.0, 0.6072278736473358)	(6.0, 0.40152020840633323)	(7.0, 0.3307325046784042)	(8.0, 0.251788820111586)	(9.0, 0.20884578482604607)	('>10', 2.4272451791309275)	('>50', 0.5248068823667961)	('>100', 0.18923191222717506)	('>500', 0.01445678550753297)	('>1k', 0.016734334534351112)	('>5k', 0.0)	('>10k+', 0.1767655684952543)
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1	(1.0, 76.94770889948451)	(2.0, 13.701421838254667)	(3.0, 3.0313604216045063)	(4.0, 1.0941834588235995)	(5.0, 0.5761771574918946)	(6.0, 0.42026216089019314)	(7.0, 0.3021973846742361)	(8.0, 0.2502311420198821)	(9.0, 0.1991704348293742)	('>10', 2.383721816344827)	('>50', 0.7586633473632602)	('>100', 0.3293768337264882)	('>500', 0.005525104492597713)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2	(1.0, 76.40971688080431)	(2.0, 14.05680817995432)	(3.0, 3.028347003180553)	(4.0, 1.03640856025062)	(5.0, 0.6092399875690032)	(6.0, 0.42057081906254357)	(7.0, 0.32976483846236626)	(8.0, 0.23878325803423178)	(9.0, 0.2159154447434669)	('>10', 2.3775663006048378)	('>50', 0.7258342898031271)	('>100', 0.37719556191226794)	('>500', 0.00856025991406787)	('>1k', 0.01203393555486133)	('>5k', 0.0)	('>10k+', 0.15325468014942845)
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1	(1.0, 78.85407877840309)	(2.0, 13.335832722485508)	(3.0, 2.9382661312275875)	(4.0, 0.9981552754394706)	(5.0, 0.5407333028575985)	(6.0, 0.35651526559440827)	(7.0, 0.2855113533655303)	(8.0, 0.22945366284302707)	(9.0, 0.22465700063279617)	('>10', 1.9751919795745703)	('>50', 0.1872985008492487)	('>100', 0.06875869447640975)	('>500', 0.005547332250736802)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2	(1.0, 78.63845015894032)	(2.0, 13.238238716935314)	(3.0, 2.8122126587954615)	(4.0, 1.0336942729344887)	(5.0, 0.5754337350922252)	(6.0, 0.3957129953914178)	(7.0, 0.2988512414762867)	(8.0, 0.21282864696311737)	(9.0, 0.2040072134932525)	('>10', 2.0085246806841917)	('>50', 0.2219448300964818)	('>100', 0.11327249893272663)	('>500', 0.009482107302052298)	('>1k', 0.022700675922671512)	('>5k', 0.0)	('>10k+', 0.21464556703998847)
032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1	(1.0, 64.52027658832723)	(2.0, 19.972985313761168)	(3.0, 6.1226962734079855)	(4.0, 2.221381120839413)	(5.0, 0.9717484236177563)	(6.0, 0.6309557473929932)	(7.0, 0.39960294931648666)	(8.0, 0.3048985372049136)	(9.0, 0.23407665535469985)	('>10', 2.5423657346766793)	('>50', 0.604469864343955)	('>100', 0.8965262910176486)	('>500', 0.28961939911188517)	('>1k', 0.2883971016271845)	('>5k', 0.0)	('>10k+', 0.0)
032024_COL_SAN_T5_143_DLAB_S40_R2_001_val_2	(1.0, 63.67999932665569)	(2.0, 20.46997385080946)	(3.0, 6.454329642531229)	(4.0, 2.1359240534289268)	(5.0, 0.9993527052225993)	(6.0, 0.5918247674765812)	(7.0, 0.39248069644005823)	(8.0, 0.3187892580836372)	(9.0, 0.29000011833163075)	('>10', 2.550774259360894)	('>50', 0.566889511601437)	('>100', 0.953749233260848)	('>500', 0.28416649139800687)	('>1k', 0.2707827247466215)	('>5k', 0.0)	('>10k+', 0.04096336065231785)
032024_COL_SAN_T5_144_PSTR_S9_R1_001_val_1	(1.0, 75.16290778119546)	(2.0, 14.419368642235838)	(3.0, 3.42182099867316)	(4.0, 1.3357531907386797)	(5.0, 0.7019564261405877)	(6.0, 0.456368860749246)	(7.0, 0.4056805563582714)	(8.0, 0.26768148325249513)	(9.0, 0.2267740188418229)	('>10', 1.9409085506569996)	('>50', 0.4367495370079673)	('>100', 1.0175103899498041)	('>500', 0.1708829521253614)	('>1k', 0.035636612074257785)	('>5k', 0.0)	('>10k+', 0.0)
032024_COL_SAN_T5_144_PSTR_S9_R2_001_val_2	(1.0, 74.66722795854712)	(2.0, 14.739717959877815)	(3.0, 3.401531948080138)	(4.0, 1.324084572314753)	(5.0, 0.7260363644279778)	(6.0, 0.4547936671423501)	(7.0, 0.3561491799995335)	(8.0, 0.27635661277788215)	(9.0, 0.2475349062143919)	('>10', 1.9546615925732067)	('>50', 0.48383684974146374)	('>100', 1.0668223388446065)	('>500', 0.14738495940108934)	('>1k', 0.03200071544985419)	('>5k', 0.0)	('>10k+', 0.12186037460779335)
032024_COL_SAN_T5_146_DLAB_S12_R1_001_val_1	(1.0, 77.19847555982962)	(2.0, 13.175577563403715)	(3.0, 3.033724826627803)	(4.0, 1.091199658515946)	(5.0, 0.6567442344915689)	(6.0, 0.37407542238800334)	(7.0, 0.3065372110740536)	(8.0, 0.22887433410365365)	(9.0, 0.19708087814061234)	('>10', 1.8094379617504555)	('>50', 0.4586624226273587)	('>100', 0.7845574561483197)	('>500', 0.22546480674842748)	('>1k', 0.2106625384032675)	('>5k', 0.06894444371126324)	('>10k+', 0.17998068203595144)
032024_COL_SAN_T5_146_DLAB_S12_R2_001_val_2	(1.0, 76.63800864522372)	(2.0, 13.442848314035086)	(3.0, 3.124838441644915)	(4.0, 1.133508650800363)	(5.0, 0.6604385818451646)	(6.0, 0.41279735646331267)	(7.0, 0.2904337480610774)	(8.0, 0.2387642942755317)	(9.0, 0.199994812702912)	('>10', 1.8837792292841684)	('>50', 0.44717217560170924)	('>100', 0.8138970699435425)	('>500', 0.21981485720299113)	('>1k', 0.1944405848196977)	('>5k', 0.08789174299163983)	('>10k+', 0.21137149510412034)
032024_COL_SAN_T5_147_PSTR_S10_R1_001_val_1	(1.0, 73.30616236797577)	(2.0, 14.227408333403089)	(3.0, 3.6820135410418153)	(4.0, 1.4617351070392446)	(5.0, 0.8372937415137897)	(6.0, 0.549363294288998)	(7.0, 0.40888502980759983)	(8.0, 0.328195473874074)	(9.0, 0.2553757491834137)	('>10', 2.7339120303920437)	('>50', 0.7323227821940509)	('>100', 1.0413369868122242)	('>500', 0.21539158916072582)	('>1k', 0.20521767956626574)	('>5k', 0.015386293746992371)	('>10k+', 0.0)
