Sample	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
032024_COL_SAN_T5_148_DLAB_S13_R2_001	3.603537679122958						
032024_COL_SAN_T5_148_DLAB_S13_R2_001_val_2		16.513446025953584	40.0	145.68672897759458	151	18.181818181818183	53.300656
032024_COL_SAN_T5_149_DLAB_S14_R1_001	3.3376260326634397						
032024_COL_SAN_T5_149_DLAB_S14_R1_001_val_1		15.283002633224854	40.0	146.0674630626132	151	18.181818181818183	58.916255
032024_COL_SAN_T5_149_DLAB_S14_R2_001	3.5005188887044354						
032024_COL_SAN_T5_149_DLAB_S14_R2_001_val_2		15.590841722285745	40.0	145.8462098448043	151	18.181818181818183	58.916255
032024_COL_SAN_T5_150_MCAV_S8_R1_001	3.091207142277597						
032024_COL_SAN_T5_150_MCAV_S8_R1_001_val_1		18.84121746420378	39.0	146.44108188500934	151	18.181818181818183	74.071421
032024_COL_SAN_T5_150_MCAV_S8_R2_001	3.2240507842919097						
032024_COL_SAN_T5_150_MCAV_S8_R2_001_val_2		19.53994179558768	40.0	146.2652920888341	151	18.181818181818183	74.071421
032024_COL_SAN_T5_154_PSTR_S38_R1_001	11.881395109816504						
032024_COL_SAN_T5_154_PSTR_S38_R1_001_val_1		26.69795877603073	43.0	133.09236554359518	142	18.181818181818183	64.29881499999999
032024_COL_SAN_T5_154_PSTR_S38_R2_001	11.924371119925219						
032024_COL_SAN_T5_154_PSTR_S38_R2_001_val_2		27.9288995718629	43.0	133.04207088419903	142	18.181818181818183	64.29881499999999
032024_COL_SAN_T5_158_DLAB_S15_R1_001	2.7236471112146914						
032024_COL_SAN_T5_158_DLAB_S15_R1_001_val_1		14.966708510750976	39.0	146.99762742319297	151	18.181818181818183	48.159031
032024_COL_SAN_T5_158_DLAB_S15_R2_001	2.8671003845752616						
032024_COL_SAN_T5_158_DLAB_S15_R2_001_val_2		15.28867732207631	39.0	146.80733258524242	151	18.181818181818183	48.159031
032024_COL_SAN_T5_159_DLAB_S16_R1_001	2.9659471354039812						
032024_COL_SAN_T5_159_DLAB_S16_R1_001_val_1		15.114901419143436	39.0	146.63100098427893	151	18.181818181818183	56.422014999999995
032024_COL_SAN_T5_159_DLAB_S16_R2_001	3.1281148315413927						
032024_COL_SAN_T5_159_DLAB_S16_R2_001_val_2		15.36163928030048	40.0	146.41226081698784	151	18.181818181818183	56.422014999999995
032024_COL_SAN_T5_160_DLAB_S41_R1_001	9.225800492926487						
032024_COL_SAN_T5_160_DLAB_S41_R1_001_val_1		24.515330312928754	40.0	137.134165274463	151	18.181818181818183	82.784223
032024_COL_SAN_T5_160_DLAB_S41_R2_001	9.315894929689284						
032024_COL_SAN_T5_160_DLAB_S41_R2_001_val_2		25.28931389924813	40.0	137.01975051453948	151	18.181818181818183	82.784223
032024_COL_SAN_T5_161_DLAB_S42_R1_001	4.162637134465142						
032024_COL_SAN_T5_161_DLAB_S42_R1_001_val_1		21.656248216306423	40.0	144.8054061747244	151	18.181818181818183	77.18303999999999
032024_COL_SAN_T5_161_DLAB_S42_R2_001	4.266093745585069						
032024_COL_SAN_T5_161_DLAB_S42_R2_001_val_2		22.58386417725464	40.0	144.6734541681696	151	18.181818181818183	77.18303999999999
032024_COL_SAN_T5_162_PSTR_S39_R1_001	7.6314461491753045						
032024_COL_SAN_T5_162_PSTR_S39_R1_001_val_1		28.71705525730313	42.0	139.54859118215296	151	18.181818181818183	84.71201599999999
032024_COL_SAN_T5_162_PSTR_S39_R2_001	7.724152095538642						
032024_COL_SAN_T5_162_PSTR_S39_R2_001_val_2		29.945089410047217	42.0	139.42668467481639	151	18.181818181818183	84.71201599999999
032024_COL_SAN_T5_163_PSTR_S11_R1_001	1.4178761747779531						
032024_COL_SAN_T5_163_PSTR_S11_R1_001_val_1		15.533182165611137	39.0	148.98671185348164	151	18.181818181818183	51.109009
032024_COL_SAN_T5_163_PSTR_S11_R2_001	1.6202382731170528						
032024_COL_SAN_T5_163_PSTR_S11_R2_001_val_2		15.885687054267038	39.0	148.70834760267022	151	18.181818181818183	51.109009
032024_COL_SAN_T5_166_OFAV_S20_R1_001	1.8866144087164587						
032024_COL_SAN_T5_166_OFAV_S20_R1_001_val_1		14.354648470883618	40.0	148.2668871617092	151	18.181818181818183	64.208851
032024_COL_SAN_T5_166_OFAV_S20_R2_001	2.0861347647127397						
032024_COL_SAN_T5_166_OFAV_S20_R2_001_val_2		14.757677545428692	40.0	148.00000359763484	151	18.181818181818183	64.208851
032024_COL_SAN_T5_167_OFAV_S21_R1_001	1.8835318060986654						
032024_COL_SAN_T5_167_OFAV_S21_R1_001_val_1		13.750226775979684	39.0	148.27345351092194	151	18.181818181818183	57.141658
032024_COL_SAN_T5_167_OFAV_S21_R2_001	2.0818768447440013						
032024_COL_SAN_T5_167_OFAV_S21_R2_001_val_2		13.895876027041112	40.0	148.0080536340055	151	18.181818181818183	57.141658
